Game Title,Game Release Year,Years Since Release (2024 - Release Year),"""Date Added"" on Speedrun.com (Years Ago)",Game 'Metascore',Game 'User Score',Released On: PC?,Released On: Nintendo System?,Released On: Playstation System?,Released On: Xbox System?,World Record History CSV File Name,World Record History,Total Number of Speedruns Submitted,Rate of Speedruns Submitted (Runs/Day),Number of People Following the Game,Number of Active Speedrunners,Total Number of Speedrunners,Date of Data Collection
Celeste,2018,6,6,92,8.7,1,1,1,1,wr_history/celeste.csv,,42631,19.45,11504,724,7538,09/24/2024
Super Mario Odyssey,2017,7,6,97,8.9,0,1,0,0,wr_history/marioodyssey.csv,,20081,9.16,15782,225,4574,09/24/2024
Minecraft: Legacy Console Edition,2012,12,9,89,8.2,0,1,1,1,wr_history/minecraft.csv,,19457,5.92,977,5,15822,09/24/2024
Mario Kart 8 Deluxe,2017,7,7,92,8.6,0,1,0,0,wr_history/mariokart8deluxe.csv,,19432,7.60,4655,173,3765,09/24/2024
Cuphead,2017,7,6,88,8.5,1,1,1,1,wr_history/cuphead.csv,,14770,6.74,4485,157,2556,09/24/2024
Super Mario Sunshine,2002,22,9,92,8.3,0,1,0,0,wr_history/mariosunshine.csv,,12046,3.66,4680,83,1918,09/24/2024
The Legend of Zelda: Breath of the Wild,2017,7,7,97,8.8,0,1,0,0,wr_history/zeldabotw.csv,,10947,4.28,8445,80,1330,09/24/2024
Hollow Knight,2017,7,7,90,9.1,1,1,1,1,wr_history/hollowknight.csv,,10709,4.19,9603,150,2430,09/24/2024
The Legend of Zelda: Ocarina of Time,1998,26,9,99,9.1,0,1,0,0,wr_history/zeldaoot.csv,,9561,2.91,5161,48,1893,09/24/2024
Resident Evil 2,2019,5,5,93,8.9,1,1,1,1,wr_history/residentevil2.csv,,9047,4.95,4383,63,2350,09/24/2024
SpongeBob SquarePants: Battle for Bikini Bottom,2003,21,Unknown,71,8.7,1,1,1,1,wr_history/spongebob.csv,,8920,N/A,2236,38,954,09/29/2024
Wii Sports Resort,2009,15,9,80,8.4,0,1,0,0,wr_history/wiisportsresort.csv,,8286,2.52,1533,32,1023,09/27/2024
Hades,2018,6,5,93,9.0,1,1,1,1,wr_history/hades.csv,,8098,4.43,2548,53,1775,09/27/2024
Super Mario 3D World + Bowser's Fury,2021,3,3,89,8.6,0,1,0,0,wr_history/mario3Dworldplusbowser.csv,,8081,7.37,1981,60,945,09/27/2024
Super Mario Galaxy,2007,17,Unknown,97,9.1,0,1,0,0,wr_history/mariogalaxy.csv,,7966,N/A,2993,85,1113,09/29/2024
Crash Bandicoot: N. Sane Trilogy,2017,7,7,80,8.4,1,1,1,1,wr_history/crashtrilogy.csv,,7287,2.85,1651,38,821,09/27/2024
Pizza Tower,2023,1,1,89,8.9,1,1,0,0,wr_history/pizzatower.csv,,7219,19.76,1679,152,1604,09/27/2024
The Simpsons: Hit & Run,2003,21,Unknown,82,8.7,1,1,1,1,wr_history/simpsons.csv,,6679,N/A,1511,32,519,09/29/2024
Super Meat Boy,2010,14,9,90,8.2,1,1,1,1,wr_history/supermeatboy.csv,,6606,2.01,1639,29,1026,09/27/2024
Portal 2,2011,13,Unknown,95,9.1,1,1,1,1,wr_history/portal2.csv,,6573,N/A,4797,106,1919,09/29/2024
LEGO Star Wars: The Complete Saga (PC/Console),2007,17,Unknown,80,8.7,1,1,1,1,wr_history/legostarwars.csv,,6396,N/A,1797,65,671,09/29/2024
Diddy Kong Racing,1997,27,Unknown,88,8.4,0,1,0,0,wr_history/diddykongracing.csv,,6390,N/A,471,18,232,09/29/2024
Undertale,2015,9,9,93,8.9,1,1,1,1,wr_history/undertale.csv,,6369,1.94,4415,76,1399,09/27/2024
A Hat in Time,2017,7,7,79,8.6,1,1,1,1,wr_history/hatintime.csv,,6354,2.49,2140,23,959,09/27/2024
Splatoon 2,2017,7,7,83,8.4,0,1,0,0,wr_history/splatoon2.csv,,6164,2.41,1856,17,1230,09/27/2024
Super Smash Bros. Ultimate,2018,6,5,93,8.7,0,1,0,0,wr_history/smashultimate.csv,,6038,3.31,1646,16,1082,09/27/2024
Nintendo World Championships: NES Edition,2024,0,0,73,6.6,0,1,0,0,wr_history/worldchampionshipsNES.csv,,5935,N/A,377,548,548,09/27/2024
Warframe,2013,11,9,68,8.2,1,1,1,1,wr_history/warframe.csv,,5845,1.78,905,19,1582,09/27/2024
Super Mario Galaxy 2,2010,14,Unknown,97,9.0,0,1,0,0,wr_history/mariogalaxy2.csv,,5751,N/A,1921,45,657,09/29/2024
Crossy Road,2014,10,8,88,7.3,1,0,0,0,wr_history/crossyroad.csv,,5697,1.95,1295,46,2283,09/27/2024
Spelunky 2,2020,4,4,92,9.0,1,1,1,1,wr_history/spelunky2.csv,,5430,3.72,464,21,437,09/27/2024
Human: Fall Flat,2016,8,8,73,7.3,1,1,1,1,wr_history/humanfallflat.csv,,5242,1.79,1130,52,833,09/27/2024
Metroid Dread,2021,3,3,88,8.8,0,1,0,0,wr_history/metroiddread.csv,,5200,N/A,2083,47,1317,09/29/2024
Titanfall 2,2016,8,7,89,8.5,1,0,1,1,wr_history/titanfall2.csv,,5179,N/A,1927,55,1151,09/29/2024
Star Wars Episode I: Racer,1999,25,9,70,7.6,1,1,1,1,wr_history/starwarsracer.csv,,5059,1.54,289,10,172,09/24/2024
Mirror's Edge,2008,16,Unknown,81,7.9,1,0,1,1,wr_history/mirrorsedge.csv,,5054,N/A,1573,22,686,09/29/2024
Katana ZERO,2019,5,5,83,8.9,1,1,1,1,wr_history/katanazero.csv,,4874,2.67,1923,32,1234,09/24/2024
Sonic Mania,2017,7,7,86,8.6,1,1,1,1,wr_history/sonicmania.csv,,4806,1.88,1199,27,791,09/24/2024
Jump King,2019,5,5,74,7.5,1,1,1,1,wr_history/jumpking.csv,,4659,2.55,1108,64,1304,09/24/2024
Luigi's Mansion,2001,23,9,78,8.6,0,1,0,0,wr_history/luigimansion.csv,,4642,1.41,1581,37,840,09/24/2024
New Super Mario Bros. U Deluxe,2019,5,5,80,7.0,0,1,0,0,wr_history/nsmbdeluxe.csv,,4610,2.52,1327,36,609,09/24/2024
Neon White,2022,2,2,89,8.3,1,1,1,1,wr_history/neonwhite.csv,,4587,6.28,988,159,653,09/24/2024
Monster Hunter World (Console),2018,6,6,90,7.8,0,0,1,1,wr_history/monsterhunter.csv,,4374,2.00,382,2,983,09/24/2024
New Super Mario Bros.,2006,18,9,89,8.5,0,1,0,0,wr_history/nsmb.csv,,4264,1.30,2010,17,820,09/24/2024
Terraria,2011,13,7,85,8.8,1,1,1,1,wr_history/terraria.csv,,4228,1.65,2812,50,1014,09/24/2024
Grand Theft Auto: Vice City,2002,22,Unknown,95,8.7,1,0,1,1,wr_history/gtavicecity.csv,,4126,N/A,1827,36,586,09/29/2024
Mario Kart Wii,2008,16,Unknown,82,8.6,0,1,0,0,wr_history/mariokartwii.csv,,3963,N/A,2559,26,1193,09/29/2024
Destiny,2014,10,9,76,6.1,0,0,1,1,wr_history/destiny.csv,,3926,1.19,812,96,1032,09/29/2024
Sonic Frontiers,2022,2,1,75,8.7,1,1,1,1,wr_history/sonicfrontiers.csv,,3888,10.64,874,46,649,09/29/2024
Half-Life,1998,26,Unknown,96,9.0,1,0,1,0,wr_history/halflife.csv,,3846,N/A,3148,39,678,09/29/2024
Call of Duty: Modern Warfare 2,2009,15,Unknown,94,7.7,1,0,1,1,wr_history/codmodernwarfare2.csv,,3760,N/A,981,58,799,09/29/2024
Plants vs. Zombies,2009,15,9,92,8.7,1,1,1,1,wr_history/plantsvszombies.csv,,3616,1.10,1382,55,589,09/29/2024
Banjo-Kazooie,1998,26,9,92,9.1,0,1,0,1,wr_history/banjokazooie.csv,,3605,1.10,1354,18,495,09/29/2024
Mario Kart: Double Dash!!,2003,21,Unknown,87,8.7,0,1,0,0,wr_history/mariokartdoubledash.csv,,3286,N/A,1128,25,708,09/29/2024
