Date,Id,Players,Time,Seconds,Link
2017-12-31,ywx00l3m,ClingingTomcat8,08m 40s 564ms,520.564,https://www.speedrun.com/abclassic/runs/ywx00l3m
2018-01-10,yvgvdjey,Gamingguy63,06m 41s,401,https://www.speedrun.com/abclassic/runs/yvgvdjey
2018-02-25,yvg7828y,By_Juanvi,04m 55s,295,https://www.speedrun.com/abclassic/runs/yvg7828y
2018-02-26,z0e0x9om,By_Juanvi,04m 07s,247,https://www.speedrun.com/abclassic/runs/z0e0x9om
2018-02-27,y45n6jkm,Spielpro,03m 47s,227,https://www.speedrun.com/abclassic/runs/y45n6jkm
2018-02-28,yo4eqjdm,By_Juanvi,03m 35s,215,https://www.speedrun.com/abclassic/runs/yo4eqjdm
2018-02-28,y67jjqqm,By_Juanvi,03m 27s,207,https://www.speedrun.com/abclassic/runs/y67jjqqm
2018-03-17,yl95w0ry,Spielpro,03m 13s,193,https://www.speedrun.com/abclassic/runs/yl95w0ry
2020-12-18,z53ln7ey,EazySpeezy,03m 10s,190,https://www.speedrun.com/abclassic/runs/z53ln7ey
2020-12-28,z1o0jggm,ShanDahShan,03m 04s,184,https://www.speedrun.com/abclassic/runs/z1o0jggm
2020-12-31,mr9ww7gm,xstryder,02m 56s 533ms,176.533,https://www.speedrun.com/abclassic/runs/mr9ww7gm
2021-01-13,yv2401xm,ISLAFE,02m 53s 310ms,173.31,https://www.speedrun.com/abclassic/runs/yv2401xm
2021-01-24,ylo0602y,xstryder,02m 50s 083ms,170.083,https://www.speedrun.com/abclassic/runs/ylo0602y
2021-02-01,mr49go4z,gotutiyan,02m 45s 600ms,165.6,https://www.speedrun.com/abclassic/runs/mr49go4z
2021-02-05,yloq923y,gotutiyan,02m 41s 683ms,161.683,https://www.speedrun.com/abclassic/runs/yloq923y
2021-02-07,y9n9knnz,gotutiyan,02m 35s 200ms,155.2,https://www.speedrun.com/abclassic/runs/y9n9knnz
2022-10-05,z1g9w49z,fluido,02m 33s 958ms,153.958,https://www.speedrun.com/abclassic/runs/z1g9w49z
