Date,Id,Players,Time,Seconds,Link
2008-05-21,7yl4462m,MichMaster,3h 33m 14s,12794,https://www.speedrun.com/bk/runs/7yl4462m
2009-01-25,2ywppr2z,Artaresto,3h 24m 57s,12297,https://www.speedrun.com/bk/runs/2ywppr2z
2009-10-21,7yl44n2m,Gibbatizer,2h 54m 56s,10496,https://www.speedrun.com/bk/runs/7yl44n2m
2012-09-21,jy922xrz,hambacon,2h 30m 45s,9045,https://www.speedrun.com/bk/runs/jy922xrz
2014-04-16,9yo22d5z,Tooshi,2h 30m 13s,9013,https://www.speedrun.com/bk/runs/9yo22d5z
2014-08-02,7z033loz,smasher32,2h 18m 00s,8280,https://www.speedrun.com/bk/runs/7z033loz
2014-10-12,y8e37e1y,Animazism,2h 13m 02s,7982,https://www.speedrun.com/bk/runs/y8e37e1y
2015-02-24,z07wg7ey,Jumpman,2h 12m 28s,7948,https://www.speedrun.com/bk/runs/z07wg7ey
2016-02-17,1zx772ey,Cade,2h 11m 32s,7892,https://www.speedrun.com/bk/runs/1zx772ey
2016-06-01,9mrl8r2m,Arbliterator,2h 11m 00s,7860,https://www.speedrun.com/bk/runs/9mrl8r2m
2016-10-16,2yww0g0y,Arbliterator,2h 10m 46s,7846,https://www.speedrun.com/bk/runs/2yww0g0y
2016-10-19,9mr0g4dm,Arbliterator,2h 10m 04s,7804,https://www.speedrun.com/bk/runs/9mr0g4dm
2016-12-13,pzg9g6em,Arbliterator,2h 09m 50s,7790,https://www.speedrun.com/bk/runs/pzg9g6em
2016-12-24,pm32x24y,hagg_,2h 09m 44s,7784,https://www.speedrun.com/bk/runs/pm32x24y
2017-01-30,0y643wjm,Cade,2h 08m 26s,7706,https://www.speedrun.com/bk/runs/0y643wjm
2017-06-18,y231l95m,Arbliterator,2h 08m 09s,7689,https://www.speedrun.com/bk/runs/y231l95m
2017-07-18,ydq0j4xm,Duck,2h 07m 55s,7675,https://www.speedrun.com/bk/runs/ydq0j4xm
2017-07-27,zn8o8l3z,Duck,2h 07m 34s,7654,https://www.speedrun.com/bk/runs/zn8o8l3z
2017-09-30,zq60v28y,hagg_,2h 07m 10s,7630,https://www.speedrun.com/bk/runs/zq60v28y
2017-10-06,y923d6kz,Jctomo,2h 06m 11s,7571,https://www.speedrun.com/bk/runs/y923d6kz
2017-12-15,y9789qkm,Duck,2h 05m 51s,7551,https://www.speedrun.com/bk/runs/y9789qkm
2018-02-19,zgn6krvy,hagg_,2h 05m 30s,7530,https://www.speedrun.com/bk/runs/zgn6krvy
2018-04-15,yvgk5ney,hagg_,2h 05m 26s,7526,https://www.speedrun.com/bk/runs/yvgk5ney
2018-05-03,m79kk29y,Duck,2h 05m 24s,7524,https://www.speedrun.com/bk/runs/m79kk29y
2018-05-06,y8q5qpwy,Hellfoes,2h 05m 07s,7507,https://www.speedrun.com/bk/runs/y8q5qpwy
2018-05-07,mrq3ee2y,Duck,2h 05m 04s,7504,https://www.speedrun.com/bk/runs/mrq3ee2y
2018-05-15,yl9gdjry,Duck,2h 05m 00s,7500,https://www.speedrun.com/bk/runs/yl9gdjry
2018-06-06,zg7346nz,Duck,2h 04m 45s 170ms,7485.17,https://www.speedrun.com/bk/runs/zg7346nz
2018-06-19,yvjg7k6y,Hellfoes,2h 04m 38s,7478,https://www.speedrun.com/bk/runs/yvjg7k6y
2018-08-19,y89vq6wm,Duck,2h 04m 26s,7466,https://www.speedrun.com/bk/runs/y89vq6wm
2018-10-19,yvjrjpey,hagg_,2h 03m 52s,7432,https://www.speedrun.com/bk/runs/yvjrjpey
2018-12-24,yj4w323y,Duck,2h 03m 15s,7395,https://www.speedrun.com/bk/runs/yj4w323y
2019-02-09,y89o8w5m,hagg_,2h 03m 13s,7393,https://www.speedrun.com/bk/runs/y89o8w5m
2019-03-22,y43v752z,Duck,2h 02m 03s,7323,https://www.speedrun.com/bk/runs/y43v752z
2019-03-23,zq3n049y,hagg_,2h 01m 43s,7303,https://www.speedrun.com/bk/runs/zq3n049y
2019-03-26,y89lp91m,Duck,2h 01m 25s,7285,https://www.speedrun.com/bk/runs/y89lp91m
2019-05-20,zxk9l0em,hagg_,2h 01m 22s,7282,https://www.speedrun.com/bk/runs/zxk9l0em
2019-06-03,yoj4697m,Damo,2h 01m 00s,7260,https://www.speedrun.com/bk/runs/yoj4697m
2019-06-18,m7qp355z,Duck,2h 00m 44s,7244,https://www.speedrun.com/bk/runs/m7qp355z
2019-07-10,y41w2rdy,Damo,2h 00m 42s,7242,https://www.speedrun.com/bk/runs/y41w2rdy
2019-12-10,zp4pjwgz,hagg_,2h 00m 31s,7231,https://www.speedrun.com/bk/runs/zp4pjwgz
2020-03-11,y817gkwz,hagg_,2h 00m 22s,7222,https://www.speedrun.com/bk/runs/y817gkwz
2020-04-02,yd5q9ewm,Azmi,1h 59m 55s,7195,https://www.speedrun.com/bk/runs/yd5q9ewm
2020-10-15,y2dd2g6z,Duck,1h 59m 36s,7176,https://www.speedrun.com/bk/runs/y2dd2g6z
2021-01-02,mk8n05lm,Azmi,1h 58m 34s,7114,https://www.speedrun.com/bk/runs/mk8n05lm
2021-05-02,zxgd8w5y,Azmi,1h 58m 17s,7097,https://www.speedrun.com/bk/runs/zxgd8w5y
2021-06-10,mr1lx58z,Azmi,1h 56m 32s,6992,https://www.speedrun.com/bk/runs/mr1lx58z
2024-07-03,ywgl249z,Funderful,1h 56m 29s,6989,https://www.speedrun.com/bk/runs/ywgl249z
