Date,Id,Players,Time,Seconds,Link
2015-08-18,wzplg48m,Charlitian,1h 34m 44s,5684,https://www.speedrun.com/arkhamcity/runs/wzplg48m
2015-12-12,1zqvj4xm,orangesya,1h 33m 35s,5615,https://www.speedrun.com/arkhamcity/runs/1zqvj4xm
2016-02-15,8m76wpey,orangesya,1h 31m 04s,5464,https://www.speedrun.com/arkhamcity/runs/8m76wpey
2016-09-18,jy9d3wkm,orangesya,1h 29m 23s,5363,https://www.speedrun.com/arkhamcity/runs/jy9d3wkm
2016-11-13,1zqpwqrm,orangesya,1h 27m 42s,5262,https://www.speedrun.com/arkhamcity/runs/1zqpwqrm
2016-11-28,9me2w42m,DarkAtrax,1h 25m 18s,5118,https://www.speedrun.com/arkhamcity/runs/9me2w42m
2016-12-11,0zn5r18z,DarkAtrax,1h 24m 42s,5082,https://www.speedrun.com/arkhamcity/runs/0zn5r18z
2016-12-22,8y8n0vwy,DarkAtrax,1h 21m 31s,4891,https://www.speedrun.com/arkhamcity/runs/8y8n0vwy
2017-04-29,y6770kqm,cojo,1h 09m 53s,4193,https://www.speedrun.com/arkhamcity/runs/y6770kqm
2018-08-15,zp0l5nvm,ShikenNuggets,1h 09m 43s,4183,https://www.speedrun.com/arkhamcity/runs/zp0l5nvm
2018-09-09,y89dxgwm,ShikenNuggets,1h 09m 41s,4181,https://www.speedrun.com/arkhamcity/runs/y89dxgwm
2018-10-14,yj4x7x3y,ShikenNuggets,1h 09m 12s,4152,https://www.speedrun.com/arkhamcity/runs/yj4x7x3y
2019-03-29,yd3pkrjz,ShikenNuggets,1h 08m 17s,4097,https://www.speedrun.com/arkhamcity/runs/yd3pkrjz
2019-06-01,z01e9qoy,ShikenNuggets,1h 05m 49s,3949,https://www.speedrun.com/arkhamcity/runs/z01e9qoy
2020-01-12,znr9q68y,ShikenNuggets,1h 05m 35s,3935,https://www.speedrun.com/arkhamcity/runs/znr9q68y
2020-01-25,znrgx43y,ShikenNuggets,1h 04m 38s,3878,https://www.speedrun.com/arkhamcity/runs/znrgx43y
2020-05-15,yok7v0jz,ShikenNuggets,1h 04m 34s,3874,https://www.speedrun.com/arkhamcity/runs/yok7v0jz
2020-05-20,y65dgepz,ShikenNuggets,1h 04m 16s,3856,https://www.speedrun.com/arkhamcity/runs/y65dgepz
2020-05-29,meojx42z,ShikenNuggets,1h 03m 48s,3828,https://www.speedrun.com/arkhamcity/runs/meojx42z
2020-06-08,z15pk5gy,ShikenNuggets,1h 03m 38s,3818,https://www.speedrun.com/arkhamcity/runs/z15pk5gy
2020-07-21,y25nqw9y,ShikenNuggets,1h 03m 30s,3810,https://www.speedrun.com/arkhamcity/runs/y25nqw9y
2020-07-25,zx2jwk5m,ShikenNuggets,1h 02m 44s,3764,https://www.speedrun.com/arkhamcity/runs/zx2jwk5m
2020-09-08,zxx3e58z,Anonymous 3,1h 02m 35s,3755,https://www.speedrun.com/arkhamcity/runs/zxx3e58z
2020-09-12,y4e52gdm,ShikenNuggets,1h 01m 57s,3717,https://www.speedrun.com/arkhamcity/runs/y4e52gdm
2021-03-10,yj19k83y,Bepsi,1h 01m 41s,3701,https://www.speedrun.com/arkhamcity/runs/yj19k83y
2021-03-11,y2vwex5z,Bepsi,1h 01m 32s,3692,https://www.speedrun.com/arkhamcity/runs/y2vwex5z
2021-03-12,y9np7lnz,Bepsi,1h 01m 21s,3681,https://www.speedrun.com/arkhamcity/runs/y9np7lnz
2021-03-16,z18v91gy,Bepsi,1h 00m 39s,3639,https://www.speedrun.com/arkhamcity/runs/z18v91gy
2021-04-01,z50qojey,Bepsi,59m 58s,3598,https://www.speedrun.com/arkhamcity/runs/z50qojey
2021-07-22,ywql5k3y,Bepsi,59m 46s,3586,https://www.speedrun.com/arkhamcity/runs/ywql5k3y
2021-08-15,mk554r5m,Bepsi,58m 24s,3504,https://www.speedrun.com/arkhamcity/runs/mk554r5m
2021-10-20,z078p8jy,Bepsi,57m 58s,3478,https://www.speedrun.com/arkhamcity/runs/z078p8jy
2021-12-02,m7w95q5z,Bepsi,57m 02s,3422,https://www.speedrun.com/arkhamcity/runs/m7w95q5z
2022-10-13,z1g687rz,Bepsi,56m 07s,3367,https://www.speedrun.com/arkhamcity/runs/z1g687rz
2022-10-21,zxx3p1qz,Anonymous 2,55m 58s,3358,https://www.speedrun.com/arkhamcity/runs/zxx3p1qz
2022-10-24,mkdrd71y,Bepsi,55m 33s,3333,https://www.speedrun.com/arkhamcity/runs/mkdrd71y
2023-04-28,ylx628ky,Anonymous 2,55m 21s,3321,https://www.speedrun.com/arkhamcity/runs/ylx628ky
2023-04-29,yvxped4z,Anonymous 2,55m 17s,3317,https://www.speedrun.com/arkhamcity/runs/yvxped4z
2023-05-02,m3jq84wz,Anonymous 2,54m 52s,3292,https://www.speedrun.com/arkhamcity/runs/m3jq84wz
2023-06-30,zgoe10vm,Anonymous 2,54m 29s,3269,https://www.speedrun.com/arkhamcity/runs/zgoe10vm
2023-10-16,yvxpek4z,Anonymous 2,54m 12s,3252,https://www.speedrun.com/arkhamcity/runs/yvxpek4z
2023-10-21,zqqjnn5z,Anonymous 2,53m 39s,3219,https://www.speedrun.com/arkhamcity/runs/zqqjnn5z
2024-08-22,y8p6ll5z,Anonymous 2,53m 15s,3195,https://www.speedrun.com/arkhamcity/runs/y8p6ll5z
