Date,Id,Players,Time,Seconds,Link
2014-05-25,jy9dekm4,Matumbro,54m 59s,3299,https://www.speedrun.com/swbf2/runs/jy9dekm4
2014-05-27,9mewoqm7,DarkLightBoco,52m 06s,3126,https://www.speedrun.com/swbf2/runs/9mewoqm7
2014-05-29,pm3qegy0,StingerPA,50m 48s,3048,https://www.speedrun.com/swbf2/runs/pm3qegy0
2016-02-23,oy2pkj5z,ctc,49m 49s,2989,https://www.speedrun.com/swbf2/runs/oy2pkj5z
2017-03-16,7z0v74oy,DarkLightBoco,49m 21s,2961,https://www.speedrun.com/swbf2/runs/7z0v74oy
2017-07-19,y971j5nm,rakv,48m 54s,2934,https://www.speedrun.com/swbf2/runs/y971j5nm
2017-09-09,zn801j9z,lako3000,48m 50s,2930,https://www.speedrun.com/swbf2/runs/zn801j9z
2018-01-13,y2325r5m,ctc,48m 43s,2923,https://www.speedrun.com/swbf2/runs/y2325r5m
2018-01-31,zn8xj3vz,lako3000,48m 37s,2917,https://www.speedrun.com/swbf2/runs/zn8xj3vz
2018-02-24,z5owvnny,lako3000,47m 51s,2871,https://www.speedrun.com/swbf2/runs/z5owvnny
2020-12-09,yd0l87xz,DarkLightBoco,47m 36s,2856,https://www.speedrun.com/swbf2/runs/yd0l87xz
2021-01-18,yj1kpjoy,lako3000,47m 25s,2845,https://www.speedrun.com/swbf2/runs/yj1kpjoy
2021-01-20,mk79kvvy,Neveryear,47m 24s,2844,https://www.speedrun.com/swbf2/runs/mk79kvvy
2021-01-23,yw0p6q9m,lako3000,46m 38s,2798,https://www.speedrun.com/swbf2/runs/yw0p6q9m
2021-01-27,m3n562dy,lako3000,46m 25s,2785,https://www.speedrun.com/swbf2/runs/m3n562dy
2021-01-30,y2vd5g5z,lako3000,46m 08s,2768,https://www.speedrun.com/swbf2/runs/y2vd5g5z
2022-05-01,znp3e3vm,CaptainEmu,45m 56s 233ms,2756.233,https://www.speedrun.com/swbf2/runs/znp3e3vm
2022-12-31,y961n6vy,DarkLightBoco,45m 55s,2755,https://www.speedrun.com/swbf2/runs/y961n6vy
2024-01-23,ywnoro2y,CaptainEmu,45m 51s 267ms,2751.267,https://www.speedrun.com/swbf2/runs/ywnoro2y
2024-02-08,z0xvxw8z,Austin2714,45m 47s,2747,https://www.speedrun.com/swbf2/runs/z0xvxw8z
2024-02-12,ywgekp3z,Austin2714,45m 32s,2732,https://www.speedrun.com/swbf2/runs/ywgekp3z
2024-02-21,zp6qennm,Kazumus,45m 24s,2724,https://www.speedrun.com/swbf2/runs/zp6qennm
2024-06-03,y2284o9y,Austin2714,45m 02s 500ms,2702.5,https://www.speedrun.com/swbf2/runs/y2284o9y
2024-07-11,z5govonm,CaptainEmu,45m 02s 033ms,2702.033,https://www.speedrun.com/swbf2/runs/z5govonm
2024-07-24,y6e5k3qz,CaptainEmu,44m 59s 867ms,2699.867,https://www.speedrun.com/swbf2/runs/y6e5k3qz
