Date,Id,Players,Time,Seconds,Link
2019-08-01,zp430lxz,notSpeedrunner,3h 47m 02s,13622,https://www.speedrun.com/bpr/runs/zp430lxz
2020-04-19,zqwrdqxz,Nimputs,2h 31m 46s,9106,https://www.speedrun.com/bpr/runs/zqwrdqxz
2020-04-26,meoo0v2z,Trigger,2h 21m 53s,8513,https://www.speedrun.com/bpr/runs/meoo0v2z
2022-11-28,z0nwxg4m,Nimputs,2h 18m 03s,8283,https://www.speedrun.com/bpr/runs/z0nwxg4m
2022-12-11,mee82e2m,Demolished,2h 17m 57s,8277,https://www.speedrun.com/bpr/runs/mee82e2m
2023-05-04,z5powkjm,Demolished,2h 09m 46s,7786,https://www.speedrun.com/bpr/runs/z5powkjm
2023-09-15,z1k37ejy,Ventilo_,2h 09m 45s,7785,https://www.speedrun.com/bpr/runs/z1k37ejy
2023-09-17,y8kq55wy,Demolished,2h 04m 29s,7469,https://www.speedrun.com/bpr/runs/y8kq55wy
2023-09-21,yoo2o90y,Ventilo_,2h 03m 55s,7435,https://www.speedrun.com/bpr/runs/yoo2o90y
2023-09-23,y2kqrk5y,Ventilo_,2h 00m 27s,7227,https://www.speedrun.com/bpr/runs/y2kqrk5y
2023-10-05,zg8wo5vy,Demolished,1h 59m 54s,7194,https://www.speedrun.com/bpr/runs/zg8wo5vy
