Date,Id,Players,Time,Seconds,Link
2018-01-26,yl9x42xy,seckswrecks,1h 08m 12s 410ms,4092.41,https://www.speedrun.com/celeste/runs/yl9x42xy
2018-01-26,yl9xk42y,OddBod,59m 44s,3584,https://www.speedrun.com/celeste/runs/yl9xk42y
2018-01-27,yl9xvq3y,OddBod,57m 39s,3459,https://www.speedrun.com/celeste/runs/yl9xvq3y
2018-01-27,zn8x3g3z,OddBod,55m 07s,3307,https://www.speedrun.com/celeste/runs/zn8x3g3z
2018-01-27,zn8xoe8z,Hornlitz,54m 48s 123ms,3288.123,https://www.speedrun.com/celeste/runs/zn8xoe8z
2018-01-28,zq6qv78y,Hornlitz,51m 44s 761ms,3104.761,https://www.speedrun.com/celeste/runs/zq6qv78y
2018-01-29,mrqxn44y,OddBod,49m 53s,2993,https://www.speedrun.com/celeste/runs/mrqxn44y
2018-01-29,zpqx2nxy,Magolor9000,47m 33s,2853,https://www.speedrun.com/celeste/runs/zpqx2nxy
2018-01-30,y23wpw6m,Magolor9000,46m 21s,2781,https://www.speedrun.com/celeste/runs/y23wpw6m
2018-01-31,y67eonqm,Magolor9000,43m 21s 476ms,2601.476,https://www.speedrun.com/celeste/runs/y67eonqm
2018-02-01,zpqxw7gy,Magolor9000,41m 55s 201ms,2515.201,https://www.speedrun.com/celeste/runs/zpqxw7gy
2018-02-02,ydqlnjqm,Magolor9000,40m 32s 734ms,2432.734,https://www.speedrun.com/celeste/runs/ydqlnjqm
2018-02-03,m79oe09y,Magolor9000,39m 50s 302ms,2390.302,https://www.speedrun.com/celeste/runs/m79oe09y
2018-02-04,yvgx50oy,Magolor9000,39m 30s 667ms,2370.667,https://www.speedrun.com/celeste/runs/yvgx50oy
2018-02-06,y67ekljm,Magolor9000,39m 00s 407ms,2340.407,https://www.speedrun.com/celeste/runs/y67ekljm
2018-02-09,y67glj6m,fireb0rn,38m 56s 344ms,2336.344,https://www.speedrun.com/celeste/runs/y67glj6m
2018-02-09,yvgn3w8y,Magolor9000,38m 14s 949ms,2294.949,https://www.speedrun.com/celeste/runs/yvgn3w8y
2018-02-10,yl9pr73y,CosmicSense,38m 01s 264ms,2281.264,https://www.speedrun.com/celeste/runs/yl9pr73y
2018-02-12,yvgn88ey,CosmicSense,37m 54s 141ms,2274.141,https://www.speedrun.com/celeste/runs/yvgn88ey
2018-02-13,zxvj3gky,Magolor9000,37m 40s 983ms,2260.983,https://www.speedrun.com/celeste/runs/zxvj3gky
2018-02-14,zn892j9z,CosmicSense,36m 52s 397ms,2212.397,https://www.speedrun.com/celeste/runs/zn892j9z
2018-02-16,y23n6g7m,CosmicSense,36m 29s 413ms,2189.413,https://www.speedrun.com/celeste/runs/y23n6g7m
2018-02-19,yw1215nz,CosmicSense,36m 12s 107ms,2172.107,https://www.speedrun.com/celeste/runs/yw1215nz
2018-02-20,zxv02n5y,CosmicSense,35m 40s 912ms,2140.912,https://www.speedrun.com/celeste/runs/zxv02n5y
2018-02-23,m79l7xwy,TGH,35m 32s 922ms,2132.922,https://www.speedrun.com/celeste/runs/m79l7xwy
2018-02-25,ydq4glwm,yp,35m 27s 499ms,2127.499,https://www.speedrun.com/celeste/runs/ydq4glwm
2018-02-25,zgn6e8ny,TGH,35m 20s 087ms,2120.087,https://www.speedrun.com/celeste/runs/zgn6e8ny
2018-02-26,m3dvkl6z,yp,35m 15s 123ms,2115.123,https://www.speedrun.com/celeste/runs/m3dvkl6z
2018-02-27,yjkqogom,yp,34m 39s 474ms,2079.474,https://www.speedrun.com/celeste/runs/yjkqogom
2018-03-01,zn8ggpvz,TGH,34m 22s 372ms,2062.372,https://www.speedrun.com/celeste/runs/zn8ggpvz
2018-03-04,m3d29qdz,TGH,34m 10s 319ms,2050.319,https://www.speedrun.com/celeste/runs/m3d29qdz
2018-03-06,y8qn961y,TGH,34m 06s 392ms,2046.392,https://www.speedrun.com/celeste/runs/y8qn961y
2018-03-07,mrq5k97y,TGH,33m 52s 316ms,2032.316,https://www.speedrun.com/celeste/runs/mrq5k97y
2018-03-09,mrq51n7y,yp,33m 34s 058ms,2014.058,https://www.speedrun.com/celeste/runs/mrq51n7y
2018-03-12,zn85j3vz,TGH,33m 33s 616ms,2013.616,https://www.speedrun.com/celeste/runs/zn85j3vz
2018-03-19,z0ekvo9m,TGH,33m 21s 886ms,2001.886,https://www.speedrun.com/celeste/runs/z0ekvo9m
2018-03-21,zxvpkv8y,yp,33m 19s 625ms,1999.625,https://www.speedrun.com/celeste/runs/zxvpkv8y
2018-03-21,m79jqr5y,TGH,33m 04s 937ms,1984.937,https://www.speedrun.com/celeste/runs/m79jqr5y
2018-03-22,y97g0grm,yp,32m 53s 530ms,1973.53,https://www.speedrun.com/celeste/runs/y97g0grm
2018-03-23,yvge1noy,TGH,32m 43s 993ms,1963.993,https://www.speedrun.com/celeste/runs/yvge1noy
2018-04-01,zn866d8z,TGH,32m 24s 018ms,1944.018,https://www.speedrun.com/celeste/runs/zn866d8z
2018-04-08,mek5319m,TGH,31m 59s 181ms,1919.181,https://www.speedrun.com/celeste/runs/mek5319m
2018-04-20,yjk03l3m,TGH,31m 51s 140ms,1911.14,https://www.speedrun.com/celeste/runs/yjk03l3m
2018-05-02,y23orp7m,TGH,31m 48s 216ms,1908.216,https://www.speedrun.com/celeste/runs/y23orp7m
2018-05-02,zxv1p58y,TGH,31m 38s 764ms,1898.764,https://www.speedrun.com/celeste/runs/zxv1p58y
2018-05-06,ydqk63wm,TGH,31m 27s 408ms,1887.408,https://www.speedrun.com/celeste/runs/ydqk63wm
2018-05-11,zn8d7j3z,TGH,31m 25s 521ms,1885.521,https://www.speedrun.com/celeste/runs/zn8d7j3z
2018-05-16,z5o96ley,TGH,31m 24s 535ms,1884.535,https://www.speedrun.com/celeste/runs/z5o96ley
2018-05-19,zxver95y,TGH,31m 17s 395ms,1877.395,https://www.speedrun.com/celeste/runs/zxver95y
