Date,Id,Players,Time,Seconds,Link
2013-12-15,nz121lry,Wari,1h 41m 11s 900ms,6071.9,https://www.speedrun.com/mw2/runs/nz121lry
2014-06-23,z5rprd5y,TheTwitchCop,1h 37m 49s,5869,https://www.speedrun.com/mw2/runs/z5rprd5y
2014-10-02,9yo0d7yx,Lo1ts,1h 32m 17s 500ms,5537.5,https://www.speedrun.com/mw2/runs/9yo0d7yx
2015-08-20,pzgxg2jm,Jukspa,1h 30m 51s,5451,https://www.speedrun.com/mw2/runs/pzgxg2jm
2015-09-19,kz50q45y,Jukspa,1h 29m 52s,5392,https://www.speedrun.com/mw2/runs/kz50q45y
2016-07-21,0zneqd3z,reddagger,1h 28m 32s,5312,https://www.speedrun.com/mw2/runs/0zneqd3z
2016-08-08,1zxq9egm,reddagger,1h 26m 28s,5188,https://www.speedrun.com/mw2/runs/1zxq9egm
2019-01-24,y6pedv1m,Plebineezer,1h 26m 03s 600ms,5163.6,https://www.speedrun.com/mw2/runs/y6pedv1m
2019-05-04,m3oero6m,reddagger,1h 25m 21s 740ms,5121.74,https://www.speedrun.com/mw2/runs/m3oero6m
2019-12-25,y416dgdy,reddagger,1h 24m 25s 910ms,5065.91,https://www.speedrun.com/mw2/runs/y416dgdy
2020-06-01,y82j09ny,Klooger,1h 24m 06s 970ms,5046.97,https://www.speedrun.com/mw2/runs/y82j09ny
2020-06-07,y4wq25dm,Klooger,1h 22m 46s 800ms,4966.8,https://www.speedrun.com/mw2/runs/y4wq25dm
2020-07-27,yw8wwo9y,Klooger,1h 22m 44s 360ms,4964.36,https://www.speedrun.com/mw2/runs/yw8wwo9y
2020-10-27,z53r2qdy,Klooger,1h 22m 43s 850ms,4963.85,https://www.speedrun.com/mw2/runs/z53r2qdy
2021-06-03,y2xj969m,Klooger,1h 22m 21s 100ms,4941.1,https://www.speedrun.com/mw2/runs/y2xj969m
2022-07-27,zgp4r6vz,Klooger,1h 22m 12s 060ms,4932.06,https://www.speedrun.com/mw2/runs/zgp4r6vz
2022-08-02,yd1qr3xy,Klooger,1h 21m 47s 090ms,4907.09,https://www.speedrun.com/mw2/runs/yd1qr3xy
2023-12-18,yd222ovm,ekiy,1h 21m 35s 770ms,4895.77,https://www.speedrun.com/mw2/runs/yd222ovm
