Date,Id,Players,Time,Seconds,Link
2015-01-28,2yw17v9z,SgtMaximum,00m 26s 100ms,26.1,https://www.speedrun.com/csgo/runs/2yw17v9z
2015-01-28,8yvgkpey,Nyu,00m 25s 300ms,25.3,https://www.speedrun.com/csgo/runs/8yvgkpey
2015-01-28,9mek5n9m,DropNo,00m 24s 900ms,24.9,https://www.speedrun.com/csgo/runs/9mek5n9m
2015-01-29,7z0eg59m,DropNo,00m 23s 600ms,23.6,https://www.speedrun.com/csgo/runs/7z0eg59m
2015-01-31,9mrqgx7y,DropNo,00m 22s 300ms,22.3,https://www.speedrun.com/csgo/runs/9mrqgx7y
2015-01-31,pzgn4ney,DropNo,00m 21s 900ms,21.9,https://www.speedrun.com/csgo/runs/pzgn4ney
2015-03-17,pm31djqz,DropNo,00m 20s 800ms,20.8,https://www.speedrun.com/csgo/runs/pm31djqz
2015-03-18,nz12oe9y,mikl,00m 20s 500ms,20.5,https://www.speedrun.com/csgo/runs/nz12oe9y
2016-01-25,pm36jwgm,AkitsuMaru,00m 20s 300ms,20.3,https://www.speedrun.com/csgo/runs/pm36jwgm
2016-01-27,7ylej1rz,mikl,00m 20s 200ms,20.2,https://www.speedrun.com/csgo/runs/7ylej1rz
2016-01-27,emkewv1m,mikl,00m 19s 800ms,19.8,https://www.speedrun.com/csgo/runs/emkewv1m
2018-02-25,z0e0nd8m,losi,00m 19s 600ms,19.6,https://www.speedrun.com/csgo/runs/z0e0nd8m
2018-03-03,ydq476wm,Hedip,00m 19s 300ms,19.3,https://www.speedrun.com/csgo/runs/ydq476wm
2018-03-06,yjk737om,Hedip,00m 19s 100ms,19.1,https://www.speedrun.com/csgo/runs/yjk737om
2018-03-13,zxv5q7gy,derp,00m 18s 800ms,18.8,https://www.speedrun.com/csgo/runs/zxv5q7gy
2020-01-07,yw4x9n3z,butter_but8,00m 18s 100ms,18.1,https://www.speedrun.com/csgo/runs/yw4x9n3z
2020-01-16,yw4ww22z,derp,00m 17s 900ms,17.9,https://www.speedrun.com/csgo/runs/yw4ww22z
2020-06-30,meoln22z,Hedip,00m 17s 600ms,17.6,https://www.speedrun.com/csgo/runs/meoln22z
