Date,Id,Players,Time,Seconds,Link
2010-09-30,nz139jme,Austinn Hallman,1h 01m 06s,3666,https://www.speedrun.com/ctr/runs/nz139jme
2013-01-01,9meke2m7,BuffSeagull,57m 15s,3435,https://www.speedrun.com/ctr/runs/9meke2m7
2013-05-06,0znx937y,Pull,56m 46s,3406,https://www.speedrun.com/ctr/runs/0znx937y
2013-05-24,7ylxpvny,Pull,56m 05s,3365,https://www.speedrun.com/ctr/runs/7ylxpvny
2013-06-03,1zqq2grz,Pull,55m 55s,3355,https://www.speedrun.com/ctr/runs/1zqq2grz
2013-09-22,pm3jwndz,Pull,54m 54s,3294,https://www.speedrun.com/ctr/runs/pm3jwndz
2013-09-30,0y6eg66z,Pull,54m 00s,3240,https://www.speedrun.com/ctr/runs/0y6eg66z
2014-04-16,9yoxq90y,Pull,53m 45s,3225,https://www.speedrun.com/ctr/runs/9yoxq90y
2014-04-24,wzpxk3xm,Pull,53m 09s,3189,https://www.speedrun.com/ctr/runs/wzpxk3xm
2014-04-26,pydlv9vz,Pull,52m 36s,3156,https://www.speedrun.com/ctr/runs/pydlv9vz
2014-05-05,jy9dpnem,Pull,52m 08s,3128,https://www.speedrun.com/ctr/runs/jy9dpnem
2014-06-01,oy23x5md,Pull,51m 46s,3106,https://www.speedrun.com/ctr/runs/oy23x5md
2014-11-16,9yoo0dyx,Karlie,51m 33s,3093,https://www.speedrun.com/ctr/runs/9yoo0dyx
2015-02-20,wzp0wrrm,Karlie,51m 24s,3084,https://www.speedrun.com/ctr/runs/wzp0wrrm
2015-03-01,8m7pl20m,Karlie,51m 21s,3081,https://www.speedrun.com/ctr/runs/8m7pl20m
2015-04-21,8y81gvwz,Karlie,51m 19s,3079,https://www.speedrun.com/ctr/runs/8y81gvwz
2015-04-24,pm312xqz,Karlie,51m 16s,3076,https://www.speedrun.com/ctr/runs/pm312xqz
2016-01-27,8y8jgoxz,Pull,51m 06s,3066,https://www.speedrun.com/ctr/runs/8y8jgoxz
2016-02-24,2yw3xppm,Pull,50m 47s,3047,https://www.speedrun.com/ctr/runs/2yw3xppm
2018-12-21,zg71qqnz,BlitzPhoenix98,50m 35s,3035,https://www.speedrun.com/ctr/runs/zg71qqnz
2020-04-09,zpr0l8gm,Hypnoshark,50m 32s,3032,https://www.speedrun.com/ctr/runs/zpr0l8gm
2020-04-15,yjl4no7z,Hypnoshark,50m 28s,3028,https://www.speedrun.com/ctr/runs/yjl4no7z
2020-06-09,mrk7ld8y,Hypnoshark,50m 27s,3027,https://www.speedrun.com/ctr/runs/mrk7ld8y
2020-06-14,znkq7d8z,Hypnoshark,50m 23s,3023,https://www.speedrun.com/ctr/runs/znkq7d8z
2020-06-19,yjl83p7z,Hypnoshark,50m 18s,3018,https://www.speedrun.com/ctr/runs/yjl83p7z
2020-06-26,yd5j32wm,Hypnoshark,50m 17s,3017,https://www.speedrun.com/ctr/runs/yd5j32wm
2020-07-21,y90dg9vy,Hypnoshark,50m 03s,3003,https://www.speedrun.com/ctr/runs/y90dg9vy
2020-07-23,z5jlro5m,Hypnoshark,49m 55s,2995,https://www.speedrun.com/ctr/runs/z5jlro5m
2020-07-25,y4wjknkm,Hypnoshark,49m 46s,2986,https://www.speedrun.com/ctr/runs/y4wjknkm
2020-07-29,zgw6w4jy,Hypnoshark,49m 43s,2983,https://www.speedrun.com/ctr/runs/zgw6w4jy
2020-07-31,meo2e3qz,Hypnoshark,49m 40s,2980,https://www.speedrun.com/ctr/runs/meo2e3qz
2020-08-03,zgw6550y,Hypnoshark,49m 36s,2976,https://www.speedrun.com/ctr/runs/zgw6550y
2020-08-04,yd5o3r0m,Hypnoshark,49m 34s,2974,https://www.speedrun.com/ctr/runs/yd5o3r0m
2020-08-09,yw855d0y,Hypnoshark,49m 32s,2972,https://www.speedrun.com/ctr/runs/yw855d0y
2020-08-20,mk3nnexz,Hypnoshark,49m 24s,2964,https://www.speedrun.com/ctr/runs/mk3nnexz
2020-09-08,zq4kxk5m,Hypnoshark,49m 22s,2962,https://www.speedrun.com/ctr/runs/zq4kxk5m
2020-09-25,zpl0ekrm,Hypnoshark,49m 20s,2960,https://www.speedrun.com/ctr/runs/zpl0ekrm
2020-09-30,y8r2q8xm,Hypnoshark,49m 18s,2958,https://www.speedrun.com/ctr/runs/y8r2q8xm
2021-01-04,y2do3x6z,Hypnoshark,49m 06s,2946,https://www.speedrun.com/ctr/runs/y2do3x6z
2021-08-02,zxo4vdqz,Hypnoshark,49m 05s,2945,https://www.speedrun.com/ctr/runs/zxo4vdqz
2021-11-04,y27rw16z,Hypnoshark,49m 04s,2944,https://www.speedrun.com/ctr/runs/y27rw16z
2021-12-09,yle9x4rz,Hypnoshark,49m 01s,2941,https://www.speedrun.com/ctr/runs/yle9x4rz
2021-12-16,ywjpo1pz,Hypnoshark,48m 56s,2936,https://www.speedrun.com/ctr/runs/ywjpo1pz
2022-02-20,y8jpp81z,Hypnoshark,48m 47s,2927,https://www.speedrun.com/ctr/runs/y8jpp81z
2022-03-14,y8jlg81z,Hypnoshark,48m 42s,2922,https://www.speedrun.com/ctr/runs/y8jlg81z
2022-03-21,zq0oxjxy,Hypnoshark,48m 29s,2909,https://www.speedrun.com/ctr/runs/zq0oxjxy
2022-06-27,zq7qvo8m,Hypnoshark,48m 28s,2908,https://www.speedrun.com/ctr/runs/zq7qvo8m
2022-11-10,zgq0qe0y,Hypnoshark,48m 26s,2906,https://www.speedrun.com/ctr/runs/zgq0qe0y
2023-02-11,y800jlxm,Hypnoshark,48m 25s,2905,https://www.speedrun.com/ctr/runs/y800jlxm
2023-11-23,yvv0958y,Hypnoshark,48m 23s,2903,https://www.speedrun.com/ctr/runs/yvv0958y
2023-12-26,yd2l8wxm,Hypnoshark,48m 21s,2901,https://www.speedrun.com/ctr/runs/yd2l8wxm
