Date,Id,Players,Time,Seconds,Link
2018-07-04,zn449v8m,xLink,57m 15s,3435,https://www.speedrun.com/crashnst/runs/zn449v8m
2018-07-04,zg776x0z,CaptainOneBall,56m 24s,3384,https://www.speedrun.com/crashnst/runs/zg776x0z
2018-07-04,yj44qw3y,xLink,55m 18s,3318,https://www.speedrun.com/crashnst/runs/yj44qw3y
2018-07-05,y2qq6xjy,EK_Venom,49m 25s,2965,https://www.speedrun.com/crashnst/runs/y2qq6xjy
2018-07-09,ywp4pq3z,Trob,48m 09s,2889,https://www.speedrun.com/crashnst/runs/ywp4pq3z
2018-07-23,y43w5e3z,leleo8000,48m 07s,2887,https://www.speedrun.com/crashnst/runs/y43w5e3z
2018-08-01,y920pwez,leleo8000,47m 15s,2835,https://www.speedrun.com/crashnst/runs/y920pwez
2018-08-05,y6pr7vjm,AustinOblivion,43m 50s,2630,https://www.speedrun.com/crashnst/runs/y6pr7vjm
2018-08-05,z11o1qjz,AustinOblivion,43m 21s,2601,https://www.speedrun.com/crashnst/runs/z11o1qjz
2018-08-30,z11861jz,AustinOblivion,43m 20s,2600,https://www.speedrun.com/crashnst/runs/z11861jz
2018-09-09,z11rq9wz,AustinOblivion,43m 01s,2581,https://www.speedrun.com/crashnst/runs/z11rq9wz
2018-09-10,zp01wjnm,AustinOblivion,42m 47s,2567,https://www.speedrun.com/crashnst/runs/zp01wjnm
2019-01-17,zg7loo0z,AustinOblivion,42m 36s,2556,https://www.speedrun.com/crashnst/runs/zg7loo0z
2019-01-17,zn42g03m,AustinOblivion,42m 33s,2553,https://www.speedrun.com/crashnst/runs/zn42g03m
2019-01-20,y92jrkez,AustinOblivion,42m 19s,2539,https://www.speedrun.com/crashnst/runs/y92jrkez
2019-04-16,zg75310z,AustinOblivion,42m 10s,2530,https://www.speedrun.com/crashnst/runs/zg75310z
2021-08-27,zqv16wxm,CasuallyClutching,42m 07s,2527,https://www.speedrun.com/crashnst/runs/zqv16wxm
2021-09-11,zxo7gwkz,boolarbear,42m 05s,2525,https://www.speedrun.com/crashnst/runs/zxo7gwkz
2021-09-12,mk5kvoxm,boolarbear,41m 58s,2518,https://www.speedrun.com/crashnst/runs/mk5kvoxm
2022-01-15,y2007d6m,AustinOblivion,41m 57s,2517,https://www.speedrun.com/crashnst/runs/y2007d6m
2022-01-19,mej3v90y,CasuallyClutching,41m 50s,2510,https://www.speedrun.com/crashnst/runs/mej3v90y
2022-01-26,zgdqlodz,CasuallyClutching,41m 37s,2497,https://www.speedrun.com/crashnst/runs/zgdqlodz
2022-02-12,y8jk53dz,CasuallyClutching,41m 27s,2487,https://www.speedrun.com/crashnst/runs/y8jk53dz
2022-02-26,zp2kk38y,CasuallyClutching,41m 22s,2482,https://www.speedrun.com/crashnst/runs/zp2kk38y
2022-04-22,m33152dm,CasuallyClutching,41m 15s,2475,https://www.speedrun.com/crashnst/runs/m33152dm
2022-06-17,yddj7vwy,CasuallyClutching,41m 06s,2466,https://www.speedrun.com/crashnst/runs/yddj7vwy
2022-07-01,yl7pkn2m,CasuallyClutching,40m 48s,2448,https://www.speedrun.com/crashnst/runs/yl7pkn2m
2023-03-19,ylnj7g3z,hoku_jaga,40m 44s,2444,https://www.speedrun.com/crashnst/runs/ylnj7g3z
2023-06-03,y626l91z,hoku_jaga,40m 39s,2439,https://www.speedrun.com/crashnst/runs/y626l91z
2023-09-05,yd2886qm,hoku_jaga,40m 38s,2438,https://www.speedrun.com/crashnst/runs/yd2886qm
2023-10-05,z5kjk9gz,WingKn0x,40m 13s,2413,https://www.speedrun.com/crashnst/runs/z5kjk9gz
2023-10-12,y2kdnx5y,WingKn0x,40m 04s,2404,https://www.speedrun.com/crashnst/runs/y2kdnx5y
2023-10-15,y2kv576y,hoku_jaga,39m 42s,2382,https://www.speedrun.com/crashnst/runs/y2kv576y
2023-11-01,y4k74r3m,hoku_jaga,39m 38s,2378,https://www.speedrun.com/crashnst/runs/y4k74r3m
