Date,Id,Players,Time,Seconds,Link
2017-11-08,zn8qor7z,Wipeoutjack7,00m 04s 366ms,4.366,https://www.speedrun.com/crossy/runs/zn8qor7z
2018-07-17,y2q1wl5y,rec,00m 04s 300ms,4.3,https://www.speedrun.com/crossy/runs/y2q1wl5y
2018-09-07,zq319r5y,hugfal055,00m 04s 266ms,4.266,https://www.speedrun.com/crossy/runs/zq319r5y
2019-12-25,z578qpnm,Speedstinger22,00m 04s 233ms,4.233,https://www.speedrun.com/crossy/runs/z578qpnm
2020-01-08,zqr26jxy,Slapsicle,00m 04s 216ms,4.216,https://www.speedrun.com/crossy/runs/zqr26jxy
2020-01-23,yw42jv9z,Slapsicle,00m 04s 166ms,4.166,https://www.speedrun.com/crossy/runs/yw42jv9z
2020-03-07,z1jern9z,heriawsity,00m 04s 150ms,4.15,https://www.speedrun.com/crossy/runs/z1jern9z
2020-05-09,znkoor8z,heriawsity,00m 04s 133ms,4.133,https://www.speedrun.com/crossy/runs/znkoor8z
2021-05-18,zq1vnlxm,NotACultLeader1212,00m 04s 116ms,4.116,https://www.speedrun.com/crossy/runs/zq1vnlxm
2021-06-03,mr1oqw2z,Bargley_,00m 04s 083ms,4.083,https://www.speedrun.com/crossy/runs/mr1oqw2z
2021-06-21,yo7x07dm,Bargley_,00m 04s 066ms,4.066,https://www.speedrun.com/crossy/runs/yo7x07dm
2021-08-01,zgr7npdm,Meriesh,00m 04s 050ms,4.05,https://www.speedrun.com/crossy/runs/zgr7npdm
2021-08-26,y69d3eqy,NotACultLeader1212,00m 04s 033ms,4.033,https://www.speedrun.com/crossy/runs/y69d3eqy
2023-02-11,m3llg74m,Empiso,00m 04s,4,https://www.speedrun.com/crossy/runs/m3llg74m
2023-07-11,yonn7pdz,dayne_6747,00m 03s 983ms,3.983,https://www.speedrun.com/crossy/runs/yonn7pdz
2023-09-11,zppqqoxz,SwagBoy9241,00m 03s 967ms,3.967,https://www.speedrun.com/crossy/runs/zppqqoxz
2024-02-29,m7n862wz,Aerolite,00m 03s 950ms,3.95,https://www.speedrun.com/crossy/runs/m7n862wz
2024-03-19,m30nd4gm,Kycki,00m 03s 867ms,3.867,https://www.speedrun.com/crossy/runs/m30nd4gm
2024-05-02,yjo2l5gz,Kycki,00m 03s 817ms,3.817,https://www.speedrun.com/crossy/runs/yjo2l5gz
2024-05-03,ydnjenvm,Harhhhhhhh,00m 03s 800ms,3.8,https://www.speedrun.com/crossy/runs/ydnjenvm
