Date,Id,Players,Time,Seconds,Link
2017-12-02,mrqol4gy,AlphaKong,50m 13s,3013,https://www.speedrun.com/cuphead/runs/mrqol4gy
2017-12-07,zgn212dy,Xtremelevel,44m 21s,2661,https://www.speedrun.com/cuphead/runs/zgn212dy
2017-12-11,mk4090vy,Solreth,36m 08s,2168,https://www.speedrun.com/cuphead/runs/mk4090vy
2017-12-14,zq6jg6ry,luigi100,33m 52s,2032,https://www.speedrun.com/cuphead/runs/zq6jg6ry
2017-12-20,m790390y,K_Prime,33m 09s,1989,https://www.speedrun.com/cuphead/runs/m790390y
2017-12-24,mrqlw87y,luigi100,32m 55s,1975,https://www.speedrun.com/cuphead/runs/mrqlw87y
2018-02-06,yw1w1p9z,SBDWolf,32m 51s,1971,https://www.speedrun.com/cuphead/runs/yw1w1p9z
2018-02-10,ydqvr9qm,luigi100,32m 48s,1968,https://www.speedrun.com/cuphead/runs/ydqvr9qm
2018-02-25,yl9j6wry,SBDWolf,32m 34s,1954,https://www.speedrun.com/cuphead/runs/yl9j6wry
2018-03-05,y97w20nm,luigi100,32m 26s,1946,https://www.speedrun.com/cuphead/runs/y97w20nm
2018-03-13,y23rwd5m,SBDWolf,31m 52s,1912,https://www.speedrun.com/cuphead/runs/y23rwd5m
2018-04-03,yw17163z,Kaleva,31m 50s,1910,https://www.speedrun.com/cuphead/runs/yw17163z
2018-04-08,mek5j48m,luigi100,31m 42s,1902,https://www.speedrun.com/cuphead/runs/mek5j48m
2018-04-20,zn8n4xvz,Kaleva,31m 36s,1896,https://www.speedrun.com/cuphead/runs/zn8n4xvz
2018-04-20,y97r2w2m,luigi100,31m 16s,1876,https://www.speedrun.com/cuphead/runs/y97r2w2m
2018-05-06,yjknpp3m,SBDWolf,30m 59s,1859,https://www.speedrun.com/cuphead/runs/yjknpp3m
2018-07-02,y6ppedjm,SBDWolf,30m 50s,1850,https://www.speedrun.com/cuphead/runs/y6ppedjm
2018-08-07,y6pr5wjm,Kaleva,30m 47s,1847,https://www.speedrun.com/cuphead/runs/y6pr5wjm
2018-08-12,mr89o34y,SBDWolf,30m 45s,1845,https://www.speedrun.com/cuphead/runs/mr89o34y
2018-08-27,y896q9xm,SBDWolf,30m 41s,1841,https://www.speedrun.com/cuphead/runs/y896q9xm
2018-08-28,y2qg3qjy,SBDWolf,30m 13s,1813,https://www.speedrun.com/cuphead/runs/y2qg3qjy
2018-08-29,yo29q0dz,SBDWolf,29m 47s,1787,https://www.speedrun.com/cuphead/runs/yo29q0dz
2018-12-07,y8969l1m,Grondious,29m 23s,1763,https://www.speedrun.com/cuphead/runs/y8969l1m
2019-01-05,yvjvdjey,SBDWolf,29m 21s 400ms,1761.4,https://www.speedrun.com/cuphead/runs/yvjvdjey
2019-01-08,yd3n6gwz,Grondious,29m 10s,1750,https://www.speedrun.com/cuphead/runs/yd3n6gwz
2019-02-08,y43jq13z,Grondious,29m 00s,1740,https://www.speedrun.com/cuphead/runs/y43jq13z
2019-02-21,zn4g0g3m,Grondious,28m 53s,1733,https://www.speedrun.com/cuphead/runs/zn4g0g3m
2019-08-13,zxk6eq8m,Jason2890,28m 49s,1729,https://www.speedrun.com/cuphead/runs/zxk6eq8m
2019-08-15,m31r1k6z,Grondious,28m 44s,1724,https://www.speedrun.com/cuphead/runs/m31r1k6z
2019-09-24,y95lqxvz,Jason2890,28m 37s,1717,https://www.speedrun.com/cuphead/runs/y95lqxvz
2019-11-03,yl0n17xy,Grondious,28m 36s,1716,https://www.speedrun.com/cuphead/runs/yl0n17xy
2019-11-04,m7q2074z,Grondious,28m 35s,1715,https://www.speedrun.com/cuphead/runs/m7q2074z
2019-11-14,yojnk91m,Jason2890,28m 29s,1709,https://www.speedrun.com/cuphead/runs/yojnk91m
2019-12-06,m7q3odez,Jason2890,28m 22s 580ms,1702.58,https://www.speedrun.com/cuphead/runs/m7q3odez
2020-01-17,yv3nkgez,Grondious,28m 13s 940ms,1693.94,https://www.speedrun.com/cuphead/runs/yv3nkgez
2022-10-28,zx85qdqm,ClipBoardGuy,28m 10s 040ms,1690.04,https://www.speedrun.com/cuphead/runs/zx85qdqm
2023-06-14,yon63r7z,ClipBoardGuy,28m 03s 950ms,1683.95,https://www.speedrun.com/cuphead/runs/yon63r7z
2023-07-24,zgeo7vey,Grondious,28m 02s 920ms,1682.92,https://www.speedrun.com/cuphead/runs/zgeo7vey
2023-07-27,y2k32e7y,Grondious,28m 02s 720ms,1682.72,https://www.speedrun.com/cuphead/runs/y2k32e7y
2023-08-16,y86l0nwm,Grondious,27m 57s 660ms,1677.66,https://www.speedrun.com/cuphead/runs/y86l0nwm
2023-09-14,z1k3927y,Grondious,27m 55s 190ms,1675.19,https://www.speedrun.com/cuphead/runs/z1k3927y
2023-09-15,y2k32j7y,Grondious,27m 54s 230ms,1674.23,https://www.speedrun.com/cuphead/runs/y2k32j7y
2023-10-15,m7384x4y,Grondious,27m 50s 050ms,1670.05,https://www.speedrun.com/cuphead/runs/m7384x4y
2023-11-01,ywnj1v3y,Grondious,27m 47s 480ms,1667.48,https://www.speedrun.com/cuphead/runs/ywnj1v3y
2023-11-02,m3k30jwy,Grondious,27m 45s 330ms,1665.33,https://www.speedrun.com/cuphead/runs/m3k30jwy
2023-11-19,yd2gxwxm,Grondious,27m 45s 100ms,1665.1,https://www.speedrun.com/cuphead/runs/yd2gxwxm
2023-12-04,y2kjl6wy,Grondious,27m 33s 470ms,1653.47,https://www.speedrun.com/cuphead/runs/y2kjl6wy
