Date,Id,Players,Time,Seconds,Link
2016-04-28,wzpgl5gz,Distortion2,53m 42s,3222,https://www.speedrun.com/darksouls3/runs/wzpgl5gz
2016-06-22,emk1d9xy,Otsunari,45m 45s,2745,https://www.speedrun.com/darksouls3/runs/emk1d9xy
2016-06-30,7ylx14ny,pseudostripy,44m 05s,2645,https://www.speedrun.com/darksouls3/runs/7ylx14ny
2016-07-01,oy2goqwz,Distortion2,39m 09s,2349,https://www.speedrun.com/darksouls3/runs/oy2goqwz
2016-07-19,2ywx6p3m,Distortion2,36m 43s,2203,https://www.speedrun.com/darksouls3/runs/2ywx6p3m
2016-08-27,8yvx0joz,gooner_gooner,36m 32s,2192,https://www.speedrun.com/darksouls3/runs/8yvx0joz
2017-11-25,y97n8lkm,Daravae,35m 25s,2125,https://www.speedrun.com/darksouls3/runs/y97n8lkm
2018-03-05,mk4r43vy,FudgeQT,35m 12s,2112,https://www.speedrun.com/darksouls3/runs/mk4r43vy
2018-04-03,zq6okw5y,FudgeQT,35m 07s,2107,https://www.speedrun.com/darksouls3/runs/zq6okw5y
2018-04-16,zxvrp08y,FudgeQT,34m 45s,2085,https://www.speedrun.com/darksouls3/runs/zxvrp08y
2018-06-15,m3odxpgm,FudgeQT,34m 32s,2072,https://www.speedrun.com/darksouls3/runs/m3odxpgm
2018-08-31,y2qvrl5y,FudgeQT,34m 02s,2042,https://www.speedrun.com/darksouls3/runs/y2qvrl5y
2018-09-03,zn41wl3m,FudgeQT,33m 56s,2036,https://www.speedrun.com/darksouls3/runs/zn41wl3m
2018-12-29,me80jp9m,FudgeQT,33m 37s,2017,https://www.speedrun.com/darksouls3/runs/me80jp9m
2019-01-01,z03xx08z,FudgeQT,33m 32s,2012,https://www.speedrun.com/darksouls3/runs/z03xx08z
2019-01-23,z03q5voz,I_r_foole,33m 20s,2000,https://www.speedrun.com/darksouls3/runs/z03q5voz
2019-02-17,yvj74dxy,FudgeQT,33m 11s,1991,https://www.speedrun.com/darksouls3/runs/yvj74dxy
2019-02-19,zx402d8y,I_r_foole,33m 09s,1989,https://www.speedrun.com/darksouls3/runs/zx402d8y
2019-03-04,mk9r9k1z,I_r_foole,33m 08s,1988,https://www.speedrun.com/darksouls3/runs/mk9r9k1z
