Date,Id,Players,Time,Seconds,Link
2017-04-01,z0ew554m,its_gshark|Fizh|EenMark_|Wami|ltsScrub|MOR Vacatedcolt,19m 12s,1152,https://www.speedrun.com/destiny/runs/z0ew554m
2018-08-01,ywp8oj9z,Samiam1192|dualshock100|WakkasFlakkas|ltsScrub|MoneyshotChain|Captain of Cats,18m 18s,1098,https://www.speedrun.com/destiny/runs/ywp8oj9z
2018-08-08,y43e21dz,dualshock100|Cruelty|Samiam1192|WakkasFlakkas|ltsScrub|MoneyshotChain,18m 03s,1083,https://www.speedrun.com/destiny/runs/y43e21dz
2019-10-21,z57xkk5m,Clevelandog|Hararo|Ethan_AC|Flabinsky-2|Frazz|kav,16m 37s,997,https://www.speedrun.com/destiny/runs/z57xkk5m
2020-03-16,mk2j743m,Danger|Atom1cc|grandpa717|Lazy|TBSA BoShIzPRo|Kacyinix,16m 36s,996,https://www.speedrun.com/destiny/runs/mk2j743m
2020-06-19,y65o51pz,Jjr604|Atom1cc|Kylo_Brent|DimmerPlains|Kacyinix|im briisky,16m 19s,979,https://www.speedrun.com/destiny/runs/y65o51pz
2020-12-31,yv2xvp8m,Jjr604|Sneakk|Kale|kav|EmberSP|Atom1cc,16m 13s,973,https://www.speedrun.com/destiny/runs/yv2xvp8m
2021-01-07,yd9l2jxz,Jjr604|Sneakk|Kale|kav|EmberSP|Atom1cc,15m 58s,958,https://www.speedrun.com/destiny/runs/yd9l2jxz
2021-01-09,mk71qqly,Jjr604|Sneakk|Kale|kav|EmberSP|Atom1cc,15m 23s,923,https://www.speedrun.com/destiny/runs/mk71qqly
2021-01-10,mr4x228z,Jjr604|Sneakk|Kale|kav|EmberSP|Atom1cc,15m 10s,910,https://www.speedrun.com/destiny/runs/mr4x228z
2021-01-10,yo9qp75y,Jjr604|Kale|EmberSP|Atom1cc|Sneakk|kav,15m 07s,907,https://www.speedrun.com/destiny/runs/yo9qp75y
2021-01-21,zgx7qrnm,Atom1cc|Jjr604|Sneakk|Kale|ltsScrub|kav,14m 58s,898,https://www.speedrun.com/destiny/runs/zgx7qrnm
2021-02-12,yj1epw7y,Atom1cc|Jjr604|Sneakk|Kale|Rulzs|kav,14m 53s,893,https://www.speedrun.com/destiny/runs/yj1epw7y
2021-02-24,yj18p0ny,Sneakk|Jjr604|Kale|Atom1cc|Rulzs|kav,14m 46s,886,https://www.speedrun.com/destiny/runs/yj18p0ny
2021-05-14,y2x7307m,Ghostbuster4389|Grzela|Camhxmmer|DonutsTasteNice|kav|lobsster,14m 37s,877,https://www.speedrun.com/destiny/runs/y2x7307m
2022-08-29,mrrn0jgm,Camhxmmer|Verkty|kav|caddy41|Grzela|kshiflett,14m 12s,852,https://www.speedrun.com/destiny/runs/mrrn0jgm
2022-12-15,yj84q3gm,Camhxmmer|kshiflett|Grzela|kav|caddy41|The God of Mice,13m 51s,831,https://www.speedrun.com/destiny/runs/yj84q3gm
2023-06-11,z5preeem,kshiflett|DonutsTasteNice|caddy41|Kale|Sneakk|Jubb_Jubb,13m 28s,808,https://www.speedrun.com/destiny/runs/z5preeem
2023-08-12,y98wdqrz,bootselectrics|kshiflett|DonutsTasteNice|kav|Alexthealex04|King32Slayer,13m 17s,797,https://www.speedrun.com/destiny/runs/y98wdqrz
2024-09-17,m7o315ey,Camhxmmer|kav|kshiflett|King32Slayer|bradi12345|Grzela,13m 04s,784,https://www.speedrun.com/destiny/runs/m7o315ey
