Date,Id,Players,Time,Seconds,Link
2015-09-03,zqw6de8z,MrLlamaSC,1h 30m 53s,5453,https://www.speedrun.com/d2lod/runs/zqw6de8z
2015-09-04,y253kjwy,MrLlamaSC,1h 29m 22s,5362,https://www.speedrun.com/d2lod/runs/y253kjwy
2015-09-17,y657qojz,Teo-,1h 25m 33s,5133,https://www.speedrun.com/d2lod/runs/y657qojz
2015-09-18,y253kj6y,Teo-,1h 25m 27s,5127,https://www.speedrun.com/d2lod/runs/y253kj6y
2015-09-21,z05exn4m,Teo-,1h 24m 27s,5067,https://www.speedrun.com/d2lod/runs/z05exn4m
2015-09-23,y657qo1z,Teo-,1h 20m 39s,4839,https://www.speedrun.com/d2lod/runs/y657qo1z
2015-12-28,yw81ngpy,Teo-,1h 20m 06s,4806,https://www.speedrun.com/d2lod/runs/yw81ngpy
2016-01-11,ylk9lxkz,Teo-,1h 19m 09s,4749,https://www.speedrun.com/d2lod/runs/ylk9lxkz
2018-03-04,y2532jwy,MrLlamaSC,1h 17m 53s,4673,https://www.speedrun.com/d2lod/runs/y2532jwy
2018-05-11,znk8228z,MrLlamaSC,1h 16m 14s,4574,https://www.speedrun.com/d2lod/runs/znk8228z
2018-05-15,y4w56knm,Ślimo,1h 12m 39s,4359,https://www.speedrun.com/d2lod/runs/y4w56knm
2018-12-11,y657v1pz,Laggzor,1h 10m 56s,4256,https://www.speedrun.com/d2lod/runs/y657v1pz
2019-03-04,y907d2ry,Indrek,1h 10m 31s,4231,https://www.speedrun.com/d2lod/runs/y907d2ry
2019-03-14,yv6gx38z,MrLlamaSC,1h 10m 10s,4210,https://www.speedrun.com/d2lod/runs/yv6gx38z
2019-03-15,zgwnokjy,Teo-,1h 09m 09s,4149,https://www.speedrun.com/d2lod/runs/zgwnokjy
2019-03-18,m7g9og9m,Indrek,1h 07m 54s,4074,https://www.speedrun.com/d2lod/runs/m7g9og9m
2019-11-20,yw81x2py,Ślimo,1h 06m 38s,3998,https://www.speedrun.com/d2lod/runs/yw81x2py
2019-11-25,y907devy,Indrek,1h 04m 44s,3884,https://www.speedrun.com/d2lod/runs/y907devy
2020-04-30,zgww57ey,Indrek,1h 02m 57s,3777,https://www.speedrun.com/d2lod/runs/zgww57ey
2020-05-05,zqw4dk1z,Indrek,55m 42s,3342,https://www.speedrun.com/d2lod/runs/zqw4dk1z
