Date,Id,Players,Time,Seconds,Link
2013-12-23,pydl4jzn,SkeletonBill,2h 19m 00s,8340,https://www.speedrun.com/dkr/runs/pydl4jzn
2014-11-20,8m7oeey0,JoeDamillio,1h 57m 32s,7052,https://www.speedrun.com/dkr/runs/8m7oeey0
2015-02-01,1zq3k55y,JoeDamillio,1h 57m 20s,7040,https://www.speedrun.com/dkr/runs/1zq3k55y
2015-02-06,nz113nrz,JoeDamillio,1h 57m 15s,7035,https://www.speedrun.com/dkr/runs/nz113nrz
2015-02-10,1zxxj5zx,0xwas,1h 56m 26s,6986,https://www.speedrun.com/dkr/runs/1zxxj5zx
2015-02-21,8yvx76zo,Toufool,1h 52m 20s,6740,https://www.speedrun.com/dkr/runs/8yvx76zo
2016-07-08,2ywn153y,MrsGizamaluke,1h 52m 17s,6737,https://www.speedrun.com/dkr/runs/2ywn153y
2016-09-16,9yox7v5y,MrsGizamaluke,1h 51m 45s,6705,https://www.speedrun.com/dkr/runs/9yox7v5y
2016-12-09,1zx0e0gz,MrsGizamaluke,1h 50m 44s,6644,https://www.speedrun.com/dkr/runs/1zx0e0gz
2017-01-31,1zxr43ez,Toufool,1h 50m 32s,6632,https://www.speedrun.com/dkr/runs/1zxr43ez
2017-06-10,zq6r951y,MrsGizamaluke,1h 50m 27s,6627,https://www.speedrun.com/dkr/runs/zq6r951y
2017-08-13,y45r90dm,Obiyo,1h 50m 18s,6618,https://www.speedrun.com/dkr/runs/y45r90dm
2017-10-16,y23ppd5m,MrsGizamaluke,1h 49m 26s,6566,https://www.speedrun.com/dkr/runs/y23ppd5m
2017-10-17,z0ep1vem,Obiyo,1h 49m 03s,6543,https://www.speedrun.com/dkr/runs/z0ep1vem
2017-10-30,m3d38x4z,MrsGizamaluke,1h 48m 58s,6538,https://www.speedrun.com/dkr/runs/m3d38x4z
2017-11-02,zpqd34xy,MrsGizamaluke,1h 48m 57s,6537,https://www.speedrun.com/dkr/runs/zpqd34xy
2018-07-29,yj4lwwgy,MrsGizamaluke,1h 48m 50s,6530,https://www.speedrun.com/dkr/runs/yj4lwwgy
2018-07-30,m3o50o6m,MrsGizamaluke,1h 47m 59s,6479,https://www.speedrun.com/dkr/runs/m3o50o6m
2018-08-10,zp0l22gm,Obiyo,1h 47m 38s,6458,https://www.speedrun.com/dkr/runs/zp0l22gm
2019-05-01,zx4e42qy,Obiyo,1h 47m 33s,6453,https://www.speedrun.com/dkr/runs/zx4e42qy
2019-05-04,y895v81m,Obiyo,1h 47m 19s,6439,https://www.speedrun.com/dkr/runs/y895v81m
2019-05-05,zp072wgm,Obiyo,1h 46m 10s,6370,https://www.speedrun.com/dkr/runs/zp072wgm
2020-05-02,y25ddlwy,Obiyo,1h 46m 03s,6363,https://www.speedrun.com/dkr/runs/y25ddlwy
2020-05-13,mrk4xe4y,Obiyo,1h 45m 36s,6336,https://www.speedrun.com/dkr/runs/mrk4xe4y
2020-07-09,yd5n68xm,tridenttail,1h 45m 26s,6326,https://www.speedrun.com/dkr/runs/yd5n68xm
2020-07-18,yokxnr5z,Obiyo,1h 45m 24s,6324,https://www.speedrun.com/dkr/runs/yokxnr5z
2021-01-10,zn3d287y,Obiyo,1h 44m 48s,6288,https://www.speedrun.com/dkr/runs/zn3d287y
2021-11-25,me4r76qy,Obiyo,1h 44m 34s,6274,https://www.speedrun.com/dkr/runs/me4r76qy
2021-12-26,m7wgr5ez,tridenttail,1h 44m 22s,6262,https://www.speedrun.com/dkr/runs/m7wgr5ez
2022-03-22,y8j79k1z,Obiyo,1h 43m 52s,6232,https://www.speedrun.com/dkr/runs/y8j79k1z
2022-08-09,zx8kl88m,tridenttail,1h 43m 45s,6225,https://www.speedrun.com/dkr/runs/zx8kl88m
2023-02-25,mro2w14m,Obiyo,1h 43m 08s,6188,https://www.speedrun.com/dkr/runs/mro2w14m
2024-08-10,yj9g4qdz,MrPonytale,1h 43m 07s,6187,https://www.speedrun.com/dkr/runs/yj9g4qdz
2024-08-10,znx14lvy,MrPonytale,1h 42m 58s,6178,https://www.speedrun.com/dkr/runs/znx14lvy
