Date,Id,Players,Time,Seconds,Link
2016-05-15,pydglqwy,bloodwhale,25m 29s,1529,https://www.speedrun.com/enter_the_gungeon/runs/pydglqwy
2016-05-20,oy2j88jz,Spleen,21m 39s,1299,https://www.speedrun.com/enter_the_gungeon/runs/oy2j88jz
2016-05-20,0znjgg9m,Spleen,19m 59s,1199,https://www.speedrun.com/enter_the_gungeon/runs/0znjgg9m
2016-05-28,8m72rgwz,Spleen,17m 11s,1031,https://www.speedrun.com/enter_the_gungeon/runs/8m72rgwz
2016-06-19,oy2gg75z,Spleen,16m 22s,982,https://www.speedrun.com/enter_the_gungeon/runs/oy2gg75z
2016-06-22,wzpw6gvy,Spleen,15m 55s,955,https://www.speedrun.com/enter_the_gungeon/runs/wzpw6gvy
2016-09-25,9mrxo3dm,LudicSavant,15m 52s,952,https://www.speedrun.com/enter_the_gungeon/runs/9mrxo3dm
2017-05-26,zn8498vz,Wonderis_,15m 00s,900,https://www.speedrun.com/enter_the_gungeon/runs/zn8498vz
2017-07-13,zq64g29y,Wonderis_,14m 21s,861,https://www.speedrun.com/enter_the_gungeon/runs/zq64g29y
2017-10-21,y45q76qm,OJSN,14m 20s,860,https://www.speedrun.com/enter_the_gungeon/runs/y45q76qm
2017-10-28,mek3n22m,Wonderis_,14m 13s,853,https://www.speedrun.com/enter_the_gungeon/runs/mek3n22m
2017-11-13,y97x6vrm,Wonderis_,13m 01s,781,https://www.speedrun.com/enter_the_gungeon/runs/y97x6vrm
2018-02-26,zxv03e5y,CadeMofu,11m 50s,710,https://www.speedrun.com/enter_the_gungeon/runs/zxv03e5y
2018-10-08,mr867w7y,Wonderis_,11m 44s,704,https://www.speedrun.com/enter_the_gungeon/runs/mr867w7y
2019-03-09,mk9rd53z,napalm,11m 17s,677,https://www.speedrun.com/enter_the_gungeon/runs/mk9rd53z
2019-03-18,zp0v038m,Wonderis_,10m 38s,638,https://www.speedrun.com/enter_the_gungeon/runs/zp0v038m
2019-04-12,y434jlkz,napalm,10m 30s,630,https://www.speedrun.com/enter_the_gungeon/runs/y434jlkz
2019-04-12,z514w8dm,Wonderis_,10m 13s,613,https://www.speedrun.com/enter_the_gungeon/runs/z514w8dm
2019-04-15,yd3xk6wz,napalm,07m 01s,421,https://www.speedrun.com/enter_the_gungeon/runs/yd3xk6wz
2022-05-01,mkk3wr5m,napalm,06m 51s,411,https://www.speedrun.com/enter_the_gungeon/runs/mkk3wr5m
2023-01-25,m72w7qwz,HollowGun,06m 35s,395,https://www.speedrun.com/enter_the_gungeon/runs/m72w7qwz
