Date,Id,Players,Time,Seconds,Link
2017-09-28,mk4e8rvy,ChirpingMatt,1h 37m 20s 760ms,5840.76,https://www.speedrun.com/the_escapists_2/runs/mk4e8rvy
2017-09-29,z5ov0ngy,ChirpingMatt,1h 14m 30s 060ms,4470.06,https://www.speedrun.com/the_escapists_2/runs/z5ov0ngy
2017-09-30,mekj40qm,ChirpingMatt,57m 27s 060ms,3447.06,https://www.speedrun.com/the_escapists_2/runs/mekj40qm
2017-10-02,z0eop3em,Acrux,52m 05s 930ms,3125.93,https://www.speedrun.com/the_escapists_2/runs/z0eop3em
2017-10-05,zn87e2vz,ChirpingMatt,46m 25s 800ms,2785.8,https://www.speedrun.com/the_escapists_2/runs/zn87e2vz
2017-12-26,y8q671ny,ChirpingMatt,42m 59s 430ms,2579.43,https://www.speedrun.com/the_escapists_2/runs/y8q671ny
2018-01-13,y2325vwm,ChirpingMatt,34m 31s 400ms,2071.4,https://www.speedrun.com/the_escapists_2/runs/y2325vwm
2018-08-07,y89rr8xm,ChirpingMatt,32m 56s 450ms,1976.45,https://www.speedrun.com/the_escapists_2/runs/y89rr8xm
2019-05-31,y81qno5z,ChirpingMatt,32m 07s 050ms,1927.05,https://www.speedrun.com/the_escapists_2/runs/y81qno5z
2020-09-19,zxd4dl5y,ChirpingMatt,29m 04s 980ms,1744.98,https://www.speedrun.com/the_escapists_2/runs/zxd4dl5y
2020-09-24,me68nn9z,AkaraWa,26m 43s 340ms,1603.34,https://www.speedrun.com/the_escapists_2/runs/me68nn9z
2020-09-27,yj636qoz,ChirpingMatt,26m 09s 060ms,1569.06,https://www.speedrun.com/the_escapists_2/runs/yj636qoz
2020-09-29,ylv0e1rm,AkaraWa,24m 30s 660ms,1470.66,https://www.speedrun.com/the_escapists_2/runs/ylv0e1rm
2021-02-22,y66xe01y,AkaraWa,19m 52s 480ms,1192.48,https://www.speedrun.com/the_escapists_2/runs/y66xe01y
2023-04-07,zqeoj81z,AkaraWa,19m 28s 163ms,1168.163,https://www.speedrun.com/the_escapists_2/runs/zqeoj81z
2023-04-17,zg24w2ny,AkaraWa,17m 20s 667ms,1040.667,https://www.speedrun.com/the_escapists_2/runs/zg24w2ny
2024-01-16,yoo575jy,Jodabro,17m 12s 770ms,1032.77,https://www.speedrun.com/the_escapists_2/runs/yoo575jy
