Date,Id,Players,Time,Seconds,Link
2021-12-16,zgdkg6ez,Aiivan,14m 47s 250ms,887.25,https://www.speedrun.com/fnafsb/runs/zgdkg6ez
2021-12-19,z0o1rejz,patrogue,14m 33s 650ms,873.65,https://www.speedrun.com/fnafsb/runs/z0o1rejz
2021-12-20,m361ljwm,Aiivan,14m 26s 317ms,866.317,https://www.speedrun.com/fnafsb/runs/m361ljwm
2021-12-20,y8j16n1z,patrogue,13m 38s 650ms,818.65,https://www.speedrun.com/fnafsb/runs/y8j16n1z
2021-12-22,mke2j5xm,patrogue,13m 03s 833ms,783.833,https://www.speedrun.com/fnafsb/runs/mke2j5xm
2021-12-23,yjxl8joz,BarneyGoose,12m 57s 467ms,777.467,https://www.speedrun.com/fnafsb/runs/yjxl8joz
2021-12-24,ywj8nxpz,BarneyGoose,12m 53s 900ms,773.9,https://www.speedrun.com/fnafsb/runs/ywj8nxpz
2021-12-24,y8j2wjwz,Edged_Solace,04m 19s 400ms,259.4,https://www.speedrun.com/fnafsb/runs/y8j2wjwz
2021-12-24,zp2r69ny,BreezyDev,03m 55s 580ms,235.58,https://www.speedrun.com/fnafsb/runs/zp2r69ny
2021-12-24,m3650qqm,BarneyGoose,03m 53s 880ms,233.88,https://www.speedrun.com/fnafsb/runs/m3650qqm
2021-12-24,mejowg9y,Mousuo,03m 46s 220ms,226.22,https://www.speedrun.com/fnafsb/runs/mejowg9y
2021-12-24,ywj8g90z,BreezyDev,03m 45s 583ms,225.583,https://www.speedrun.com/fnafsb/runs/ywj8g90z
2021-12-25,y205249m,Aiivan,03m 39s 017ms,219.017,https://www.speedrun.com/fnafsb/runs/y205249m
2021-12-25,ywj8x62z,BarneyGoose,03m 35s 020ms,215.02,https://www.speedrun.com/fnafsb/runs/ywj8x62z
2021-12-26,ylekj12z,Aiivan,03m 32s 167ms,212.167,https://www.speedrun.com/fnafsb/runs/ylekj12z
2021-12-26,m36587dm,BarneyGoose,03m 31s 030ms,211.03,https://www.speedrun.com/fnafsb/runs/m36587dm
2021-12-26,zgdw11nz,BarneyGoose,03m 30s 520ms,210.52,https://www.speedrun.com/fnafsb/runs/zgdw11nz
2021-12-27,zp2l46vy,Ninjasloth02,03m 28s 050ms,208.05,https://www.speedrun.com/fnafsb/runs/zp2l46vy
2021-12-27,yjx6307z,BarneyGoose,03m 11s 880ms,191.88,https://www.speedrun.com/fnafsb/runs/yjx6307z
2021-12-28,zn7315vm,nintendude879,03m 08s 470ms,188.47,https://www.speedrun.com/fnafsb/runs/zn7315vm
2021-12-28,y48e8kdm,nintendude879,03m 05s 460ms,185.46,https://www.speedrun.com/fnafsb/runs/y48e8kdm
2021-12-30,y48ev5dm,BreezyDev,03m 04s 950ms,184.95,https://www.speedrun.com/fnafsb/runs/y48ev5dm
2021-12-30,y8jrljxz,BarneyGoose,02m 59s 160ms,179.16,https://www.speedrun.com/fnafsb/runs/y8jrljxz
2021-12-31,y6nrk96z,BreezyDev,02m 58s 320ms,178.32,https://www.speedrun.com/fnafsb/runs/y6nrk96z
2022-01-02,z5v00enm,BreezyDev,02m 56s 880ms,176.88,https://www.speedrun.com/fnafsb/runs/z5v00enm
2022-01-02,yjx1d6nz,BreezyDev,02m 54s 980ms,174.98,https://www.speedrun.com/fnafsb/runs/yjx1d6nz
2022-01-09,yor6jq1y,BarneyGoose,02m 54s 866ms,174.866,https://www.speedrun.com/fnafsb/runs/yor6jq1y
2022-01-20,yle7103z,playingbucket,02m 53s 099ms,173.099,https://www.speedrun.com/fnafsb/runs/yle7103z
2022-01-22,y20pwvjm,vRifty,02m 48s 600ms,168.6,https://www.speedrun.com/fnafsb/runs/y20pwvjm
2022-01-23,y6n011pz,vRifty,02m 48s 317ms,168.317,https://www.speedrun.com/fnafsb/runs/y6n011pz
2022-02-07,z12k2dgy,MichaelCheddar,02m 48s 067ms,168.067,https://www.speedrun.com/fnafsb/runs/z12k2dgy
2022-02-09,zq0dd0xy,vRifty,02m 47s 333ms,167.333,https://www.speedrun.com/fnafsb/runs/zq0dd0xy
2022-02-10,zq0do61y,MichaelCheddar,02m 47s 100ms,167.1,https://www.speedrun.com/fnafsb/runs/zq0do61y
2022-02-12,y6nqk6qz,vRifty,02m 46s 983ms,166.983,https://www.speedrun.com/fnafsb/runs/y6nqk6qz
2022-02-12,zgdl3jvz,vRifty,02m 46s 283ms,166.283,https://www.speedrun.com/fnafsb/runs/zgdl3jvz
2022-02-19,yvqx8l8m,Ruze,02m 43s 650ms,163.65,https://www.speedrun.com/fnafsb/runs/yvqx8l8m
2024-02-15,zgl3epem,vRifty,02m 20s 800ms,140.8,https://www.speedrun.com/fnafsb/runs/zgl3epem
2024-02-22,y9j7wlkm,vRifty,02m 15s 933ms,135.933,https://www.speedrun.com/fnafsb/runs/y9j7wlkm
2024-02-26,yjo4ee7z,Lampeyre,02m 12s 983ms,132.983,https://www.speedrun.com/fnafsb/runs/yjo4ee7z
2024-02-26,zxq4wwkm,vRifty,02m 09s 750ms,129.75,https://www.speedrun.com/fnafsb/runs/zxq4wwkm
2024-03-03,yjo3x57z,MichaelCheddar,02m 06s 250ms,126.25,https://www.speedrun.com/fnafsb/runs/yjo3x57z
