Date,Id,Players,Time,Seconds,Link
2020-10-30,zpl8kexm,BladeLMAO,57m 07s,3427,https://www.speedrun.com/ghostrunner/runs/zpl8kexm
2020-11-03,ylvrpe3m,BladeLMAO,49m 02s 840ms,2942.84,https://www.speedrun.com/ghostrunner/runs/ylvrpe3m
2020-11-04,zn30nn3y,BladeLMAO,48m 19s 010ms,2899.01,https://www.speedrun.com/ghostrunner/runs/zn30nn3y
2020-11-07,zq40jqrm,BladeLMAO,47m 11s 042ms,2831.042,https://www.speedrun.com/ghostrunner/runs/zq40jqrm
2020-11-08,yj6xql7z,BladeLMAO,46m 13s 710ms,2773.71,https://www.speedrun.com/ghostrunner/runs/yj6xql7z
2020-11-09,yo3rw91y,BladeLMAO,45m 39s 640ms,2739.64,https://www.speedrun.com/ghostrunner/runs/yo3rw91y
2020-11-12,m756wdez,BladeLMAO,44m 41s 540ms,2681.54,https://www.speedrun.com/ghostrunner/runs/m756wdez
2020-11-17,me61432z,BladeLMAO,44m 06s 340ms,2646.34,https://www.speedrun.com/ghostrunner/runs/me61432z
2020-11-24,yv9p448z,BladeLMAO,42m 33s 780ms,2553.78,https://www.speedrun.com/ghostrunner/runs/yv9p448z
2020-12-02,zgv8ej0z,BladeLMAO,42m 19s 660ms,2539.66,https://www.speedrun.com/ghostrunner/runs/zgv8ej0z
2020-12-20,z53w77dy,BladeLMAO,40m 45s 410ms,2445.41,https://www.speedrun.com/ghostrunner/runs/z53w77dy
2020-12-23,y6rjk40y,pasiflora,40m 26s 150ms,2426.15,https://www.speedrun.com/ghostrunner/runs/y6rjk40y
2020-12-24,yv95984z,pasiflora,40m 02s 370ms,2402.37,https://www.speedrun.com/ghostrunner/runs/yv95984z
2020-12-27,mr95d04m,pasiflora,39m 28s 850ms,2368.85,https://www.speedrun.com/ghostrunner/runs/mr95d04m
2020-12-31,y4ev43nm,pasiflora,39m 03s 270ms,2343.27,https://www.speedrun.com/ghostrunner/runs/y4ev43nm
2021-01-08,yo3133jy,pasiflora,38m 47s 020ms,2327.02,https://www.speedrun.com/ghostrunner/runs/yo3133jy
2021-01-11,zgv457vz,pasiflora,38m 35s 600ms,2315.6,https://www.speedrun.com/ghostrunner/runs/zgv457vz
2021-01-15,mk74ll5y,pasiflora,38m 18s 060ms,2298.06,https://www.speedrun.com/ghostrunner/runs/mk74ll5y
2021-01-20,y8v9jldz,pasiflora,37m 52s 640ms,2272.64,https://www.speedrun.com/ghostrunner/runs/y8v9jldz
2021-01-25,znor9qly,Blaidan,37m 51s 640ms,2271.64,https://www.speedrun.com/ghostrunner/runs/znor9qly
2021-02-03,mr44077z,pasiflora,37m 43s 680ms,2263.68,https://www.speedrun.com/ghostrunner/runs/mr44077z
2021-02-11,me94g20z,Blaidan,37m 07s 820ms,2227.82,https://www.speedrun.com/ghostrunner/runs/me94g20z
2021-02-18,y9nvwekz,pasiflora,36m 40s 490ms,2200.49,https://www.speedrun.com/ghostrunner/runs/y9nvwekz
2021-02-25,y66oo3jy,Blaidan,36m 09s 390ms,2169.39,https://www.speedrun.com/ghostrunner/runs/y66oo3jy
2021-05-19,m3r6ogdm,Blaidan,35m 49s 660ms,2149.66,https://www.speedrun.com/ghostrunner/runs/m3r6ogdm
2021-05-22,mr16lq4z,Blaidan,35m 43s 780ms,2143.78,https://www.speedrun.com/ghostrunner/runs/mr16lq4z
2021-06-27,zp1o92vz,Blaidan,35m 04s 210ms,2104.21,https://www.speedrun.com/ghostrunner/runs/zp1o92vz
2021-07-10,m7d48n0m,Blaidan,34m 33s 280ms,2073.28,https://www.speedrun.com/ghostrunner/runs/m7d48n0m
2022-10-19,yl1joknm,pasiflora,34m 26s 850ms,2066.85,https://www.speedrun.com/ghostrunner/runs/yl1joknm
