Date,Id,Players,Time,Seconds,Link
2015-10-30,jy99e22y,Wayno717|RNJesus,19m 13s,1153,https://www.speedrun.com/gtao/runs/jy99e22y
2015-10-31,0y6djpqm,Wayno717|RNJesus,17m 35s,1055,https://www.speedrun.com/gtao/runs/0y6djpqm
2015-11-01,8m7dlo4m,badoshk|ShadArt,16m 57s,1017,https://www.speedrun.com/gtao/runs/8m7dlo4m
2015-11-02,pydro00z,Wayno717|RNJesus,16m 34s,994,https://www.speedrun.com/gtao/runs/pydro00z
2015-11-03,emkgrq1y,badoshk|ShadArt,16m 31s,991,https://www.speedrun.com/gtao/runs/emkgrq1y
2015-11-04,7ylq292z,Wayno717|RNJesus,16m 04s,964,https://www.speedrun.com/gtao/runs/7ylq292z
2016-05-31,pzgenqvy,Joshimuz|Wayno717,15m 55s,955,https://www.speedrun.com/gtao/runs/pzgenqvy
2016-09-25,9mrxl68m,RoK_24|ilanturiel,15m 42s,942,https://www.speedrun.com/gtao/runs/9mrxl68m
2017-05-20,yvgj024y,Edub|Digital_Car_Addict,14m 54s,894,https://www.speedrun.com/gtao/runs/yvgj024y
2019-02-16,y6pg1wqm,myst43|Thitiya,14m 50s,890,https://www.speedrun.com/gtao/runs/y6pg1wqm
2019-07-26,yw4dn89z,Dauswectus|burhác,14m 41s,881,https://www.speedrun.com/gtao/runs/yw4dn89z
2019-07-31,znr3nely,myst43|DewWork,14m 37s,877,https://www.speedrun.com/gtao/runs/znr3nely
2020-03-03,z57qjpnm,Thitiya|madebyWITT,13m 48s,828,https://www.speedrun.com/gtao/runs/z57qjpnm
2024-01-11,mkqwde1m,Exce1sior|_RebornFox_,13m 47s,827,https://www.speedrun.com/gtao/runs/mkqwde1m
2024-01-17,yjw7w53m,_RebornFox_|Exce1sior,13m 46s,826,https://www.speedrun.com/gtao/runs/yjw7w53m
