Date,Id,Players,Time,Seconds,Link
2022-02-23,ydwv08jm,Kaan,4h 37m 15s,16635,https://www.speedrun.com/gtasa/runs/ydwv08jm
2022-02-25,y96pv9ky,faulux,3h 28m 53s,12533,https://www.speedrun.com/gtasa/runs/y96pv9ky
2022-04-01,znp0293m,tape_5,3h 22m 01s,12121,https://www.speedrun.com/gtasa/runs/znp0293m
2022-04-06,yj8epggm,faulux,3h 21m 10s,12070,https://www.speedrun.com/gtasa/runs/yj8epggm
2022-05-28,mkkk4klm,Otto,3h 16m 09s,11769,https://www.speedrun.com/gtasa/runs/mkkk4klm
2022-06-10,z52eg3dz,tape_5,3h 12m 10s,11530,https://www.speedrun.com/gtasa/runs/z52eg3dz
2022-06-15,zgpeopvz,tape_5,3h 11m 17s,11477,https://www.speedrun.com/gtasa/runs/zgpeopvz
2023-01-02,yol3d5dy,Sovdan,3h 08m 39s,11319,https://www.speedrun.com/gtasa/runs/yol3d5dy
2023-02-25,zpgp5grz,tape_5,3h 03m 53s,11033,https://www.speedrun.com/gtasa/runs/zpgp5grz
2023-04-24,y98on8nz,gui93,3h 02m 46s,10966,https://www.speedrun.com/gtasa/runs/y98on8nz
2023-08-07,ywr29o0m,Otto,2h 59m 38s,10778,https://www.speedrun.com/gtasa/runs/ywr29o0m
2024-04-01,y9j3nnnm,Pape,2h 58m 06s,10686,https://www.speedrun.com/gtasa/runs/y9j3nnnm
