Date,Id,Players,Time,Seconds,Link
2016-08-01,jy9kg3kz,KZ_FREW,38m 20s,2300,https://www.speedrun.com/gtavc/runs/jy9kg3kz
2016-08-02,0y6q8rpz,Powdinet,37m 33s,2253,https://www.speedrun.com/gtavc/runs/0y6q8rpz
2016-08-02,0y6q86pz,KZ_FREW,31m 17s,1877,https://www.speedrun.com/gtavc/runs/0y6q86pz
2016-08-02,emkqrdxm,KZ_FREW,24m 27s,1467,https://www.speedrun.com/gtavc/runs/emkqrdxm
2016-08-02,kz5kn1gz,Mhmd_FVC,19m 50s,1190,https://www.speedrun.com/gtavc/runs/kz5kn1gz
2016-08-02,dy4kvenm,Odyssic,18m 48s,1128,https://www.speedrun.com/gtavc/runs/dy4kvenm
2016-08-02,wzppv3gz,Powdinet,17m 23s,1043,https://www.speedrun.com/gtavc/runs/wzppv3gz
2016-08-03,1zxwp5gm,KZ_FREW,16m 40s,1000,https://www.speedrun.com/gtavc/runs/1zxwp5gm
2016-08-03,9me05v8z,Menno888,16m 21s,981,https://www.speedrun.com/gtavc/runs/9me05v8z
2016-08-03,0y6q461z,SSJ4Vegeto,13m 03s,783,https://www.speedrun.com/gtavc/runs/0y6q461z
2016-08-04,dy4k4qdm,KZ_FREW,12m 58s,778,https://www.speedrun.com/gtavc/runs/dy4k4qdm
2016-08-06,7yll8jxy,guywith,12m 53s,773,https://www.speedrun.com/gtavc/runs/7yll8jxy
2016-08-15,oy22v5jy,guywith,12m 21s,741,https://www.speedrun.com/gtavc/runs/oy22v5jy
2017-06-21,zgnw7rjy,Menno888,10m 26s,626,https://www.speedrun.com/gtavc/runs/zgnw7rjy
2017-06-22,yl40x9xm,L1_Leone,09m 04s,544,https://www.speedrun.com/gtavc/runs/yl40x9xm
2017-07-14,zpql11xy,guywith,08m 48s,528,https://www.speedrun.com/gtavc/runs/zpql11xy
2018-09-05,yj4g61dy,RoK_24,08m 38s,518,https://www.speedrun.com/gtavc/runs/yj4g61dy
2019-10-12,yojp107m,guywith,08m 35s,515,https://www.speedrun.com/gtavc/runs/yojp107m
2020-04-02,y82qr4wy,Marushko,08m 30s,510,https://www.speedrun.com/gtavc/runs/y82qr4wy
2021-10-16,m77ow84m,PeeBee,08m 11s,491,https://www.speedrun.com/gtavc/runs/m77ow84m
