Date,Id,Players,Time,Seconds,Link
2020-12-02,y8rkpr5m,fhdz,09m 49s,589,https://www.speedrun.com/hades/runs/y8rkpr5m
2020-12-02,yj6w99oz,curturp,09m 03s,543,https://www.speedrun.com/hades/runs/yj6w99oz
2020-12-02,zgv8jxvz,Royzoga,08m 24s,504,https://www.speedrun.com/hades/runs/zgv8jxvz
2020-12-02,yo3oww5y,Ananke,07m 29s,449,https://www.speedrun.com/hades/runs/yo3oww5y
2020-12-04,zxdwe5ey,Lili,06m 44s,404,https://www.speedrun.com/hades/runs/zxdwe5ey
2020-12-15,zn39889y,MedicCasts,06m 29s,389,https://www.speedrun.com/hades/runs/zn39889y
2021-01-10,zxdex1qy,Lili,05m 57s,357,https://www.speedrun.com/hades/runs/zxdex1qy
2021-04-06,yw0lqj9m,Ananke,05m 52s,352,https://www.speedrun.com/hades/runs/yw0lqj9m
2021-07-02,y8dnx1dz,185In,05m 49s,349,https://www.speedrun.com/hades/runs/y8dnx1dz
2021-08-10,zn0rvo9y,Croven,05m 32s,332,https://www.speedrun.com/hades/runs/zn0rvo9y
2021-12-29,yvq9084m,ocaml_ocaml,05m 26s,326,https://www.speedrun.com/hades/runs/yvq9084m
2022-01-03,zn7oq57m,Croven,05m 16s,316,https://www.speedrun.com/hades/runs/zn7oq57m
2023-04-05,m3l475dm,DrkFrst,05m 04s,304,https://www.speedrun.com/hades/runs/m3l475dm
