Date,Id,Players,Time,Seconds,Link
2017-10-05,m3d60qdz,Razielim,1h 22m 53s 840ms,4973.84,https://www.speedrun.com/ahit/runs/m3d60qdz
2017-10-08,m3d6w8gz,Venick,1h 05m 28s 150ms,3928.15,https://www.speedrun.com/ahit/runs/m3d6w8gz
2017-10-09,z0eo009m,Razielim,58m 56s 790ms,3536.79,https://www.speedrun.com/ahit/runs/z0eo009m
2017-10-12,yl9e802y,clairelynnd,58m 24s 350ms,3504.35,https://www.speedrun.com/ahit/runs/yl9e802y
2017-10-12,mk4e683y,Noackk,53m 37s 440ms,3217.44,https://www.speedrun.com/ahit/runs/mk4e683y
2017-10-12,yjkx01nm,kaffelon,52m 51s 510ms,3171.51,https://www.speedrun.com/ahit/runs/yjkx01nm
2017-10-14,mk4kl9ly,QuinnAce,52m 20s 600ms,3140.6,https://www.speedrun.com/ahit/runs/mk4kl9ly
2017-10-14,ydqd89qm,Noackk,51m 17s 420ms,3077.42,https://www.speedrun.com/ahit/runs/ydqd89qm
2017-10-18,z13porwm,Noackk,50m 43s 710ms,3043.71,https://www.speedrun.com/ahit/runs/z13porwm
2017-10-22,zxv7745y,QuinnAce,50m 25s 210ms,3025.21,https://www.speedrun.com/ahit/runs/zxv7745y
2017-10-22,z0epp1em,Noackk,50m 19s 420ms,3019.42,https://www.speedrun.com/ahit/runs/z0epp1em
2017-10-23,yo4pdq1m,QuinnAce,49m 31s 940ms,2971.94,https://www.speedrun.com/ahit/runs/yo4pdq1m
2017-10-27,zq67qo9y,sonicyellow,49m 10s 850ms,2950.85,https://www.speedrun.com/ahit/runs/zq67qo9y
2017-11-10,y23e7q5m,CivilYoshi,49m 06s 670ms,2946.67,https://www.speedrun.com/ahit/runs/y23e7q5m
2017-11-29,y8q0xexy,sonicyellow,48m 45s 350ms,2925.35,https://www.speedrun.com/ahit/runs/y8q0xexy
2017-12-02,zq6ej29y,sonicyellow,48m 12s 640ms,2892.64,https://www.speedrun.com/ahit/runs/zq6ej29y
