Date,Id,Players,Time,Seconds,Link
2017-03-17,pm3e6gqy,Tterraj42,1h 16m 56s,4616,https://www.speedrun.com/hollowknight/runs/pm3e6gqy
2017-03-17,dy4p8p2y,Ouro,1h 01m 36s,3696,https://www.speedrun.com/hollowknight/runs/dy4p8p2y
2017-03-21,7z0vxx4y,Ouro,59m 13s,3553,https://www.speedrun.com/hollowknight/runs/7z0vxx4y
2017-03-22,dy4p6xky,Ouro,58m 29s,3509,https://www.speedrun.com/hollowknight/runs/dy4p6xky
2017-03-23,8y85pxny,Ouro,57m 36s,3456,https://www.speedrun.com/hollowknight/runs/8y85pxny
2017-03-28,0y6k141z,Ouro,53m 29s,3209,https://www.speedrun.com/hollowknight/runs/0y6k141z
2017-04-03,m3d9g86z,Ouro,51m 42s,3102,https://www.speedrun.com/hollowknight/runs/m3d9g86z
2017-04-13,z13dndwm,MonStahLer,48m 45s,2925,https://www.speedrun.com/hollowknight/runs/z13dndwm
2017-04-17,m7914p4y,MonStahLer,47m 23s,2843,https://www.speedrun.com/hollowknight/runs/m7914p4y
2017-04-27,y6779d1m,Ouro,47m 10s,2830,https://www.speedrun.com/hollowknight/runs/y6779d1m
2017-04-28,z133xk7m,fireb0rn,46m 27s,2787,https://www.speedrun.com/hollowknight/runs/z133xk7m
2017-05-03,zq668r9y,MonStahLer,46m 19s,2779,https://www.speedrun.com/hollowknight/runs/zq668r9y
2017-05-06,yl99pwny,MonStahLer,45m 25s,2725,https://www.speedrun.com/hollowknight/runs/yl99pwny
2017-05-11,zn84w0vz,fireb0rn,44m 17s,2657,https://www.speedrun.com/hollowknight/runs/zn84w0vz
2017-06-01,zxvk94ey,fireb0rn,43m 27s,2607,https://www.speedrun.com/hollowknight/runs/zxvk94ey
2017-06-15,z0e100em,Magolor9000,39m 34s,2374,https://www.speedrun.com/hollowknight/runs/z0e100em
2017-06-15,zn8r5rvz,MonStahLer,39m 10s,2350,https://www.speedrun.com/hollowknight/runs/zn8r5rvz
2017-06-20,y970oqvm,Magolor9000,39m 02s,2342,https://www.speedrun.com/hollowknight/runs/y970oqvm
2017-06-23,z5ojj1ny,fireb0rn,38m 44s,2324,https://www.speedrun.com/hollowknight/runs/z5ojj1ny
2017-06-24,zpqrl9vy,Magolor9000,38m 37s,2317,https://www.speedrun.com/hollowknight/runs/zpqrl9vy
2017-07-07,m79g4xwy,fireb0rn,38m 17s,2297,https://www.speedrun.com/hollowknight/runs/m79g4xwy
2017-07-15,y8qrj15y,fireb0rn,38m 00s,2280,https://www.speedrun.com/hollowknight/runs/y8qrj15y
2017-07-23,zq645xry,fireb0rn,37m 32s,2252,https://www.speedrun.com/hollowknight/runs/zq645xry
2017-08-09,mk47woxy,Trinomi,37m 21s,2241,https://www.speedrun.com/hollowknight/runs/mk47woxy
2017-09-11,y457q9nm,fireb0rn,36m 29s,2189,https://www.speedrun.com/hollowknight/runs/y457q9nm
2017-12-07,zn8j6l9z,fireb0rn,36m 22s,2182,https://www.speedrun.com/hollowknight/runs/zn8j6l9z
2018-01-05,yvgvpxey,fireb0rn,36m 04s,2164,https://www.speedrun.com/hollowknight/runs/yvgvpxey
2018-01-09,yl9l2pxy,fireb0rn,35m 24s,2124,https://www.speedrun.com/hollowknight/runs/yl9l2pxy
2018-02-12,z0e8l5om,Trinomi,35m 21s,2121,https://www.speedrun.com/hollowknight/runs/z0e8l5om
2018-02-25,mek2e29m,fireb0rn,35m 14s,2114,https://www.speedrun.com/hollowknight/runs/mek2e29m
2018-02-26,yw12ropz,Trinomi,34m 34s,2074,https://www.speedrun.com/hollowknight/runs/yw12ropz
2018-07-22,y2q53e7y,vysuals,34m 23s,2063,https://www.speedrun.com/hollowknight/runs/y2q53e7y
2018-10-14,yo2r80dz,Skurry,34m 19s,2059,https://www.speedrun.com/hollowknight/runs/yo2r80dz
