Date,Id,Players,Time,Seconds,Link
2012-11-19,1zxprjgy,Lazerlong,44m 30s,2670,https://www.speedrun.com/hotline_miami/runs/1zxprjgy
2013-01-03,9med5p8y,Pykn,38m 18s,2298,https://www.speedrun.com/hotline_miami/runs/9med5p8y
2013-01-12,jy9gqwnm,Pykn,37m 14s,2234,https://www.speedrun.com/hotline_miami/runs/jy9gqwnm
2013-01-13,8m7j4vwm,Pykn,35m 46s,2146,https://www.speedrun.com/hotline_miami/runs/8m7j4vwm
2013-02-01,9mrwp57y,Pykn,32m 56s,1976,https://www.speedrun.com/hotline_miami/runs/9mrwp57y
2013-04-09,9med50qy,Duke_Bilgewater,28m 38s,1718,https://www.speedrun.com/hotline_miami/runs/9med50qy
2013-04-20,9yo8go1z,Duke_Bilgewater,27m 45s,1665,https://www.speedrun.com/hotline_miami/runs/9yo8go1z
2013-05-24,pydpxnqy,Duke_Bilgewater,26m 50s,1610,https://www.speedrun.com/hotline_miami/runs/pydpxnqy
2013-10-05,2ywo7g2m,cfb,25m 52s,1552,https://www.speedrun.com/hotline_miami/runs/2ywo7g2m
2013-10-09,7yl2wd2z,cfb,25m 35s,1535,https://www.speedrun.com/hotline_miami/runs/7yl2wd2z
2013-10-10,0y6w4vqz,Duke_Bilgewater,25m 32s,1532,https://www.speedrun.com/hotline_miami/runs/0y6w4vqz
2013-10-18,9med5wqy,cfb,25m 22s,1522,https://www.speedrun.com/hotline_miami/runs/9med5wqy
2013-10-25,wzpvexnz,cfb,25m 04s,1504,https://www.speedrun.com/hotline_miami/runs/wzpvexnz
2013-11-02,1zxvn28y,Duke_Bilgewater,24m 46s,1486,https://www.speedrun.com/hotline_miami/runs/1zxvn28y
2013-12-27,kz5oejey,cfb,24m 32s,1472,https://www.speedrun.com/hotline_miami/runs/kz5oejey
2015-01-23,nz104njm,Snowfats,24m 18s,1458,https://www.speedrun.com/hotline_miami/runs/nz104njm
2015-02-22,emkxn13z,Snowfats,24m 08s,1448,https://www.speedrun.com/hotline_miami/runs/emkxn13z
2015-04-28,8m7j4o5m,Snowfats,23m 55s,1435,https://www.speedrun.com/hotline_miami/runs/8m7j4o5m
2016-06-19,emk4nn1y,Snowfats,23m 50s,1430,https://www.speedrun.com/hotline_miami/runs/emk4nn1y
2016-07-20,9mr27x7y,jackyRite,23m 45s,1425,https://www.speedrun.com/hotline_miami/runs/9mr27x7y
2016-07-21,8m73x05y,Snowfats,23m 33s,1413,https://www.speedrun.com/hotline_miami/runs/8m73x05y
2017-01-01,6yj77jgy,Snowfats,23m 25s 500ms,1405.5,https://www.speedrun.com/hotline_miami/runs/6yj77jgy
2017-02-19,9yowvr0z,jackyRite,23m 25s,1405,https://www.speedrun.com/hotline_miami/runs/9yowvr0z
2017-02-19,wzpjqgvz,Snowfats,23m 22s,1402,https://www.speedrun.com/hotline_miami/runs/wzpjqgvz
2017-03-08,jy9rroky,Snowfats,22m 58s,1378,https://www.speedrun.com/hotline_miami/runs/jy9rroky
2017-08-05,yo49okjm,jackyRite,22m 55s,1375,https://www.speedrun.com/hotline_miami/runs/yo49okjm
2021-02-03,y2vvk45z,Urinstein,22m 47s,1367,https://www.speedrun.com/hotline_miami/runs/y2vvk45z
2021-02-21,me913e0z,mightyjoey,22m 46s,1366,https://www.speedrun.com/hotline_miami/runs/me913e0z
2021-02-21,y8vx85nz,mightyjoey,22m 34s,1354,https://www.speedrun.com/hotline_miami/runs/y8vx85nz
2021-03-26,zqgng49m,Agamem,22m 13s,1333,https://www.speedrun.com/hotline_miami/runs/zqgng49m
2021-07-12,yjgvee7y,Agamem,22m 08s,1328,https://www.speedrun.com/hotline_miami/runs/yjgvee7y
2024-06-28,m30pwvdm,Agamem,21m 42s,1302,https://www.speedrun.com/hotline_miami/runs/m30pwvdm
