Date,Id,Players,Time,Seconds,Link
2015-03-11,pm3oergm,TheBricktator,1h 37m 53s,5873,https://www.speedrun.com/hm2/runs/pm3oergm
2015-03-12,9yo21q7z,PootsNDoots,1h 31m 30s,5490,https://www.speedrun.com/hm2/runs/9yo21q7z
2015-03-12,9me8rd9m,TheBricktator,1h 16m 52s,4612,https://www.speedrun.com/hm2/runs/9me8rd9m
2015-03-13,dy41972y,TheBricktator,1h 10m 53s,4253,https://www.speedrun.com/hm2/runs/dy41972y
2015-03-14,7z01wpjy,jackyRite,1h 09m 35s,4175,https://www.speedrun.com/hm2/runs/7z01wpjy
2015-03-14,oy219ejz,PootsNDoots,1h 08m 55s,4135,https://www.speedrun.com/hm2/runs/oy219ejz
2015-03-15,emk2lrvm,TheBricktator,1h 06m 04s,3964,https://www.speedrun.com/hm2/runs/emk2lrvm
2015-03-16,9yoj475m,jackyRite,1h 04m 51s,3891,https://www.speedrun.com/hm2/runs/9yoj475m
2015-03-17,0y6l700y,jackyRite,57m 53s,3473,https://www.speedrun.com/hm2/runs/0y6l700y
2015-03-20,8yv33j6z,jackyRite,54m 11s,3251,https://www.speedrun.com/hm2/runs/8yv33j6z
2015-03-26,8y81v35z,jackyRite,51m 29s,3089,https://www.speedrun.com/hm2/runs/8y81v35z
2015-03-31,jy95lkrz,jackyRite,50m 00s,3000,https://www.speedrun.com/hm2/runs/jy95lkrz
2015-04-09,kz57p2nm,jackyRite,47m 30s,2850,https://www.speedrun.com/hm2/runs/kz57p2nm
2015-04-29,wzp4ep8z,jackyRite,45m 24s,2724,https://www.speedrun.com/hm2/runs/wzp4ep8z
2015-06-07,kz5jg1dm,jackyRite,43m 19s,2599,https://www.speedrun.com/hm2/runs/kz5jg1dm
2015-06-28,8y8rqknm,jackyRite,42m 21s,2541,https://www.speedrun.com/hm2/runs/8y8rqknm
2015-06-29,9yo32qjy,jackyRite,41m 24s,2484,https://www.speedrun.com/hm2/runs/9yo32qjy
2015-07-11,kz53dgdy,jackyRite,39m 40s,2380,https://www.speedrun.com/hm2/runs/kz53dgdy
2015-07-30,8m75v20z,jackyRite,38m 30s,2310,https://www.speedrun.com/hm2/runs/8m75v20z
2015-08-26,0y66xl1y,jackyRite,37m 40s,2260,https://www.speedrun.com/hm2/runs/0y66xl1y
2015-09-13,0zn4d09m,Dingodrole,35m 35s,2135,https://www.speedrun.com/hm2/runs/0zn4d09m
2015-11-25,kz5d30jm,jackyRite,35m 16s,2116,https://www.speedrun.com/hm2/runs/kz5d30jm
2016-01-10,9mr69n8m,jackyRite,33m 50s,2030,https://www.speedrun.com/hm2/runs/9mr69n8m
2016-09-08,0y6e34qz,Ashmore,33m 42s,2022,https://www.speedrun.com/hm2/runs/0y6e34qz
2016-09-28,0znx22ly,Uzikoti,33m 28s,2008,https://www.speedrun.com/hm2/runs/0znx22ly
2017-08-28,y67d801m,Uzikoti,32m 49s,1969,https://www.speedrun.com/hm2/runs/y67d801m
2020-05-31,y82jdq5y,Ashmore,32m 29s,1949,https://www.speedrun.com/hm2/runs/y82jdq5y
2020-09-01,znkdpo9z,Ashmore,32m 22s,1942,https://www.speedrun.com/hm2/runs/znkdpo9z
2020-09-02,yw8ln4ny,Ashmore,32m 02s,1922,https://www.speedrun.com/hm2/runs/yw8ln4ny
2020-09-22,yj6425nz,Ashmore,31m 56s,1916,https://www.speedrun.com/hm2/runs/yj6425nz
2021-11-10,y69wgp1y,IT_IS_BLOB,31m 51s,1911,https://www.speedrun.com/hm2/runs/y69wgp1y
2021-12-28,m7w5w20z,IT_IS_BLOB,31m 46s,1906,https://www.speedrun.com/hm2/runs/m7w5w20z
