Date,Id,Players,Time,Seconds,Link
2017-12-02,y67ovrpm,Permamiss,11m 37s,697,https://www.speedrun.com/hff/runs/y67ovrpm
2017-12-04,y67oe1jm,Permamiss,11m 08s,668,https://www.speedrun.com/hff/runs/y67oe1jm
2017-12-11,yo4n2k1m,Torkel,10m 35s,635,https://www.speedrun.com/hff/runs/yo4n2k1m
2017-12-12,y978592m,Torkel,10m 14s 500ms,614.5,https://www.speedrun.com/hff/runs/y978592m
2017-12-13,yl96k73y,Permamiss,09m 22s,562,https://www.speedrun.com/hff/runs/yl96k73y
2017-12-13,mrqlkl2y,Torkel,09m 08s,548,https://www.speedrun.com/hff/runs/mrqlkl2y
2017-12-21,mk40px5y,Permamiss,08m 31s,511,https://www.speedrun.com/hff/runs/mk40px5y
2017-12-31,zgn8vdny,Jimmy,08m 19s 500ms,499.5,https://www.speedrun.com/hff/runs/zgn8vdny
2018-01-05,yw1nnepz,Permamiss,08m 04s 390ms,484.39,https://www.speedrun.com/hff/runs/yw1nnepz
2018-01-12,y232306m,Distortion2,07m 19s 040ms,439.04,https://www.speedrun.com/hff/runs/y232306m
2018-01-29,y97dv6nm,Retr0virus11,07m 14s,434,https://www.speedrun.com/hff/runs/y97dv6nm
2018-02-03,y67ej8jm,Retr0virus11,06m 53s 340ms,413.34,https://www.speedrun.com/hff/runs/y67ej8jm
2018-02-12,yvgn8qxy,Retr0virus11,06m 41s 280ms,401.28,https://www.speedrun.com/hff/runs/yvgn8qxy
2018-02-13,zn89j98z,estopatya,06m 28s 180ms,388.18,https://www.speedrun.com/hff/runs/zn89j98z
2018-02-17,ydqvkejm,Retr0virus11,06m 20s 190ms,380.19,https://www.speedrun.com/hff/runs/ydqvkejm
2018-09-22,y6p9dlpm,IdentitY,06m 12s 820ms,372.82,https://www.speedrun.com/hff/runs/y6p9dlpm
2018-09-24,zn40vwlm,Retr0virus11,06m 04s 100ms,364.1,https://www.speedrun.com/hff/runs/zn40vwlm
2018-10-04,mk9e3q5z,IdentitY,05m 58s 400ms,358.4,https://www.speedrun.com/hff/runs/mk9e3q5z
2018-10-26,yj4p8ggy,estopatya,05m 57s 150ms,357.15,https://www.speedrun.com/hff/runs/yj4p8ggy
2019-01-06,y92kr9vz,IdentitY,05m 56s 240ms,356.24,https://www.speedrun.com/hff/runs/y92kr9vz
2019-01-26,zx4x7vey,IdentitY,05m 46s 260ms,346.26,https://www.speedrun.com/hff/runs/zx4x7vey
2019-04-11,y6p4g0qm,IdentitY,05m 38s 300ms,338.3,https://www.speedrun.com/hff/runs/y6p4g0qm
2019-06-15,z013rgjy,Retr0virus11,05m 33s 460ms,333.46,https://www.speedrun.com/hff/runs/z013rgjy
2019-06-16,y21q7d6z,IdentitY,05m 29s 700ms,329.7,https://www.speedrun.com/hff/runs/y21q7d6z
2019-08-11,mre45ddy,Retr0virus11,05m 25s 190ms,325.19,https://www.speedrun.com/hff/runs/mre45ddy
2019-10-14,y95x55rz,LiYizZ,05m 24s 650ms,324.65,https://www.speedrun.com/hff/runs/y95x55rz
2019-10-21,mk2dq2vm,IdentitY,05m 24s 620ms,324.62,https://www.speedrun.com/hff/runs/mk2dq2vm
2019-11-19,yojnln5m,LiYizZ,05m 22s 550ms,322.55,https://www.speedrun.com/hff/runs/yojnln5m
2019-12-09,yojo885m,Retr0virus11,05m 19s 920ms,319.92,https://www.speedrun.com/hff/runs/yojo885m
2020-01-06,y41lvpqy,IdentitY,05m 18s 960ms,318.96,https://www.speedrun.com/hff/runs/y41lvpqy
2020-03-16,yl0gok3y,LiYizZ,05m 15s 740ms,315.74,https://www.speedrun.com/hff/runs/yl0gok3y
2020-06-18,z15g0jjy,LiYizZ,05m 10s 680ms,310.68,https://www.speedrun.com/hff/runs/z15g0jjy
2020-07-19,zgwjdjvy,Kewdaf,05m 08s 880ms,308.88,https://www.speedrun.com/hff/runs/zgwjdjvy
2020-07-21,zprx5r8m,LiYizZ,05m 04s 690ms,304.69,https://www.speedrun.com/hff/runs/zprx5r8m
2020-08-04,m7glr15m,LiYizZ,04m 57s 730ms,297.73,https://www.speedrun.com/hff/runs/m7glr15m
2020-09-12,ydl6krwz,Kewdaf,04m 49s 310ms,289.31,https://www.speedrun.com/hff/runs/ydl6krwz
2020-10-04,ylv0gwkm,lgklx,04m 40s 400ms,280.4,https://www.speedrun.com/hff/runs/ylv0gwkm
2021-02-17,y42qeg2m,sky-dream,04m 34s 260ms,274.26,https://www.speedrun.com/hff/runs/y42qeg2m
2021-03-06,mk7qwl3y,sky-dream,04m 29s 250ms,269.25,https://www.speedrun.com/hff/runs/mk7qwl3y
2021-09-11,zgrpxqem,lgklx,04m 25s 250ms,265.25,https://www.speedrun.com/hff/runs/zgrpxqem
2022-01-02,yjx16g3z,6ixCoins,04m 23s 130ms,263.13,https://www.speedrun.com/hff/runs/yjx16g3z
2022-01-18,ywjj990z,6ixCoins,04m 22s 980ms,262.98,https://www.speedrun.com/hff/runs/ywjj990z
2022-01-20,z0opqj4z,lgklx,04m 22s 550ms,262.55,https://www.speedrun.com/hff/runs/z0opqj4z
2022-05-17,y60d82jy,cloud5,04m 21s 750ms,261.75,https://www.speedrun.com/hff/runs/y60d82jy
2022-06-16,yjpww7oy,6ixCoins,04m 19s 110ms,259.11,https://www.speedrun.com/hff/runs/yjpww7oy
2022-08-29,z1qrlw7y,lgklx,04m 18s 030ms,258.03,https://www.speedrun.com/hff/runs/z1qrlw7y
2023-01-16,zpwk31xy,buzhiming,04m 16s 700ms,256.7,https://www.speedrun.com/hff/runs/zpwk31xy
2023-06-17,yvpove6y,6ixCoins,04m 12s 930ms,252.93,https://www.speedrun.com/hff/runs/yvpove6y
2023-07-17,y98jrdvz,6ixCoins,04m 12s 320ms,252.32,https://www.speedrun.com/hff/runs/y98jrdvz
2024-03-15,ywx4l49m,buzhiming,04m 12s 220ms,252.22,https://www.speedrun.com/hff/runs/ywx4l49m
2024-03-30,y8wep51y,ZoeyL,04m 11s 180ms,251.18,https://www.speedrun.com/hff/runs/y8wep51y
2024-05-01,y9d540nm,buzhiming,04m 10s 070ms,250.07,https://www.speedrun.com/hff/runs/y9d540nm
2024-06-28,m7o1qjey,buzhiming,04m 08s 780ms,248.78,https://www.speedrun.com/hff/runs/m7o1qjey
2024-07-23,y2w1l5wy,buzhiming,04m 07s 370ms,247.37,https://www.speedrun.com/hff/runs/y2w1l5wy
