Date,Id,Players,Time,Seconds,Link
2012-01-01,pm37nwz0,Crashpro33,2h 13m 30s,8010,https://www.speedrun.com/jak1/runs/pm37nwz0
2012-12-19,emk57vm6,zeplins,1h 25m 13s,5113,https://www.speedrun.com/jak1/runs/emk57vm6
2013-01-01,9me499y7,rozer,1h 22m 53s,4973,https://www.speedrun.com/jak1/runs/9me499y7
2013-10-01,8m7750m0,Freak4games,1h 19m 20s,4760,https://www.speedrun.com/jak1/runs/8m7750m0
2013-12-03,dy471kyl,Bonesaw577,1h 12m 23s,4343,https://www.speedrun.com/jak1/runs/dy471kyl
2014-06-05,1zxok8zx,PrearDF,1h 10m 48s,4248,https://www.speedrun.com/jak1/runs/1zxok8zx
2014-07-31,9mrne7yq,Grig,1h 10m 39s,4239,https://www.speedrun.com/jak1/runs/9mrne7yq
2014-12-06,0zn038yn,AndyGHD,1h 09m 59s,4199,https://www.speedrun.com/jak1/runs/0zn038yn
2014-12-14,nz1xjrme,Thesxysaxman,1h 06m 08s,3968,https://www.speedrun.com/jak1/runs/nz1xjrme
2015-01-14,jy935ny4,Sultra,1h 05m 09s,3909,https://www.speedrun.com/jak1/runs/jy935ny4
2015-05-20,wzpr81gm,AndyGHD,1h 04m 07s,3847,https://www.speedrun.com/jak1/runs/wzpr81gm
2015-05-24,emk525m6,headstrong1290,59m 56s,3596,https://www.speedrun.com/jak1/runs/emk525m6
2015-07-06,jy91np2m,headstrong1290,59m 43s,3583,https://www.speedrun.com/jak1/runs/jy91np2m
2015-07-28,1zq4p69m,headstrong1290,59m 37s,3577,https://www.speedrun.com/jak1/runs/1zq4p69m
2015-08-19,pm3nr3gy,Thesxysaxman,59m 26s,3566,https://www.speedrun.com/jak1/runs/pm3nr3gy
2015-08-22,jy9n70rz,headstrong1290,59m 18s,3558,https://www.speedrun.com/jak1/runs/jy9n70rz
2015-08-24,oy2v0owz,headstrong1290,58m 50s,3530,https://www.speedrun.com/jak1/runs/oy2v0owz
2015-10-14,0y6dxo6m,headstrong1290,58m 37s,3517,https://www.speedrun.com/jak1/runs/0y6dxo6m
2015-10-17,kz5rerny,headstrong1290,58m 24s,3504,https://www.speedrun.com/jak1/runs/kz5rerny
2015-11-10,7z0rg78z,headstrong1290,57m 55s,3475,https://www.speedrun.com/jak1/runs/7z0rg78z
2015-12-18,oy27wv6z,headstrong1290,57m 43s,3463,https://www.speedrun.com/jak1/runs/oy27wv6z
2016-02-01,1zq0l39y,headstrong1290,57m 37s,3457,https://www.speedrun.com/jak1/runs/1zq0l39y
2016-02-02,0y6nk6jz,headstrong1290,57m 30s,3450,https://www.speedrun.com/jak1/runs/0y6nk6jz
2016-03-02,kz52dxdz,headstrong1290,56m 34s,3394,https://www.speedrun.com/jak1/runs/kz52dxdz
2017-05-31,y23qln6m,OutrageousJosh,56m 24s,3384,https://www.speedrun.com/jak1/runs/y23qln6m
2017-12-02,mrqo2x4y,OutrageousJosh,56m 22s,3382,https://www.speedrun.com/jak1/runs/mrqo2x4y
2017-12-10,z0ejevom,OutrageousJosh,56m 21s,3381,https://www.speedrun.com/jak1/runs/z0ejevom
2017-12-20,zpqwpdvy,OutrageousJosh,56m 13s,3373,https://www.speedrun.com/jak1/runs/zpqwpdvy
2018-11-07,mr8r43dy,OutrageousJosh,56m 10s,3370,https://www.speedrun.com/jak1/runs/mr8r43dy
2018-11-09,zp0d2orm,OutrageousJosh,55m 52s,3352,https://www.speedrun.com/jak1/runs/zp0d2orm
2019-05-02,y6pkv2jm,OutrageousJosh,55m 51s,3351,https://www.speedrun.com/jak1/runs/y6pkv2jm
2019-05-09,yvjwlpey,OutrageousJosh,55m 49s,3349,https://www.speedrun.com/jak1/runs/yvjwlpey
2019-05-11,z03v044z,OutrageousJosh,55m 24s,3324,https://www.speedrun.com/jak1/runs/z03v044z
2020-02-29,yw47od0z,OutrageousJosh,55m 05s,3305,https://www.speedrun.com/jak1/runs/yw47od0z
2020-03-03,znrn4xvy,OutrageousJosh,54m 58s,3298,https://www.speedrun.com/jak1/runs/znrn4xvy
2020-11-12,y8r8wnxm,OutrageousJosh,54m 27s,3267,https://www.speedrun.com/jak1/runs/y8r8wnxm
2020-12-14,yo3qvl7y,OutrageousJosh,54m 24s,3264,https://www.speedrun.com/jak1/runs/yo3qvl7y
2020-12-23,m3g2dd6z,OutrageousJosh,53m 56s,3236,https://www.speedrun.com/jak1/runs/m3g2dd6z
2021-09-30,zn0ewo9y,OutrageousJosh,53m 44s,3224,https://www.speedrun.com/jak1/runs/zn0ewo9y
2021-09-30,mrn21d7y,OutrageousJosh,53m 38s,3218,https://www.speedrun.com/jak1/runs/mrn21d7y
2021-10-02,y8ekw2ny,OutrageousJosh,53m 28s,3208,https://www.speedrun.com/jak1/runs/y8ekw2ny
2021-10-11,y8ewo9ny,aslov,53m 01s,3181,https://www.speedrun.com/jak1/runs/y8ewo9ny
2021-12-22,m365gnwm,aslov,52m 41s,3161,https://www.speedrun.com/jak1/runs/m365gnwm
