Date,Id,Players,Time,Seconds,Link
2019-05-18,y21q1g7z,Shwift,05m 27s 930ms,327.93,https://www.speedrun.com/jumpking/runs/y21q1g7z
2019-05-19,zqro32ry,Crep,05m 22s 616ms,322.616,https://www.speedrun.com/jumpking/runs/zqro32ry
2019-05-23,znr3278y,Crep,05m 13s 633ms,313.633,https://www.speedrun.com/jumpking/runs/znr3278y
2019-05-24,z019d74y,Crep,05m 10s 483ms,310.483,https://www.speedrun.com/jumpking/runs/z019d74y
2019-05-26,zgkvldvy,Crep,05m 06s 100ms,306.1,https://www.speedrun.com/jumpking/runs/zgkvldvy
2019-05-27,yojve1dm,Valmerix,05m 05s 750ms,305.75,https://www.speedrun.com/jumpking/runs/yojve1dm
2019-05-27,y813l31z,Crep,04m 58s 333ms,298.333,https://www.speedrun.com/jumpking/runs/y813l31z
2019-07-11,zp4r1jnz,Valmerix,04m 57s 183ms,297.183,https://www.speedrun.com/jumpking/runs/zp4r1jnz
2019-07-26,zp4lgrrz,Valmerix,04m 55s 154ms,295.154,https://www.speedrun.com/jumpking/runs/zp4lgrrz
2019-07-27,yw4dnx3z,Crep,04m 42s 268ms,282.268,https://www.speedrun.com/jumpking/runs/yw4dnx3z
2019-08-18,m7qdd39z,CookieCrisp,04m 39s 242ms,279.242,https://www.speedrun.com/jumpking/runs/m7qdd39z
2019-08-26,mre13x2y,CookieCrisp,04m 35s 825ms,275.825,https://www.speedrun.com/jumpking/runs/mre13x2y
2020-01-01,yojxojdm,CookieCrisp,04m 33s 513ms,273.513,https://www.speedrun.com/jumpking/runs/yojxojdm
2020-01-18,mre0g08y,CookieCrisp,04m 26s 917ms,266.917,https://www.speedrun.com/jumpking/runs/mre0g08y
2020-03-09,m7qk3d9z,Ny,04m 24s 707ms,264.707,https://www.speedrun.com/jumpking/runs/m7qk3d9z
2020-05-30,meojxp9z,CookieCrisp,04m 21s 052ms,261.052,https://www.speedrun.com/jumpking/runs/meojxp9z
2020-07-27,y82o7pdy,Rustamaniacc_,04m 20s 151ms,260.151,https://www.speedrun.com/jumpking/runs/y82o7pdy
2020-08-15,y48jg5nm,CookieCrisp,04m 19s 556ms,259.556,https://www.speedrun.com/jumpking/runs/y48jg5nm
2020-08-17,y654l86z,CookieCrisp,04m 18s 910ms,258.91,https://www.speedrun.com/jumpking/runs/y654l86z
2020-08-23,znkn803z,laayuman,04m 18s 128ms,258.128,https://www.speedrun.com/jumpking/runs/znkn803z
2020-10-25,z09r1eez,hty_ra_t,04m 18s 026ms,258.026,https://www.speedrun.com/jumpking/runs/z09r1eez
2020-10-31,yj653enz,hty_ra_t,04m 17s 652ms,257.652,https://www.speedrun.com/jumpking/runs/yj653enz
2020-11-01,mr9n1e2m,laayuman,04m 17s 023ms,257.023,https://www.speedrun.com/jumpking/runs/mr9n1e2m
2020-11-07,zxdl81gy,hty_ra_t,04m 16s 751ms,256.751,https://www.speedrun.com/jumpking/runs/zxdl81gy
2020-11-12,y6r0neqy,hty_ra_t,04m 16s 428ms,256.428,https://www.speedrun.com/jumpking/runs/y6r0neqy
2020-11-14,yo3poddy,hty_ra_t,04m 16s 292ms,256.292,https://www.speedrun.com/jumpking/runs/yo3poddy
2020-11-15,m3g3e3qz,hty_ra_t,04m 15s 816ms,255.816,https://www.speedrun.com/jumpking/runs/m3g3e3qz
2021-03-08,zp36gonm,Trimp,04m 15s 459ms,255.459,https://www.speedrun.com/jumpking/runs/zp36gonm
2021-03-14,y8voqo1z,Trimp,04m 12s 331ms,252.331,https://www.speedrun.com/jumpking/runs/y8voqo1z
2021-03-21,mk7w14vy,hty_ra_t,04m 11s 685ms,251.685,https://www.speedrun.com/jumpking/runs/mk7w14vy
2021-06-20,me7gj59y,hty_ra_t,04m 05s 174ms,245.174,https://www.speedrun.com/jumpking/runs/me7gj59y
2022-04-24,mr7e007z,Casu,04m 04s 664ms,244.664,https://www.speedrun.com/jumpking/runs/mr7e007z
2022-05-17,m33r43gm,Casu,04m 04s 052ms,244.052,https://www.speedrun.com/jumpking/runs/m33r43gm
2022-07-20,m334q4qm,Trimp,04m 03s 576ms,243.576,https://www.speedrun.com/jumpking/runs/m334q4qm
