Date,Id,Players,Time,Seconds,Link
2019-05-28,yl038p3y,Tiger_Lotus,28m 44s 470ms,1724.47,https://www.speedrun.com/katana_zero/runs/yl038p3y
2019-05-30,zqr6kp9y,Banzai,20m 58s 880ms,1258.88,https://www.speedrun.com/katana_zero/runs/zqr6kp9y
2019-05-30,y41590ky,yisk,20m 08s 920ms,1208.92,https://www.speedrun.com/katana_zero/runs/y41590ky
2019-05-30,mexkvr9z,Seij,19m 10s 520ms,1150.52,https://www.speedrun.com/katana_zero/runs/mexkvr9z
2019-05-30,y6l77n6y,Chea,18m 24s 480ms,1104.48,https://www.speedrun.com/katana_zero/runs/y6l77n6y
2019-06-01,zxkv28em,Seij,18m 22s 580ms,1102.58,https://www.speedrun.com/katana_zero/runs/zxkv28em
2019-06-01,m31dgoqz,Kainalo,18m 17s,1097,https://www.speedrun.com/katana_zero/runs/m31dgoqz
2019-06-05,mreqr97y,Seij,18m 16s 480ms,1096.48,https://www.speedrun.com/katana_zero/runs/mreqr97y
2019-06-06,yw41nenz,Seij,17m 56s 330ms,1076.33,https://www.speedrun.com/katana_zero/runs/yw41nenz
2019-06-08,mreq0l7y,Kainalo,17m 50s 100ms,1070.1,https://www.speedrun.com/katana_zero/runs/mreq0l7y
2019-06-18,y21qgdwz,Kainalo,17m 48s 570ms,1068.57,https://www.speedrun.com/katana_zero/runs/y21qgdwz
2019-06-20,y21q2vjz,Glassbroken,17m 32s 120ms,1052.12,https://www.speedrun.com/katana_zero/runs/y21q2vjz
2019-06-25,yv33jkez,O_Circles,17m 28s 720ms,1048.72,https://www.speedrun.com/katana_zero/runs/yv33jkez
2019-06-28,mreenk2y,O_Circles,17m 22s 280ms,1042.28,https://www.speedrun.com/katana_zero/runs/mreenk2y
2019-06-29,zxkk79gm,O_Circles,17m 17s 720ms,1037.72,https://www.speedrun.com/katana_zero/runs/zxkk79gm
2019-07-02,mreevk4y,Glassbroken,17m 12s 820ms,1032.82,https://www.speedrun.com/katana_zero/runs/mreevk4y
2019-07-09,yv366ooz,O_Circles,17m 10s 520ms,1030.52,https://www.speedrun.com/katana_zero/runs/yv366ooz
2019-07-09,z0155loy,O_Circles,17m 02s 800ms,1022.8,https://www.speedrun.com/katana_zero/runs/z0155loy
2019-07-19,z57j975m,O_Circles,16m 58s 750ms,1018.75,https://www.speedrun.com/katana_zero/runs/z57j975m
2019-07-31,znr3lw7y,Lastnumb3r,16m 49s 770ms,1009.77,https://www.speedrun.com/katana_zero/runs/znr3lw7y
2019-09-10,y81e5n1z,Lastnumb3r,15m 57s 730ms,957.73,https://www.speedrun.com/katana_zero/runs/y81e5n1z
2020-05-22,yv61dgoz,SWAGLORD420XD,15m 55s 080ms,955.08,https://www.speedrun.com/katana_zero/runs/yv61dgoz
2020-07-14,zpr6ogxm,Lastnumb3r,15m 42s 220ms,942.22,https://www.speedrun.com/katana_zero/runs/zpr6ogxm
2020-12-04,y8rk5o1m,Lastnumb3r,15m 33s 130ms,933.13,https://www.speedrun.com/katana_zero/runs/y8rk5o1m
2020-12-13,zxdxx4qy,Lastnumb3r,15m 27s 870ms,927.87,https://www.speedrun.com/katana_zero/runs/zxdxx4qy
2022-01-02,mej9j20y,DangNabbitJones,15m 24s 200ms,924.2,https://www.speedrun.com/katana_zero/runs/mej9j20y
2022-01-11,m7w76gwz,Lastnumb3r,15m 17s 230ms,917.23,https://www.speedrun.com/katana_zero/runs/m7w76gwz
2022-11-01,y8xl18nm,DangNabbitJones,15m 16s 250ms,916.25,https://www.speedrun.com/katana_zero/runs/y8xl18nm
2022-11-08,y4x4ee2z,DangNabbitJones,15m 14s 500ms,914.5,https://www.speedrun.com/katana_zero/runs/y4x4ee2z
2022-11-11,y4x4kpkz,DangNabbitJones,15m 12s 770ms,912.77,https://www.speedrun.com/katana_zero/runs/y4x4kpkz
2022-12-22,yoljekdy,DangNabbitJones,15m 12s 630ms,912.63,https://www.speedrun.com/katana_zero/runs/yoljekdy
2022-12-27,mrokrwdm,DangNabbitJones,15m 11s 720ms,911.72,https://www.speedrun.com/katana_zero/runs/mrokrwdm
