Date,Id,Players,Time,Seconds,Link
2018-09-01,y89v48nm,MrefF,10m 31s,631,https://www.speedrun.com/killing_floor_2/runs/y89v48nm
2019-08-13,zp43jlvz,Uranium_Nak,09m 24s,564,https://www.speedrun.com/killing_floor_2/runs/zp43jlvz
2019-11-11,mreljr2y,CookAZed,07m 56s,476,https://www.speedrun.com/killing_floor_2/runs/mreljr2y
2019-11-18,yojnpw7m,Uranium_Nak,07m 48s,468,https://www.speedrun.com/killing_floor_2/runs/yojnpw7m
2020-12-18,zn392vvy,Nesisoth,07m 42s,462,https://www.speedrun.com/killing_floor_2/runs/zn392vvy
2020-12-19,z1ov01rm,Uranium_Nak,07m 20s,440,https://www.speedrun.com/killing_floor_2/runs/z1ov01rm
2021-02-09,zx6ok25z,Nesisoth,07m 04s,424,https://www.speedrun.com/killing_floor_2/runs/zx6ok25z
2021-02-10,y8vee7nz,Uranium_Nak,06m 56s,416,https://www.speedrun.com/killing_floor_2/runs/y8vee7nz
2021-11-14,yj5vpq3m,N97_RVH,06m 54s,414,https://www.speedrun.com/killing_floor_2/runs/yj5vpq3m
2021-11-19,z07g5voy,Uranium_Nak,06m 47s,407,https://www.speedrun.com/killing_floor_2/runs/z07g5voy
2022-07-12,zq75o75m,N97_RVH,06m 36s,396,https://www.speedrun.com/killing_floor_2/runs/zq75o75m
2022-07-13,yw3op50m,Uranium_Nak,06m 25s,385,https://www.speedrun.com/killing_floor_2/runs/yw3op50m
2022-12-10,yv8j62em,N97_RVH,06m 18s,378,https://www.speedrun.com/killing_floor_2/runs/yv8j62em
2022-12-12,y80968wm,Uranium_Nak,06m 16s,376,https://www.speedrun.com/killing_floor_2/runs/y80968wm
2022-12-18,mkv2893y,N97_RVH,06m 13s,373,https://www.speedrun.com/killing_floor_2/runs/mkv2893y
2022-12-21,z5e7kpdz,Uranium_Nak,06m 10s,370,https://www.speedrun.com/killing_floor_2/runs/z5e7kpdz
