Date,Id,Players,Time,Seconds,Link
2014-12-31,dy45owkm,deathline,2h 19m 57s,8397,https://www.speedrun.com/l4d2/runs/dy45owkm
2015-02-12,6yj4lo7y,DemonicRobots,1h 47m 56s,6476,https://www.speedrun.com/l4d2/runs/6yj4lo7y
2015-03-01,emk9wqvz,Bubbz,1h 40m 03s,6003,https://www.speedrun.com/l4d2/runs/emk9wqvz
2015-03-11,8m7pk4em,Bubbz,1h 27m 30s,5250,https://www.speedrun.com/l4d2/runs/8m7pk4em
2015-06-09,jy90evvy,Darkossz,1h 25m 25s,5125,https://www.speedrun.com/l4d2/runs/jy90evvy
2015-07-16,emk8ql3m,Canterlott,1h 25m 10s,5110,https://www.speedrun.com/l4d2/runs/emk8ql3m
2015-08-23,2yw0jepm,Derpduck,1h 11m 38s,4298,https://www.speedrun.com/l4d2/runs/2yw0jepm
2015-09-23,wzp1qrvz,Mawfeen,1h 10m 29s,4229,https://www.speedrun.com/l4d2/runs/wzp1qrvz
2015-10-15,pzggqnvz,Mawfeen,1h 06m 02s,3962,https://www.speedrun.com/l4d2/runs/pzggqnvz
2016-03-26,jy9xv7ky,TheMaster,1h 03m 32s,3812,https://www.speedrun.com/l4d2/runs/jy9xv7ky
2016-06-21,9mel028z,TheMaster,58m 29s,3509,https://www.speedrun.com/l4d2/runs/9mel028z
2016-10-29,8y8op31m,TheMaster,55m 17s,3317,https://www.speedrun.com/l4d2/runs/8y8op31m
2017-05-26,ydq3lkxm,burhác,54m 18s,3258,https://www.speedrun.com/l4d2/runs/ydq3lkxm
2017-05-27,y23qnl5m,TheMaster,53m 26s,3206,https://www.speedrun.com/l4d2/runs/y23qnl5m
2017-05-30,y67p1xqm,burhác,53m 18s,3198,https://www.speedrun.com/l4d2/runs/y67p1xqm
2017-07-13,zxvd6gey,TheMaster,52m 46s,3166,https://www.speedrun.com/l4d2/runs/zxvd6gey
2017-07-21,zq64p39y,burhác,52m 03s,3123,https://www.speedrun.com/l4d2/runs/zq64p39y
2017-09-09,yjk554gm,burhác,51m 08s,3068,https://www.speedrun.com/l4d2/runs/yjk554gm
2017-12-09,m792ro4y,burhác,49m 44s,2984,https://www.speedrun.com/l4d2/runs/m792ro4y
2018-04-30,yw19x32z,burhác,49m 20s,2960,https://www.speedrun.com/l4d2/runs/yw19x32z
2020-01-23,z156wl7y,JurasPatryk,48m 47s,2927,https://www.speedrun.com/l4d2/runs/z156wl7y
2020-08-23,mk369wlz,vogeltech,48m 40s,2920,https://www.speedrun.com/l4d2/runs/mk369wlz
2021-01-10,y8r5n6xm,vogeltech,47m 28s,2848,https://www.speedrun.com/l4d2/runs/y8r5n6xm
2021-07-16,z0rgp6oz,vogeltech,47m 07s,2827,https://www.speedrun.com/l4d2/runs/z0rgp6oz
2021-07-31,z5dog35m,vogeltech,47m 03s,2823,https://www.speedrun.com/l4d2/runs/z5dog35m
2021-08-01,ydeqxp0m,vogeltech,46m 26s,2786,https://www.speedrun.com/l4d2/runs/ydeqxp0m
2022-05-28,zgppvwvz,vogeltech,46m 15s,2775,https://www.speedrun.com/l4d2/runs/zgppvwvz
2022-08-20,me19j98y,vogeltech,45m 44s,2744,https://www.speedrun.com/l4d2/runs/me19j98y
2022-12-30,ywvd8g3z,vogeltech,45m 35s,2735,https://www.speedrun.com/l4d2/runs/ywvd8g3z
2023-04-04,y2j47p7z,vogeltech,45m 07s,2707,https://www.speedrun.com/l4d2/runs/y2j47p7z
2023-04-08,y80474dm,vogeltech,44m 39s,2679,https://www.speedrun.com/l4d2/runs/y80474dm
