Date,Id,Players,Time,Seconds,Link
2015-07-28,pyd04ljz,Inferno,4h 46m 29s,17189,https://www.speedrun.com/lswtcs/runs/pyd04ljz
2015-08-02,8y8rlldm,TheeSizzler,4h 28m 22s,16102,https://www.speedrun.com/lswtcs/runs/8y8rlldm
2015-09-26,pzgg7jvz,smkurki,3h 45m 44s,13544,https://www.speedrun.com/lswtcs/runs/pzgg7jvz
2016-07-20,2ywn343y,TSG,3h 42m 15s,13335,https://www.speedrun.com/lswtcs/runs/2ywn343y
2016-07-22,7z0xlnjz,TSG,3h 38m 35s,13115,https://www.speedrun.com/lswtcs/runs/7z0xlnjz
2016-08-17,0zn217lz,TSG,3h 33m 20s,12800,https://www.speedrun.com/lswtcs/runs/0zn217lz
2016-08-26,kz5889gz,TSG,3h 30m 56s,12656,https://www.speedrun.com/lswtcs/runs/kz5889gz
2016-09-02,pm3j964z,TSG,3h 30m 27s,12627,https://www.speedrun.com/lswtcs/runs/pm3j964z
2017-01-03,0zn55l8z,TSG,3h 28m 36s,12516,https://www.speedrun.com/lswtcs/runs/0zn55l8z
2017-03-10,emkjl5xy,TSG,3h 27m 20s,12440,https://www.speedrun.com/lswtcs/runs/emkjl5xy
2017-04-14,mrqjx77y,TSG,3h 25m 25s,12325,https://www.speedrun.com/lswtcs/runs/mrqjx77y
2017-06-22,zn8k49lz,TSG,3h 24m 33s,12273,https://www.speedrun.com/lswtcs/runs/zn8k49lz
2017-07-16,y971xr2m,roushmore,3h 23m 04s,12184,https://www.speedrun.com/lswtcs/runs/y971xr2m
2017-07-25,ydq07nwm,TSG,3h 20m 51s,12051,https://www.speedrun.com/lswtcs/runs/ydq07nwm
2017-12-31,z0ex52em,TSG,3h 20m 28s,12028,https://www.speedrun.com/lswtcs/runs/z0ex52em
2018-03-06,ydqo3jvm,TSG,3h 17m 40s,11860,https://www.speedrun.com/lswtcs/runs/ydqo3jvm
2018-06-10,mr8qe54y,TSG,3h 15m 26s,11726,https://www.speedrun.com/lswtcs/runs/mr8qe54y
