Date,Id,Players,Time,Seconds,Link
2012-11-10,oy24v7zd,eternityphoenix,2h 17m 20s,8240,https://www.speedrun.com/lm/runs/oy24v7zd
2013-03-05,8m7jl0m0,RoseFielden,1h 05m 52s,3952,https://www.speedrun.com/lm/runs/8m7jl0m0
2013-09-21,nz14d7ze,Ng707,1h 03m 52s,3832,https://www.speedrun.com/lm/runs/nz14d7ze
2014-01-01,wzp22kry,Linkus7,1h 01m 42s,3702,https://www.speedrun.com/lm/runs/wzp22kry
2014-07-26,8yv0n94z,RoseFielden,1h 01m 11s,3671,https://www.speedrun.com/lm/runs/8yv0n94z
2014-11-24,2yw6640m,Vark,59m 56s,3596,https://www.speedrun.com/lm/runs/2yw6640m
2015-04-18,9mek7o9m,FireDragon,59m 27s,3567,https://www.speedrun.com/lm/runs/9mek7o9m
2015-12-30,pm37prqz,HDlax,59m 04s,3544,https://www.speedrun.com/lm/runs/pm37prqz
2016-01-02,9yorv5dy,HDlax,59m 02s,3542,https://www.speedrun.com/lm/runs/9yorv5dy
2016-04-10,0y6xjwqy,HDlax,58m 39s,3519,https://www.speedrun.com/lm/runs/0y6xjwqy
2016-04-21,9yolv0dy,HDlax,58m 30s,3510,https://www.speedrun.com/lm/runs/9yolv0dy
2016-04-29,9yol9ojy,HDlax,58m 19s,3499,https://www.speedrun.com/lm/runs/9yol9ojy
2016-06-03,pzgekevy,HDlax,58m 14s,3494,https://www.speedrun.com/lm/runs/pzgekevy
2016-07-05,0y6q361z,HDlax,58m 06s,3486,https://www.speedrun.com/lm/runs/0y6q361z
2016-10-01,8yvx796z,MichaelT00,58m 01s,3481,https://www.speedrun.com/lm/runs/8yvx796z
2016-10-14,7ylpkjnm,MichaelT00,57m 59s,3479,https://www.speedrun.com/lm/runs/7ylpkjnm
2017-02-05,1zxr6qez,ZirconEagle16,57m 55s,3475,https://www.speedrun.com/lm/runs/1zxr6qez
2017-02-09,kz54edem,MichaelT00,57m 47s,3467,https://www.speedrun.com/lm/runs/kz54edem
2017-02-11,kz548rdm,MichaelT00,57m 42s,3462,https://www.speedrun.com/lm/runs/kz548rdm
2017-02-13,oy248q5z,MichaelT00,57m 40s,3460,https://www.speedrun.com/lm/runs/oy248q5z
2017-02-23,nz1e83ry,MichaelT00,57m 37s,3457,https://www.speedrun.com/lm/runs/nz1e83ry
2017-02-23,oy2ovj9m,HDlax,57m 23s,3443,https://www.speedrun.com/lm/runs/oy2ovj9m
2017-03-22,1zqx831y,Snap,56m 51s,3411,https://www.speedrun.com/lm/runs/1zqx831y
2017-10-08,ydqw4gjm,Snap,56m 36s,3396,https://www.speedrun.com/lm/runs/ydqw4gjm
2018-01-20,y97jp9em,Bluehits,56m 20s,3380,https://www.speedrun.com/lm/runs/y97jp9em
2018-06-18,z03e82ez,Bluehits,55m 58s,3358,https://www.speedrun.com/lm/runs/z03e82ez
2020-09-22,yj64wo3z,PabloRuns,55m 57s,3357,https://www.speedrun.com/lm/runs/yj64wo3z
2020-12-17,zn39q9ly,Snap,55m 49s,3349,https://www.speedrun.com/lm/runs/zn39q9ly
2021-06-10,z1rlng9m,HDlax,55m 46s,3346,https://www.speedrun.com/lm/runs/z1rlng9m
2021-06-14,zgg8r2jz,jovin,55m 43s,3343,https://www.speedrun.com/lm/runs/zgg8r2jz
2021-06-21,z1rn9kwm,jovin,55m 39s,3339,https://www.speedrun.com/lm/runs/z1rn9kwm
2021-10-31,y27r9n9z,PabloRuns,55m 38s,3338,https://www.speedrun.com/lm/runs/y27r9n9z
2022-03-16,z124r7gy,jovin,55m 35s,3335,https://www.speedrun.com/lm/runs/z124r7gy
2022-05-26,z52vw6nz,PabloRuns,55m 25s,3325,https://www.speedrun.com/lm/runs/z52vw6nz
2022-08-17,me16wd9y,PabloRuns,55m 20s,3320,https://www.speedrun.com/lm/runs/me16wd9y
2022-08-21,y8xvpwnm,PabloRuns,55m 13s,3313,https://www.speedrun.com/lm/runs/y8xvpwnm
2022-08-24,znq17e3z,jovin,55m 07s,3307,https://www.speedrun.com/lm/runs/znq17e3z
2022-10-18,yl1jo9rm,PabloRuns,54m 52s,3292,https://www.speedrun.com/lm/runs/yl1jo9rm
2022-12-07,ywv1500z,Snap,54m 49s,3289,https://www.speedrun.com/lm/runs/ywv1500z
2023-03-29,yv8e13om,jovin,54m 43s,3283,https://www.speedrun.com/lm/runs/yv8e13om
2023-07-14,y98849rz,PabloRuns,54m 20s,3260,https://www.speedrun.com/lm/runs/y98849rz
