Date,Id,Players,Time,Seconds,Link
2014-04-12,2yw8jk0y,Nerd_Squared,3h 34m 47s,12887,https://www.speedrun.com/lm2/runs/2yw8jk0y
2014-10-19,emkvpj5y,Riidolsk,3h 28m 09s,12489,https://www.speedrun.com/lm2/runs/emkvpj5y
2014-11-09,9mrov37m,Riidolsk,3h 23m 37s,12217,https://www.speedrun.com/lm2/runs/9mrov37m
2014-12-13,kz5e89ez,Riidolsk,3h 20m 29s,12029,https://www.speedrun.com/lm2/runs/kz5e89ez
2014-12-28,pm3l0eqm,Riidolsk,3h 15m 28s,11728,https://www.speedrun.com/lm2/runs/pm3l0eqm
2015-06-22,0y6ovkjy,Riidolsk,3h 15m 05s,11705,https://www.speedrun.com/lm2/runs/0y6ovkjy
2015-07-17,8y80w5nm,Riidolsk,3h 14m 10s,11650,https://www.speedrun.com/lm2/runs/8y80w5nm
2015-07-30,jy97rjnm,Riidolsk,3h 11m 54s,11514,https://www.speedrun.com/lm2/runs/jy97rjnm
2015-12-21,2ywkwn3y,Riidolsk,3h 08m 19s,11299,https://www.speedrun.com/lm2/runs/2ywkwn3y
2017-07-01,mekow03m,Riidolsk,3h 05m 28s,11128,https://www.speedrun.com/lm2/runs/mekow03m
2017-09-09,zq6vvj1y,Banananana,3h 03m 50s,11030,https://www.speedrun.com/lm2/runs/zq6vvj1y
2018-03-11,mk4r0q5y,Banananana,3h 01m 48s,10908,https://www.speedrun.com/lm2/runs/mk4r0q5y
2018-03-24,yo48p25m,Banananana,3h 00m 20s,10820,https://www.speedrun.com/lm2/runs/yo48p25m
2018-03-31,m3d843dz,Banananana,3h 00m 05s,10805,https://www.speedrun.com/lm2/runs/m3d843dz
2018-04-05,yo4g311m,Banananana,2h 59m 16s,10756,https://www.speedrun.com/lm2/runs/yo4g311m
2018-04-21,m3dp58gz,Riidolsk,2h 57m 55s,10675,https://www.speedrun.com/lm2/runs/m3dp58gz
2018-06-02,y2q92djy,Banananana,2h 56m 48s,10608,https://www.speedrun.com/lm2/runs/y2q92djy
2018-06-06,zp0nje8m,Riidolsk,2h 55m 47s,10547,https://www.speedrun.com/lm2/runs/zp0nje8m
2018-06-18,y89qg0nm,Banananana,2h 55m 02s,10502,https://www.speedrun.com/lm2/runs/y89qg0nm
2018-09-29,mr8nw5gy,Riidolsk,2h 53m 57s,10437,https://www.speedrun.com/lm2/runs/mr8nw5gy
2019-01-22,zg7ovlvz,Banananana,2h 52m 38s,10358,https://www.speedrun.com/lm2/runs/zg7ovlvz
2019-01-30,yl4x54km,Riidolsk,2h 50m 28s,10228,https://www.speedrun.com/lm2/runs/yl4x54km
2019-04-22,m7pk275m,Banananana,2h 48m 53s,10133,https://www.speedrun.com/lm2/runs/m7pk275m
2021-09-23,y27jg9wz,Blars,2h 48m 49s,10129,https://www.speedrun.com/lm2/runs/y27jg9wz
2022-07-08,z1p0q6jz,Blars,2h 47m 07s,10027,https://www.speedrun.com/lm2/runs/z1p0q6jz
2022-08-08,y803r1xm,Blars,2h 46m 59s,10019,https://www.speedrun.com/lm2/runs/y803r1xm
