Date,Id,Players,Time,Seconds,Link
2021-02-13,y66n436y,Samura1man,2h 37m 06s,9426,https://www.speedrun.com/sm3dw_bf/runs/y66n436y
2021-02-14,zx6lwrkz,Skipper93653,2h 01m 30s,7290,https://www.speedrun.com/sm3dw_bf/runs/zx6lwrkz
2021-02-15,zp32o2rm,SCRB,1h 53m 12s,6792,https://www.speedrun.com/sm3dw_bf/runs/zp32o2rm
2021-02-15,zqg0598m,LuigiMaster,1h 43m 46s,6226,https://www.speedrun.com/sm3dw_bf/runs/zqg0598m
2021-02-16,znopkj9y,peteyboo,1h 41m 08s,6068,https://www.speedrun.com/sm3dw_bf/runs/znopkj9y
2021-02-18,yd9dnvvz,LuigiMaster,1h 37m 46s,5866,https://www.speedrun.com/sm3dw_bf/runs/yd9dnvvz
2021-02-24,y2vjv6wz,LuigiMaster,1h 36m 16s,5776,https://www.speedrun.com/sm3dw_bf/runs/y2vjv6wz
2021-03-12,m78on90z,LuigiMaster,1h 34m 09s,5649,https://www.speedrun.com/sm3dw_bf/runs/m78on90z
2021-03-28,me95ln8z,shoyu_parfait,1h 33m 03s,5583,https://www.speedrun.com/sm3dw_bf/runs/me95ln8z
2021-04-05,y2vo64wz,LuigiMaster,1h 32m 30s,5550,https://www.speedrun.com/sm3dw_bf/runs/y2vo64wz
2021-04-05,znonlp7y,shoyu_parfait,1h 32m 19s,5539,https://www.speedrun.com/sm3dw_bf/runs/znonlp7y
2021-04-09,zx6ee5gz,LuigiMaster,1h 32m 17s,5537,https://www.speedrun.com/sm3dw_bf/runs/zx6ee5gz
2021-04-27,me7ox43y,LuigiMaster,1h 31m 34s,5494,https://www.speedrun.com/sm3dw_bf/runs/me7ox43y
2021-06-10,zp1wwvnz,shoyu_parfait,1h 30m 43s,5443,https://www.speedrun.com/sm3dw_bf/runs/zp1wwvnz
2021-06-14,z0rx708z,LuigiMaster,1h 29m 41s,5381,https://www.speedrun.com/sm3dw_bf/runs/z0rx708z
2021-08-20,m775np9m,LuigiMaster,1h 29m 05s,5345,https://www.speedrun.com/sm3dw_bf/runs/m775np9m
2021-09-01,yo669o5y,LuigiMaster,1h 28m 59s,5339,https://www.speedrun.com/sm3dw_bf/runs/yo669o5y
2021-09-23,mrno6w4y,shoyu_parfait,1h 28m 47s,5327,https://www.speedrun.com/sm3dw_bf/runs/mrno6w4y
2021-10-04,z5dkp3gm,LuigiMaster,1h 28m 03s,5283,https://www.speedrun.com/sm3dw_bf/runs/z5dkp3gm
2022-03-12,z0o2pk4z,shoyu_parfait,1h 27m 40s,5260,https://www.speedrun.com/sm3dw_bf/runs/z0o2pk4z
2022-03-18,yjxvxngz,LuigiMaster,1h 27m 20s,5240,https://www.speedrun.com/sm3dw_bf/runs/yjxvxngz
2022-04-08,yop4vrdm,LuigiMaster,1h 26m 42s,5202,https://www.speedrun.com/sm3dw_bf/runs/yop4vrdm
2023-06-11,z0jrj04y,shoyu_parfait,1h 26m 08s,5168,https://www.speedrun.com/sm3dw_bf/runs/z0jrj04y
2023-06-30,y86x995m,LuigiMaster,1h 25m 33s,5133,https://www.speedrun.com/sm3dw_bf/runs/y86x995m
