Date,Id,Players,Time,Seconds,Link
2014-04-14,8m7vg9m0,beekle,3h 04m 13s,11053,https://www.speedrun.com/smg1/runs/8m7vg9m0
2014-05-15,6yj73oyd,NEG_taro,2h 34m 36s,9276,https://www.speedrun.com/smg1/runs/6yj73oyd
2021-06-16,me7w9p9y,Tibs,2h 34m 26s,9266,https://www.speedrun.com/smg1/runs/me7w9p9y
2021-07-17,ydr7o8wz,Tibs,2h 33m 39s,9219,https://www.speedrun.com/smg1/runs/ydr7o8wz
2021-07-22,ylqgpvnz,Tibs,2h 32m 19s,9139,https://www.speedrun.com/smg1/runs/ylqgpvnz
2021-08-07,me4xxk8y,Tibs,2h 32m 07s,9127,https://www.speedrun.com/smg1/runs/me4xxk8y
2021-08-09,zp84g3ny,Tibs,2h 31m 02s,9062,https://www.speedrun.com/smg1/runs/zp84g3ny
2021-08-19,ylrvdo2y,Tibs,2h 30m 20s,9020,https://www.speedrun.com/smg1/runs/ylrvdo2y
2021-08-25,y8ev70wy,Tibs,2h 29m 13s,8953,https://www.speedrun.com/smg1/runs/y8ev70wy
2021-09-05,y2707j5z,Tibs,2h 28m 44s,8924,https://www.speedrun.com/smg1/runs/y2707j5z
2021-09-08,zqv0o09m,Tibs,2h 28m 15s,8895,https://www.speedrun.com/smg1/runs/zqv0o09m
2021-09-21,z1xqr6jm,Tibs,2h 27m 40s,8860,https://www.speedrun.com/smg1/runs/z1xqr6jm
2021-10-08,y69vl0qy,Jhay,2h 26m 08s,8768,https://www.speedrun.com/smg1/runs/y69vl0qy
2022-01-03,zn7ojx3m,Jhay,2h 25m 52s,8752,https://www.speedrun.com/smg1/runs/zn7ojx3m
2022-02-08,y6nq98qz,Jhay,2h 25m 39s,8739,https://www.speedrun.com/smg1/runs/y6nq98qz
2022-02-25,y48j6vqm,Jhay,2h 25m 10s,8710,https://www.speedrun.com/smg1/runs/y48j6vqm
2022-04-05,yjpj29ny,xzRockin,2h 24m 55s,8695,https://www.speedrun.com/smg1/runs/yjpj29ny
2022-04-15,yjp4l3ny,xzRockin,2h 24m 37s,8677,https://www.speedrun.com/smg1/runs/yjp4l3ny
2022-05-12,yl7q3krm,Tibs,2h 24m 04s,8644,https://www.speedrun.com/smg1/runs/yl7q3krm
2022-05-26,y9vvod2m,Tibs,2h 23m 57s,8637,https://www.speedrun.com/smg1/runs/y9vvod2m
2023-02-28,m3l03gwm,Jhay,2h 23m 34s,8614,https://www.speedrun.com/smg1/runs/m3l03gwm
2023-05-29,m705n05y,Tibs,2h 23m 28s,8608,https://www.speedrun.com/smg1/runs/m705n05y
2023-06-01,yl6o4dny,Tibs,2h 22m 03s,8523,https://www.speedrun.com/smg1/runs/yl6o4dny
2023-06-03,y2gvrj7z,Tibs,2h 21m 56s,8516,https://www.speedrun.com/smg1/runs/y2gvrj7z
2023-06-24,zpw91dgy,Tibs,2h 21m 45s,8505,https://www.speedrun.com/smg1/runs/zpw91dgy
2023-07-16,y62qqlqz,Tibs,2h 21m 06s,8466,https://www.speedrun.com/smg1/runs/y62qqlqz
2023-07-21,y98jd02z,Tibs,2h 20m 20s,8420,https://www.speedrun.com/smg1/runs/y98jd02z
2024-06-08,mkpr00xy,goujon47,2h 20m 10s,8410,https://www.speedrun.com/smg1/runs/mkpr00xy
