Date,Id,Players,Time,Seconds,Link
2011-01-06,1zq598zl,marsonioic,3h 31m 02s,12662,https://www.speedrun.com/smg2/runs/1zq598zl
2011-02-03,1zx588mx,konkuu,3h 27m 41s,12461,https://www.speedrun.com/smg2/runs/1zx588mx
2011-10-09,nz17grze,NEG_taro,3h 23m 00s,12180,https://www.speedrun.com/smg2/runs/nz17grze
2012-06-23,0zn5plzn,nemi,3h 11m 30s,11490,https://www.speedrun.com/smg2/runs/0zn5plzn
2015-11-15,znokk9vy,nemi,3h 05m 22s,11122,https://www.speedrun.com/smg2/runs/znokk9vy
2015-12-12,pzgr3lvm,nemi,3h 03m 03s,10983,https://www.speedrun.com/smg2/runs/pzgr3lvm
2016-02-26,oy2pw36z,Vallu,3h 01m 57s,10917,https://www.speedrun.com/smg2/runs/oy2pw36z
2019-01-12,m7pnk50m,nemi,3h 00m 23s,10823,https://www.speedrun.com/smg2/runs/m7pnk50m
2019-12-14,yw4gqdnz,nemi,2h 58m 39s,10719,https://www.speedrun.com/smg2/runs/yw4gqdnz
2021-01-17,ylo9xoxy,HardcoreGaming,2h 58m 22s,10702,https://www.speedrun.com/smg2/runs/ylo9xoxy
2021-10-25,y8eg39wy,Doopsie,2h 58m 17s,10697,https://www.speedrun.com/smg2/runs/y8eg39wy
2021-12-16,z0o3428z,Doopsie,2h 57m 58s,10678,https://www.speedrun.com/smg2/runs/z0o3428z
2022-01-06,m7wd099z,Doopsie,2h 57m 29s,10649,https://www.speedrun.com/smg2/runs/m7wd099z
2022-01-12,z0o72ljz,Doopsie,2h 57m 16s,10636,https://www.speedrun.com/smg2/runs/z0o72ljz
2022-03-20,yvqk734m,Doopsie,2h 55m 34s,10534,https://www.speedrun.com/smg2/runs/yvqk734m
2022-10-24,y2er149y,Jhay,2h 55m 08s,10508,https://www.speedrun.com/smg2/runs/y2er149y
2022-11-22,m7xrwrey,Jhay,2h 54m 55s,10495,https://www.speedrun.com/smg2/runs/m7xrwrey
2023-01-11,yj8gj33m,Jhay,2h 54m 51s,10491,https://www.speedrun.com/smg2/runs/yj8gj33m
2023-08-23,ydjx42vy,Doopsie,2h 54m 45s,10485,https://www.speedrun.com/smg2/runs/ydjx42vy
