Date,Id,Players,Time,Seconds,Link
2014-05-31,nz13jnjm,deceax,1h 34m 08s,5648,https://www.speedrun.com/mk8/runs/nz13jnjm
2014-06-02,wzpq4xny,Dotman1337,1h 31m 44s,5504,https://www.speedrun.com/mk8/runs/wzpq4xny
2014-06-06,9mekx0qm,tlozsr,1h 27m 37s,5257,https://www.speedrun.com/mk8/runs/9mekx0qm
2014-06-07,0y67lqqm,Nacho,1h 26m 15s,5175,https://www.speedrun.com/mk8/runs/0y67lqqm
2014-06-10,7z0e1xom,alexspeedruns,1h 25m 11s,5111,https://www.speedrun.com/mk8/runs/7z0e1xom
2014-06-16,wzpq4wvy,Jonas_Rom,1h 23m 48s,5028,https://www.speedrun.com/mk8/runs/wzpq4wvy
2014-06-17,8y8xpdm1,Jelledot,1h 23m 28s,5008,https://www.speedrun.com/mk8/runs/8y8xpdm1
2014-11-28,oy252qjy,Jelledot,1h 22m 16s,4936,https://www.speedrun.com/mk8/runs/oy252qjy
2014-12-19,9mek422m,Insane,1h 20m 54s,4854,https://www.speedrun.com/mk8/runs/9mek422m
2015-01-02,oy23gw5m,Kivicious,1h 20m 24s,4824,https://www.speedrun.com/mk8/runs/oy23gw5m
2015-06-24,jy9044ey,Jamie,1h 20m 15s,4815,https://www.speedrun.com/mk8/runs/jy9044ey
2015-06-25,1zxd9vey,Jamie,1h 20m 14s,4814,https://www.speedrun.com/mk8/runs/1zxd9vey
2015-06-27,oy2d9o9z,Jamie,1h 19m 10s,4750,https://www.speedrun.com/mk8/runs/oy2d9o9z
2015-10-19,9mr17j2z,Leroy,1h 18m 57s,4737,https://www.speedrun.com/mk8/runs/9mr17j2z
2016-10-30,7z08qlom,Leo_oo,1h 18m 23s,4703,https://www.speedrun.com/mk8/runs/7z08qlom
