Date,Id,Players,Time,Seconds,Link
2017-05-01,y233jx6m,llTimelessll,2h 06m 52s,7612,https://www.speedrun.com/mk8dx/runs/y233jx6m
2017-05-01,z0eej68m,llTimelessll,2h 04m 08s,7448,https://www.speedrun.com/mk8dx/runs/z0eej68m
2017-05-02,y677q16m,UchihaMadao,1h 57m 32s,7052,https://www.speedrun.com/mk8dx/runs/y677q16m
2017-05-05,zxvvjvky,gamaroo,1h 57m 03s,7023,https://www.speedrun.com/mk8dx/runs/zxvvjvky
2017-05-07,m799vxwy,Oh_Snap,1h 56m 55s,7015,https://www.speedrun.com/mk8dx/runs/m799vxwy
2017-05-08,m3dd40qz,gamaroo,1h 56m 16s,6976,https://www.speedrun.com/mk8dx/runs/m3dd40qz
2017-05-26,y23q67jm,UchihaMadao,1h 53m 53s,6833,https://www.speedrun.com/mk8dx/runs/y23q67jm
2017-08-08,z5o0w3ey,starxlx,1h 51m 41s,6701,https://www.speedrun.com/mk8dx/runs/z5o0w3ey
2017-08-19,yjkgxlgm,Leo_oo,1h 50m 46s,6646,https://www.speedrun.com/mk8dx/runs/yjkgxlgm
2018-10-28,me83gj3m,CC_,1h 50m 33s,6633,https://www.speedrun.com/mk8dx/runs/me83gj3m
2018-11-19,z03nw49z,BrawlerJesse,1h 50m 07s,6607,https://www.speedrun.com/mk8dx/runs/z03nw49z
2019-01-21,mk91485z,Cynda,1h 49m 59s,6599,https://www.speedrun.com/mk8dx/runs/mk91485z
2019-12-24,y81wlgxz,おれより下のやつたこ,1h 48m 50s 415ms,6530.415,https://www.speedrun.com/mk8dx/runs/y81wlgxz
2020-03-18,zxke3ogm,おれより下のやつたこ,1h 48m 04s 690ms,6484.69,https://www.speedrun.com/mk8dx/runs/zxke3ogm
2023-08-28,mk060exz,kusaan,1h 47m 40s 260ms,6460.26,https://www.speedrun.com/mk8dx/runs/mk060exz
2024-03-21,yldoeo2m,PandaMK8,1h 47m 19s 120ms,6439.12,https://www.speedrun.com/mk8dx/runs/yldoeo2m
2024-04-07,zq80e19z,PandaMK8,1h 46m 57s 370ms,6417.37,https://www.speedrun.com/mk8dx/runs/zq80e19z
2024-08-24,yvxrjexz,PandaMK8,1h 46m 47s 130ms,6407.13,https://www.speedrun.com/mk8dx/runs/yvxrjexz
