Date,Id,Players,Time,Seconds,Link
2014-12-10,9mrqkd4y,Sup3rH3nry,1h 14m 31s,4471,https://www.speedrun.com/mkds/runs/9mrqkd4y
2014-12-13,0zn832vz,roushmore,1h 04m 49s,3889,https://www.speedrun.com/mkds/runs/0zn832vz
2014-12-15,6yjk1xdm,roushmore,1h 03m 49s,3829,https://www.speedrun.com/mkds/runs/6yjk1xdm
2015-04-26,wzp4v4vz,Braydon,1h 02m 21s,3741,https://www.speedrun.com/mkds/runs/wzp4v4vz
2015-05-16,0znkovvz,Keverage,1h 00m 19s,3619,https://www.speedrun.com/mkds/runs/0znkovvz
2015-05-18,nz15x1gy,Keverage,58m 18s,3498,https://www.speedrun.com/mkds/runs/nz15x1gy
2015-06-06,1zqwqg8z,Keverage,56m 50s,3410,https://www.speedrun.com/mkds/runs/1zqwqg8z
2017-02-11,1zqodg9y,Beta,56m 07s,3367,https://www.speedrun.com/mkds/runs/1zqodg9y
2017-02-13,9me5n92m,Beta,55m 21s,3321,https://www.speedrun.com/mkds/runs/9me5n92m
2017-02-15,9yog5p1m,Beta,55m 09s,3309,https://www.speedrun.com/mkds/runs/9yog5p1m
2021-09-05,m3761g4z,mkdsabel,55m 08s,3308,https://www.speedrun.com/mkds/runs/m3761g4z
2021-09-14,zxo71p5z,mkdsabel,54m 36s,3276,https://www.speedrun.com/mkds/runs/zxo71p5z
2021-10-05,m37kqoqz,mkdsabel,54m 20s,3260,https://www.speedrun.com/mkds/runs/m37kqoqz
2022-07-05,znpg75lm,mkdsabel,54m 09s,3249,https://www.speedrun.com/mkds/runs/znpg75lm
2022-10-17,znq6vp7z,Towa,53m 53s,3233,https://www.speedrun.com/mkds/runs/znq6vp7z
2023-06-28,zqj7nxxm,mkdsabel,53m 39s,3219,https://www.speedrun.com/mkds/runs/zqj7nxxm
2023-07-21,mrl5322m,mkdsabel,53m 26s,3206,https://www.speedrun.com/mkds/runs/mrl5322m
2023-09-12,m7396j0y,mkdsabel,53m 24s,3204,https://www.speedrun.com/mkds/runs/m7396j0y
2023-09-12,me0k359z,mkdsabel,52m 57s,3177,https://www.speedrun.com/mkds/runs/me0k359z
2023-11-27,z0xn7koz,mkdsabel,52m 15s,3135,https://www.speedrun.com/mkds/runs/z0xn7koz
2024-09-23,yoxoq5dy,mkdsabel,52m 14s,3134,https://www.speedrun.com/mkds/runs/yoxoq5dy
