Date,Id,Players,Time,Seconds,Link
2011-05-03,m3on6g4m,0xwas,37m 49s,2269,https://www.speedrun.com/mkdd/runs/m3on6g4m
2013-04-11,pyd5rvqm,druvan7,34m 18s,2058,https://www.speedrun.com/mkdd/runs/pyd5rvqm
2015-08-11,dy423e2m,druvan7,34m 13s,2053,https://www.speedrun.com/mkdd/runs/dy423e2m
2015-10-27,dy4rll3z,druvan7,34m 03s,2043,https://www.speedrun.com/mkdd/runs/dy4rll3z
2016-08-18,7z0d7j8y,Goomba,33m 51s,2031,https://www.speedrun.com/mkdd/runs/7z0d7j8y
2016-11-09,9yoev97z,Goomba,33m 46s,2026,https://www.speedrun.com/mkdd/runs/9yoev97z
2017-05-15,zgn7v3vy,OptimisticEmo,33m 40s,2020,https://www.speedrun.com/mkdd/runs/zgn7v3vy
2017-05-26,zpq0k3ny,Goomba,33m 34s,2014,https://www.speedrun.com/mkdd/runs/zpq0k3ny
2018-02-28,yl9j57xy,Goomba,33m 15s,1995,https://www.speedrun.com/mkdd/runs/yl9j57xy
2019-06-09,zp4q5k8z,Goomba,32m 38s,1958,https://www.speedrun.com/mkdd/runs/zp4q5k8z
