Date,Id,Players,Time,Seconds,Link
2010-01-26,m799d1wy,UchihaMadao,1h 07m 09s 140ms,4029.14,https://www.speedrun.com/mkw/runs/m799d1wy
2014-12-15,7yl9q7ny,Jcool114,1h 01m 44s 816ms,3704.816,https://www.speedrun.com/mkw/runs/7yl9q7ny
2014-12-24,0zn8pgvz,Dane_123,1h 01m 43s 526ms,3703.526,https://www.speedrun.com/mkw/runs/0zn8pgvz
2017-07-18,ydq0n4vm,EmilP,1h 01m 26s 946ms,3686.946,https://www.speedrun.com/mkw/runs/ydq0n4vm
2017-07-27,y67620pm,Jcool114,1h 01m 21s 309ms,3681.309,https://www.speedrun.com/mkw/runs/y67620pm
2017-10-14,zn8p819z,VBarone99,1h 00m 22s 585ms,3622.585,https://www.speedrun.com/mkw/runs/zn8p819z
2018-12-02,me8e222m,VBarone99,1h 00m 21s 349ms,3621.349,https://www.speedrun.com/mkw/runs/me8e222m
2019-07-04,y412e0ky,LukeGB,1h 00m 00s 177ms,3600.177,https://www.speedrun.com/mkw/runs/y412e0ky
2020-03-16,m7qr815z,batcake,59m 54s 397ms,3594.397,https://www.speedrun.com/mkw/runs/m7qr815z
2021-04-13,ydrq9ewz,LukeGB,59m 47s 497ms,3587.497,https://www.speedrun.com/mkw/runs/ydrq9ewz
2023-07-16,y2gkpg5z,LoganUS,59m 35s 698ms,3575.698,https://www.speedrun.com/mkw/runs/y2gkpg5z
2023-11-30,yvv8qp6y,LukeGB,59m 31s 458ms,3571.458,https://www.speedrun.com/mkw/runs/yvv8qp6y
