Date,Id,Players,Time,Seconds,Link
2019-06-28,m7qq76ez,ZimPractical,3h 07m 53s,11273,https://www.speedrun.com/smm2/runs/m7qq76ez
2019-06-29,znrr7q3y,Tooshi,2h 48m 04s,10084,https://www.speedrun.com/smm2/runs/znrr7q3y
2019-06-29,y411q2ny,Oh_Snap,2h 43m 12s,9792,https://www.speedrun.com/smm2/runs/y411q2ny
2019-06-29,z577xdgm,IamUncleSlam,2h 31m 32s,9092,https://www.speedrun.com/smm2/runs/z577xdgm
2019-06-30,z577eodm,Oh_Snap,2h 12m 18s,7938,https://www.speedrun.com/smm2/runs/z577eodm
2019-07-01,zp44p2rz,Oh_Snap,2h 04m 57s,7497,https://www.speedrun.com/smm2/runs/zp44p2rz
2019-07-03,y811oenz,Oh_Snap,1h 58m 03s,7083,https://www.speedrun.com/smm2/runs/y811oenz
2019-07-04,znrr5w7y,Oh_Snap,1h 56m 11s,6971,https://www.speedrun.com/smm2/runs/znrr5w7y
2019-07-04,y6ll8wpy,Oh_Snap,1h 54m 59s,6899,https://www.speedrun.com/smm2/runs/y6ll8wpy
2019-07-06,yw449g9z,Oh_Snap,1h 53m 29s,6809,https://www.speedrun.com/smm2/runs/yw449g9z
2019-07-07,zgkw3key,Oh_Snap,1h 52m 27s,6747,https://www.speedrun.com/smm2/runs/zgkw3key
2019-07-07,yl0k94ry,Oh_Snap,1h 51m 00s,6660,https://www.speedrun.com/smm2/runs/yl0k94ry
2019-07-08,yv36388z,Oh_Snap,1h 49m 38s,6578,https://www.speedrun.com/smm2/runs/yv36388z
2019-07-12,z015lney,Oh_Snap,1h 48m 40s,6520,https://www.speedrun.com/smm2/runs/z015lney
2019-07-25,y9516vkz,IamUncleSlam,1h 48m 27s,6507,https://www.speedrun.com/smm2/runs/y9516vkz
2019-07-26,yoj3lg5m,Oh_Snap,1h 46m 43s,6403,https://www.speedrun.com/smm2/runs/yoj3lg5m
2019-07-31,y6lrk9qy,Switchmaster64,1h 46m 02s,6362,https://www.speedrun.com/smm2/runs/y6lrk9qy
2019-08-01,yd69q9xz,Oh_Snap,1h 45m 53s,6353,https://www.speedrun.com/smm2/runs/yd69q9xz
2019-08-03,yw408r2z,Oh_Snap,1h 43m 53s,6233,https://www.speedrun.com/smm2/runs/yw408r2z
2019-08-26,yoj6461m,IamUncleSlam,1h 43m 22s,6202,https://www.speedrun.com/smm2/runs/yoj6461m
2019-09-16,yw4jjk3z,IamUncleSlam,1h 42m 37s,6157,https://www.speedrun.com/smm2/runs/yw4jjk3z
2020-01-06,yj39vv7z,IamUncleSlam,1h 41m 45s,6105,https://www.speedrun.com/smm2/runs/yj39vv7z
2020-02-14,yoj86w0m,IamUncleSlam,1h 41m 44s,6104,https://www.speedrun.com/smm2/runs/yoj86w0m
2020-02-20,y6lw1q0y,IamUncleSlam,1h 41m 06s,6066,https://www.speedrun.com/smm2/runs/y6lw1q0y
2020-03-21,yd6konqz,IamUncleSlam,1h 40m 39s,6039,https://www.speedrun.com/smm2/runs/yd6konqz
2020-08-28,mrk3l74y,IamUncleSlam,1h 40m 27s,6027,https://www.speedrun.com/smm2/runs/mrk3l74y
2020-09-14,zplqwvgm,IamUncleSlam,1h 40m 24s,6024,https://www.speedrun.com/smm2/runs/zplqwvgm
2020-09-16,mk84r6vm,IamUncleSlam,1h 40m 09s,6009,https://www.speedrun.com/smm2/runs/mk84r6vm
2020-09-19,m75pjd9z,IamUncleSlam,1h 40m 06s,6006,https://www.speedrun.com/smm2/runs/m75pjd9z
2020-09-20,yv9j3kxz,Val_JP,1h 39m 34s,5974,https://www.speedrun.com/smm2/runs/yv9j3kxz
2021-04-09,y6d7pj0m,IamUncleSlam,1h 39m 33s,5973,https://www.speedrun.com/smm2/runs/y6d7pj0m
2021-07-19,yjgnjroy,Val_JP,1h 39m 06s,5946,https://www.speedrun.com/smm2/runs/yjgnjroy
2021-09-27,y8e65qxy,IamUncleSlam,1h 39m 01s,5941,https://www.speedrun.com/smm2/runs/y8e65qxy
2021-10-07,zxoxkn8z,IamUncleSlam,1h 38m 48s,5928,https://www.speedrun.com/smm2/runs/zxoxkn8z
2024-07-12,mk147j1y,HooraySR,1h 37m 27s,5847,https://www.speedrun.com/smm2/runs/mk147j1y
