Date,Id,Players,Time,Seconds,Link
2017-10-27,zq675k9y,Duders,3h 06m 25s,11185,https://www.speedrun.com/smo/runs/zq675k9y
2017-10-27,ywp5690z,MonkeyKingHero,2h 11m 54s,7914,https://www.speedrun.com/smo/runs/ywp5690z
2017-10-27,me8p1q3m,MonkeyKingHero,1h 53m 46s,6826,https://www.speedrun.com/smo/runs/me8p1q3m
2017-10-29,z5o265dy,Oh_Snap,1h 46m 23s,6383,https://www.speedrun.com/smo/runs/z5o265dy
2017-10-29,y45q05qm,IMtendo,1h 34m 33s,5673,https://www.speedrun.com/smo/runs/y45q05qm
2017-10-29,yjkp74nm,MonkeyKingHero,1h 34m 29s,5669,https://www.speedrun.com/smo/runs/yjkp74nm
2017-10-30,zn8p5p3z,MonkeyKingHero,1h 32m 44s,5564,https://www.speedrun.com/smo/runs/zn8p5p3z
2017-10-30,z13p70wm,MonkeyKingHero,1h 29m 20s,5360,https://www.speedrun.com/smo/runs/z13p70wm
2017-10-30,zn8p64lz,IMtendo,1h 28m 45s,5325,https://www.speedrun.com/smo/runs/zn8p64lz
2017-10-30,yw13ov0z,IMtendo,1h 24m 28s,5068,https://www.speedrun.com/smo/runs/yw13ov0z
2017-10-31,yl97w42y,IMtendo,1h 23m 29s,5009,https://www.speedrun.com/smo/runs/yl97w42y
2017-11-01,mek3503m,IMtendo,1h 22m 03s,4923,https://www.speedrun.com/smo/runs/mek3503m
2017-11-01,y97vr22m,IMtendo,1h 20m 09s,4809,https://www.speedrun.com/smo/runs/y97vr22m
2017-11-01,z0epgl4m,IMtendo,1h 19m 39s,4779,https://www.speedrun.com/smo/runs/z0epgl4m
2017-11-02,zq67x39y,IMtendo,1h 18m 53s,4733,https://www.speedrun.com/smo/runs/zq67x39y
2017-11-02,zxv7enqy,Vallu,1h 18m 51s,4731,https://www.speedrun.com/smo/runs/zxv7enqy
2017-11-02,y97v4dkm,IMtendo,1h 18m 15s,4695,https://www.speedrun.com/smo/runs/y97v4dkm
2017-11-03,mrqrjr2y,Letsklay,1h 17m 44s,4664,https://www.speedrun.com/smo/runs/mrqrjr2y
2017-11-03,ydq18gwm,Vallu,1h 16m 17s,4577,https://www.speedrun.com/smo/runs/ydq18gwm
2017-11-04,y67x7o1m,Vallu,1h 15m 12s,4512,https://www.speedrun.com/smo/runs/y67x7o1m
2017-11-05,yl9192ny,Vallu,1h 13m 46s,4426,https://www.speedrun.com/smo/runs/yl9192ny
2017-11-06,mek1xw9m,Vallu,1h 12m 55s,4375,https://www.speedrun.com/smo/runs/mek1xw9m
2017-11-07,yl91kwry,Vallu,1h 11m 48s,4308,https://www.speedrun.com/smo/runs/yl91kwry
2017-11-09,zpqd1rxy,Vallu,1h 10m 43s,4243,https://www.speedrun.com/smo/runs/zpqd1rxy
2017-11-10,mek1472m,iwabi74,1h 10m 22s,4222,https://www.speedrun.com/smo/runs/mek1472m
2017-11-11,yw16jp0z,Vallu,1h 09m 17s,4157,https://www.speedrun.com/smo/runs/yw16jp0z
2017-11-16,y45xjenm,Samura1man,1h 08m 48s,4128,https://www.speedrun.com/smo/runs/y45xjenm
2017-11-20,mk4d65vy,iwabi74,1h 08m 32s,4112,https://www.speedrun.com/smo/runs/mk4d65vy
2017-11-21,z0enwejm,Vallu,1h 08m 07s,4087,https://www.speedrun.com/smo/runs/z0enwejm
2017-11-25,y23jd26m,iwabi74,1h 07m 55s,4075,https://www.speedrun.com/smo/runs/y23jd26m
2017-11-27,zgn20qdy,nedeahS,1h 07m 39s,4059,https://www.speedrun.com/smo/runs/zgn20qdy
2017-11-28,z5oev05y,Vallu,1h 07m 06s,4026,https://www.speedrun.com/smo/runs/z5oev05y
2017-11-30,zpqgedgy,nedeahS,1h 06m 51s,4011,https://www.speedrun.com/smo/runs/zpqgedgy
2017-12-04,y976qxkm,nedeahS,1h 06m 46s,4006,https://www.speedrun.com/smo/runs/y976qxkm
2017-12-06,yo4l8rdm,nedeahS,1h 06m 12s,3972,https://www.speedrun.com/smo/runs/yo4l8rdm
