Date,Id,Players,Time,Seconds,Link
2008-12-05,dy45xqdm,Thiradell,1h 55m 50s,6950,https://www.speedrun.com/sms/runs/dy45xqdm
2011-08-14,8y8qxx1y,Ahiru@MHara (あひる＠M原),1h 47m 39s,6459,https://www.speedrun.com/sms/runs/8y8qxx1y
2011-10-10,y67p5q0m,toobou,1h 34m 50s,5690,https://www.speedrun.com/sms/runs/y67p5q0m
2011-12-24,1zxg66ey,sincos,1h 33m 01s,5581,https://www.speedrun.com/sms/runs/1zxg66ey
2012-08-17,kz5r0r5y,toobou,1h 32m 49s,5569,https://www.speedrun.com/sms/runs/kz5r0r5y
2012-10-06,kz5o0e5y,sincos,1h 32m 24s,5544,https://www.speedrun.com/sms/runs/kz5o0e5y
2012-11-22,oy2jxl9z,toobou,1h 32m 07s,5527,https://www.speedrun.com/sms/runs/oy2jxl9z
2012-12-29,0y6odkpy,toobou,1h 31m 58s,5518,https://www.speedrun.com/sms/runs/0y6odkpy
2013-02-15,8y80d51m,toobou,1h 31m 38s,5498,https://www.speedrun.com/sms/runs/8y80d51m
2013-02-28,0znj1d3m,Samura1man,1h 31m 27s,5487,https://www.speedrun.com/sms/runs/0znj1d3m
2013-03-09,2ywvql0z,toobou,1h 31m 24s,5484,https://www.speedrun.com/sms/runs/2ywvql0z
2013-04-09,6yj8gngm,toobou,1h 31m 23s,5483,https://www.speedrun.com/sms/runs/6yj8gngm
2013-07-27,7ylnqgrz,Samura1man,1h 31m 08s,5468,https://www.speedrun.com/sms/runs/7ylnqgrz
2013-08-17,pzg2g4dy,toobou,1h 30m 45s,5445,https://www.speedrun.com/sms/runs/pzg2g4dy
2013-09-02,nz138g7m,Samura1man,1h 29m 55s,5395,https://www.speedrun.com/sms/runs/nz138g7m
2014-01-06,8yvg35ey,toobou,1h 29m 43s,5383,https://www.speedrun.com/sms/runs/8yvg35ey
2014-02-21,emkvgj1y,Samura1man,1h 24m 24s,5064,https://www.speedrun.com/sms/runs/emkvgj1y
2014-02-22,8m72drez,Paperario,1h 22m 59s,4979,https://www.speedrun.com/sms/runs/8m72drez
2014-02-22,8y8w2ndy,Samura1man,1h 22m 35s,4955,https://www.speedrun.com/sms/runs/8y8w2ndy
2014-02-22,8yvl65oz,toobou,1h 21m 45s,4905,https://www.speedrun.com/sms/runs/8yvl65oz
2014-02-22,0zn2k57z,Samura1man,1h 20m 36s,4836,https://www.speedrun.com/sms/runs/0zn2k57z
2014-02-22,7yldk5nm,Samura1man,1h 20m 32s,4832,https://www.speedrun.com/sms/runs/7yldk5nm
2014-02-23,pzglw9em,toobou,1h 20m 08s,4808,https://www.speedrun.com/sms/runs/pzglw9em
2014-03-22,9yo0k50y,toobou,1h 19m 34s,4774,https://www.speedrun.com/sms/runs/9yo0k50y
2014-08-25,9mekkq9m,stelzig,1h 19m 17s,4757,https://www.speedrun.com/sms/runs/9mekkq9m
2014-10-16,pm3dd14z,Samura1man,1h 19m 13s,4753,https://www.speedrun.com/sms/runs/pm3dd14z
2014-10-18,7z0d5k9y,toobou,1h 19m 08s,4748,https://www.speedrun.com/sms/runs/7z0d5k9y
2015-01-14,2yw15l3z,kaffelon,1h 18m 50s,4730,https://www.speedrun.com/sms/runs/2yw15l3z
2015-02-08,oy225r5y,toobou,1h 18m 46s,4726,https://www.speedrun.com/sms/runs/oy225r5y
2015-02-23,1zq8w5rz,toobou,1h 18m 35s,4715,https://www.speedrun.com/sms/runs/1zq8w5rz
2015-04-02,8y8180dz,kaffelon,1h 18m 29s,4709,https://www.speedrun.com/sms/runs/8y8180dz
2015-05-28,kz5jxe5m,AverageTrey,1h 18m 22s,4702,https://www.speedrun.com/sms/runs/kz5jxe5m
2015-06-12,7z050qem,kaffelon,1h 18m 17s,4697,https://www.speedrun.com/sms/runs/7z050qem
