Date,Id,Players,Time,Seconds,Link
2017-03-19,1zxe3vkm,Plywood,51m 23s,3083,https://www.speedrun.com/mgs1/runs/1zxe3vkm
2017-04-15,y8q3ol1y,Plywood,39m 41s,2381,https://www.speedrun.com/mgs1/runs/y8q3ol1y
2017-09-28,zgndvq0y,Plywood,39m 07s,2347,https://www.speedrun.com/mgs1/runs/zgndvq0y
2017-10-11,ydqwxgwm,Plywood,38m 58s,2338,https://www.speedrun.com/mgs1/runs/ydqwxgwm
2017-12-30,zpqpl8ny,Tromboncino,38m 33s,2313,https://www.speedrun.com/mgs1/runs/zpqpl8ny
2018-02-07,m3dw90dz,VideoGameRoulette,38m 25s,2305,https://www.speedrun.com/mgs1/runs/m3dw90dz
2018-02-11,z13v2w7m,Tromboncino,38m 10s,2290,https://www.speedrun.com/mgs1/runs/z13v2w7m
2018-02-12,y23nwv5m,Tromboncino,37m 46s,2266,https://www.speedrun.com/mgs1/runs/y23nwv5m
2020-07-07,m35k2wdy,MetalGlennSolid,37m 43s,2263,https://www.speedrun.com/mgs1/runs/m35k2wdy
2020-07-12,zqw8dvrz,dlimes13,37m 26s,2246,https://www.speedrun.com/mgs1/runs/zqw8dvrz
2020-09-12,zgvnwqdz,dlimes13,37m 11s,2231,https://www.speedrun.com/mgs1/runs/zgvnwqdz
2021-05-22,y6dngx1m,MetalGlennSolid,37m 06s,2226,https://www.speedrun.com/mgs1/runs/y6dngx1m
2021-06-07,me7lo72y,VolcanicAkuma55,36m 58s,2218,https://www.speedrun.com/mgs1/runs/me7lo72y
2021-07-01,m3r2rqqm,dlimes13,36m 56s,2216,https://www.speedrun.com/mgs1/runs/m3r2rqqm
2021-08-16,z5djw5nm,iLL_Pazzo,36m 06s,2166,https://www.speedrun.com/mgs1/runs/z5djw5nm
2021-08-17,ylrk8nxy,Hau5test,35m 50s,2150,https://www.speedrun.com/mgs1/runs/ylrk8nxy
2021-08-18,ylrvexny,Carigs,35m 42s,2142,https://www.speedrun.com/mgs1/runs/ylrvexny
2021-08-19,y27dkvjz,MetalGlennSolid,35m 20s,2120,https://www.speedrun.com/mgs1/runs/y27dkvjz
2021-08-24,m7780j4m,dlimes13,35m 13s,2113,https://www.speedrun.com/mgs1/runs/m7780j4m
2021-08-25,m37nv36z,dlimes13,34m 54s,2094,https://www.speedrun.com/mgs1/runs/m37nv36z
2022-10-14,yv0n88oz,MetalGlennSolid,34m 52s,2092,https://www.speedrun.com/mgs1/runs/yv0n88oz
2022-10-21,z1g6qx9z,Tromboncino,34m 42s,2082,https://www.speedrun.com/mgs1/runs/z1g6qx9z
2023-04-30,z5po71jm,dlimes13,34m 39s,2079,https://www.speedrun.com/mgs1/runs/z5po71jm
2023-06-02,mk073pxz,Setharooni,34m 36s,2076,https://www.speedrun.com/mgs1/runs/mk073pxz
2024-08-26,y4l8n0kz,Carigs,34m 35s,2075,https://www.speedrun.com/mgs1/runs/y4l8n0kz
2024-08-26,megjpr9y,Carigs,34m 08s,2048,https://www.speedrun.com/mgs1/runs/megjpr9y
2024-08-26,y9dv3eem,Setharooni,33m 35s,2015,https://www.speedrun.com/mgs1/runs/y9dv3eem
2024-08-30,z1npq8jy,iLL_Pazzo,33m 34s,2014,https://www.speedrun.com/mgs1/runs/z1npq8jy
