Date,Id,Players,Time,Seconds,Link
2022-02-14,y486n9qm,Valentijn07,2h 52m 40s,10360,https://www.speedrun.com/mdread/runs/y486n9qm
2022-03-04,mej25w3y,Void_Master12,1h 56m 19s,6979,https://www.speedrun.com/mdread/runs/mej25w3y
2022-03-25,z0ogppjz,Hasyako_Shinrin,1h 17m 12s,4632,https://www.speedrun.com/mdread/runs/z0ogppjz
2022-05-22,z52dq9gz,Hobbit1697,1h 16m 48s,4608,https://www.speedrun.com/mdread/runs/z52dq9gz
2022-05-29,zgppkwdz,Hasyako_Shinrin,1h 14m 31s,4471,https://www.speedrun.com/mdread/runs/zgppkwdz
2022-06-05,yjpd9koy,Satorha,1h 04m 51s,3891,https://www.speedrun.com/mdread/runs/yjpd9koy
2022-06-23,yl7dqp2m,Satorha,1h 03m 21s,3801,https://www.speedrun.com/mdread/runs/yl7dqp2m
2022-07-22,yjp01o3y,Satorha,1h 02m 54s,3774,https://www.speedrun.com/mdread/runs/yjp01o3y
2022-08-06,m7xpd19y,Satorha,1h 01m 42s,3702,https://www.speedrun.com/mdread/runs/m7xpd19y
2022-09-25,me10970y,Satorha,1h 00m 08s,3608,https://www.speedrun.com/mdread/runs/me10970y
2022-10-05,yjdonvgy,RbxQbr,59m 36s,3576,https://www.speedrun.com/mdread/runs/yjdonvgy
2022-10-05,m3xjdqqm,RbxQbr,57m 17s,3437,https://www.speedrun.com/mdread/runs/m3xjdqqm
2022-10-07,z1gnrdgz,RbxQbr,56m 18s,3378,https://www.speedrun.com/mdread/runs/z1gnrdgz
2022-10-09,mkd11gvy,RbxQbr,52m 27s,3147,https://www.speedrun.com/mdread/runs/mkd11gvy
2022-10-14,z5xlegjy,Satorha,48m 38s,2918,https://www.speedrun.com/mdread/runs/z5xlegjy
2023-01-29,yolp247y,Satorha,46m 44s,2804,https://www.speedrun.com/mdread/runs/yolp247y
2023-09-12,zxwvdqqm,Satorha,45m 37s,2737,https://www.speedrun.com/mdread/runs/zxwvdqqm
2023-10-09,y4ker6nm,noyazaki,44m 48s,2688,https://www.speedrun.com/mdread/runs/y4ker6nm
2023-10-11,zppl62vz,Arkandy,44m 13s,2653,https://www.speedrun.com/mdread/runs/zppl62vz
2024-01-13,yjwq71nm,noyazaki,44m 12s,2652,https://www.speedrun.com/mdread/runs/yjwq71nm
2024-01-31,z1ke15wy,Oopla,43m 18s,2598,https://www.speedrun.com/mdread/runs/z1ke15wy
2024-02-02,znen0r3z,noyazaki,43m 15s,2595,https://www.speedrun.com/mdread/runs/znen0r3z
2024-02-22,yjokv2gz,Satorha,42m 55s,2575,https://www.speedrun.com/mdread/runs/yjokv2gz
2024-03-02,ydn6rojm,Satorha,41m 08s,2468,https://www.speedrun.com/mdread/runs/ydn6rojm
2024-04-09,yjoxrqnz,Arkandy,39m 46s,2386,https://www.speedrun.com/mdread/runs/yjoxrqnz
