Date,Id,Players,Time,Seconds,Link
2017-02-02,7z041x9y,Magnetic,23m 25s,1405,https://www.speedrun.com/mce/runs/7z041x9y
2017-02-25,2yw9jr0m,BraveN,16m 07s,967,https://www.speedrun.com/mce/runs/2yw9jr0m
2019-03-09,z516ennm,BlackoutWolf,15m 28s,928,https://www.speedrun.com/mce/runs/z516ennm
2019-06-29,y4118pqy,Curcuit,14m 51s,891,https://www.speedrun.com/mce/runs/y4118pqy
2019-07-01,zgkkl4jy,Alexis.,14m 42s,882,https://www.speedrun.com/mce/runs/zgkkl4jy
2019-07-03,y211njwz,Curcuit,11m 18s,678,https://www.speedrun.com/mce/runs/y211njwz
2019-07-08,yd653qjz,Curcuit,09m 45s,585,https://www.speedrun.com/mce/runs/yd653qjz
2019-10-05,zxk733em,Alexis.,09m 17s,557,https://www.speedrun.com/mce/runs/zxk733em
2020-05-08,zqw4llxz,Khalooody,08m 13s,493,https://www.speedrun.com/mce/runs/zqw4llxz
2020-06-05,yd5d3pwm,Alexis.,07m 47s,467,https://www.speedrun.com/mce/runs/yd5d3pwm
2020-06-18,y65xknjz,Khalooody,06m 17s,377,https://www.speedrun.com/mce/runs/y65xknjz
2020-08-09,z05k454m,Alexis.,05m 41s,341,https://www.speedrun.com/mce/runs/z05k454m
2020-09-01,mrk3o5dy,HenryThePotato,05m 34s,334,https://www.speedrun.com/mce/runs/mrk3o5dy
2020-12-10,y4el1onm,Khalooody,05m 23s,323,https://www.speedrun.com/mce/runs/y4el1onm
2021-01-04,y8r4795m,Khalooody,05m 05s,305,https://www.speedrun.com/mce/runs/y8r4795m
2021-07-09,ydrxqwwz,UtterEvergreen1,03m 12s,192,https://www.speedrun.com/mce/runs/ydrxqwwz
2021-07-23,y6dkwwqm,Khalooody,03m 02s,182,https://www.speedrun.com/mce/runs/y6dkwwqm
2021-07-24,z07w9l4y,UtterEvergreen1,02m 19s,139,https://www.speedrun.com/mce/runs/z07w9l4y
2021-07-26,zp8ngrvy,Khalooody,02m 13s,133,https://www.speedrun.com/mce/runs/zp8ngrvy
2021-07-26,zxo9w5qz,jerrinth3glitch,02m 04s,124,https://www.speedrun.com/mce/runs/zxo9w5qz
2021-07-26,me4vwd9y,jerrinth3glitch,02m 01s,121,https://www.speedrun.com/mce/runs/me4vwd9y
2021-11-05,z07k0pey,Khalooody,01m 58s,118,https://www.speedrun.com/mce/runs/z07k0pey
2022-01-29,mr6o137m,Khalooody,01m 45s,105,https://www.speedrun.com/mce/runs/mr6o137m
2022-01-29,mr6orw8m,TrenttheN642,01m 44s,104,https://www.speedrun.com/mce/runs/mr6orw8m
2022-01-30,mr6oo87m,Khalooody,01m 42s,102,https://www.speedrun.com/mce/runs/mr6oo87m
2022-01-30,ydwggwjm,Khalooody,01m 40s,100,https://www.speedrun.com/mce/runs/ydwggwjm
2022-01-30,zp2g6d8y,Khalooody,01m 38s,98,https://www.speedrun.com/mce/runs/zp2g6d8y
