Date,Id,Players,Time,Seconds,Link
2012-03-29,yo43ln0m,Weatherproof,1h 02m 16s,3736,https://www.speedrun.com/me/runs/yo43ln0m
2013-01-05,9yok3dzx,Splitgames,51m 36s,3096,https://www.speedrun.com/me/runs/9yok3dzx
2013-01-24,zn83je7z,Ovendonkey,48m 14s,2894,https://www.speedrun.com/me/runs/zn83je7z
2013-02-08,yw1dvg3z,Floubz,43m 54s,2634,https://www.speedrun.com/me/runs/yw1dvg3z
2013-04-25,yl9vndny,Ovendonkey,43m 21s,2601,https://www.speedrun.com/me/runs/yl9vndny
2013-05-29,mek6ew0m,Zubmit,42m 54s,2574,https://www.speedrun.com/me/runs/mek6ew0m
2013-06-07,ydq0gnvm,Zubmit,42m 46s,2566,https://www.speedrun.com/me/runs/ydq0gnvm
2013-06-08,y9716jem,Zubmit,41m 59s,2519,https://www.speedrun.com/me/runs/y9716jem
2013-06-15,z13oq97m,Zubmit,40m 33s,2433,https://www.speedrun.com/me/runs/z13oq97m
2013-06-23,mk48vpxy,Zubmit,40m 08s,2408,https://www.speedrun.com/me/runs/mk48vpxy
2013-06-30,m7952n4y,Zubmit,40m 03s,2403,https://www.speedrun.com/me/runs/m7952n4y
2013-07-08,mrq9ovgy,Zubmit,40m 01s,2401,https://www.speedrun.com/me/runs/mrq9ovgy
2013-07-20,zxvdnqey,Zubmit,39m 26s,2366,https://www.speedrun.com/me/runs/zxvdnqey
2014-01-03,8y8221y1,Rigurt,37m 37s,2257,https://www.speedrun.com/me/runs/8y8221y1
2014-04-21,ydq0glxm,Floubz,36m 01s,2161,https://www.speedrun.com/me/runs/ydq0glxm
2014-05-08,7z0514m5,Chillmastor,35m 55s,2155,https://www.speedrun.com/me/runs/7z0514m5
2014-07-16,yvg98n8y,Req,35m 49s,2149,https://www.speedrun.com/me/runs/yvg98n8y
2014-08-09,zn83j9vz,Floubz,35m 12s,2112,https://www.speedrun.com/me/runs/zn83j9vz
2014-09-18,yw1dvwnz,Floubz,35m 02s,2102,https://www.speedrun.com/me/runs/yw1dvwnz
2014-11-01,yl9vnpxy,Req,34m 29s,2069,https://www.speedrun.com/me/runs/yl9vnpxy
2014-11-03,zgnv2jjy,Req,34m 11s,2051,https://www.speedrun.com/me/runs/zgnv2jjy
2014-11-19,mek6en2m,Req,34m 04s,2044,https://www.speedrun.com/me/runs/mek6en2m
2014-12-06,zpqlgkvy,Floubz,33m 54s,2034,https://www.speedrun.com/me/runs/zpqlgkvy
