Date,Id,Players,Time,Seconds,Link
2018-02-07,zxvjv9gy,P4ntz,16h 48m 16s 630ms,60496.63,https://www.speedrun.com/mhw/runs/zxvjv9gy
2018-02-19,mk4w31xy,Shepard,10h 22m 10s 533ms,37330.533,https://www.speedrun.com/mhw/runs/mk4w31xy
2018-03-04,mekp639m,Shepard,8h 48m 08s 700ms,31688.7,https://www.speedrun.com/mhw/runs/mekp639m
2018-03-25,ydqp4exm,Shepard,7h 51m 58s 600ms,28318.6,https://www.speedrun.com/mhw/runs/ydqp4exm
2018-05-18,zxver8ky,QuA,7h 04m 43s 910ms,25483.91,https://www.speedrun.com/mhw/runs/zxver8ky
2018-05-21,z515r0gm,QuA,6h 42m 48s 550ms,24168.55,https://www.speedrun.com/mhw/runs/z515r0gm
2018-06-09,z113rdrz,QuA,6h 18m 16s 100ms,22696.1,https://www.speedrun.com/mhw/runs/z113rdrz
2018-08-28,mk97q7vz,mosstkm,5h 54m 23s 387ms,21263.387,https://www.speedrun.com/mhw/runs/mk97q7vz
2018-10-28,yo2pq97z,mosstkm,5h 46m 08s 140ms,20768.14,https://www.speedrun.com/mhw/runs/yo2pq97z
2019-01-19,z1165l9z,ていにあく,5h 31m 45s 120ms,19905.12,https://www.speedrun.com/mhw/runs/z1165l9z
2019-02-10,y2q85w9y,mosstkm,5h 18m 28s,19108,https://www.speedrun.com/mhw/runs/y2q85w9y
2019-05-04,yl4g60xm,mosstkm,5h 08m 46s 580ms,18526.58,https://www.speedrun.com/mhw/runs/yl4g60xm
