Date,Id,Players,Time,Seconds,Link
2022-06-19,y4qkn1qm,idyll,47m 22s 828ms,2842.828,https://www.speedrun.com/neon_white/runs/y4qkn1qm
2022-06-20,y88kl9xy,crashb,45m 43s 760ms,2743.76,https://www.speedrun.com/neon_white/runs/y88kl9xy
2022-06-21,y4qkdrqm,TackyTactics_,42m 13s 348ms,2533.348,https://www.speedrun.com/neon_white/runs/y4qkdrqm
2022-06-23,m3303eqm,TackyTactics_,39m 31s 746ms,2371.746,https://www.speedrun.com/neon_white/runs/m3303eqm
2022-06-26,m33jg8wm,TackyTactics_,37m 23s 222ms,2243.222,https://www.speedrun.com/neon_white/runs/m33jg8wm
2022-06-27,zgpoge0z,Azorae,36m 20s 891ms,2180.891,https://www.speedrun.com/neon_white/runs/zgpoge0z
2022-06-30,y88oq41y,TackyTactics_,35m 58s 142ms,2158.142,https://www.speedrun.com/neon_white/runs/y88oq41y
2022-07-01,mkko2d3m,Azorae,35m 36s 323ms,2136.323,https://www.speedrun.com/neon_white/runs/mkko2d3m
2022-07-07,yjpq80ny,Azorae,35m 10s 448ms,2110.448,https://www.speedrun.com/neon_white/runs/yjpq80ny
2022-07-11,mr75v1dz,Azorae,34m 44s 772ms,2084.772,https://www.speedrun.com/neon_white/runs/mr75v1dz
2022-07-13,yop51l7m,Azorae,34m 09s 205ms,2049.205,https://www.speedrun.com/neon_white/runs/yop51l7m
2022-07-23,zq7l93xm,Huhmps,33m 21s 243ms,2001.243,https://www.speedrun.com/neon_white/runs/zq7l93xm
2022-07-24,y887l01y,Azorae,33m 12s 667ms,1992.667,https://www.speedrun.com/neon_white/runs/y887l01y
2022-07-29,y4x95v3z,Huhmps,32m 47s 697ms,1967.697,https://www.speedrun.com/neon_white/runs/y4x95v3z
2022-08-09,yv031jxz,Huhmps,32m 23s 686ms,1943.686,https://www.speedrun.com/neon_white/runs/yv031jxz
2022-08-17,y4xeoe2z,Blaidan,31m 59s 464ms,1919.464,https://www.speedrun.com/neon_white/runs/y4xeoe2z
2022-09-04,y9xvnpry,Huhmps,31m 49s 356ms,1909.356,https://www.speedrun.com/neon_white/runs/y9xvnpry
2022-09-12,y4xxl32z,Blaidan,31m 41s 711ms,1901.711,https://www.speedrun.com/neon_white/runs/y4xxl32z
2022-09-12,m7xxlley,Huhmps,31m 34s 111ms,1894.111,https://www.speedrun.com/neon_white/runs/m7xxlley
2022-09-16,z0lnp74z,Blaidan,31m 24s 928ms,1884.928,https://www.speedrun.com/neon_white/runs/z0lnp74z
2022-10-28,me1p0x9y,Blaidan,30m 52s 392ms,1852.392,https://www.speedrun.com/neon_white/runs/me1p0x9y
2022-12-05,znj8p2lm,Huhmps,30m 32s 345ms,1832.345,https://www.speedrun.com/neon_white/runs/znj8p2lm
2023-07-17,yl6l1k3y,Huhmps,30m 17s 753ms,1817.753,https://www.speedrun.com/neon_white/runs/yl6l1k3y
2023-08-16,meld3q8z,JustAjz,29m 57s 304ms,1797.304,https://www.speedrun.com/neon_white/runs/meld3q8z
