Date,Id,Players,Time,Seconds,Link
2006-08-16,8y8d6kdz,chronorox,24m 31s,1471,https://www.speedrun.com/nsmbds/runs/8y8d6kdz
2015-08-22,6yj1x3gy,ewaller,24m 28s,1468,https://www.speedrun.com/nsmbds/runs/6yj1x3gy
2015-11-27,1zxo6kez,koffingrockz,24m 24s,1464,https://www.speedrun.com/nsmbds/runs/1zxo6kez
2016-01-20,7z0pjr9y,MyLittleWalrus,23m 52s,1432,https://www.speedrun.com/nsmbds/runs/7z0pjr9y
2016-10-27,dy4jk4ny,MyLittleWalrus,23m 32s,1412,https://www.speedrun.com/nsmbds/runs/dy4jk4ny
2018-02-09,zxvjg4ky,MyLittleWalrus,23m 30s,1410,https://www.speedrun.com/nsmbds/runs/zxvjg4ky
2018-03-14,yo45qw7m,MyLittleWalrus,23m 28s,1408,https://www.speedrun.com/nsmbds/runs/yo45qw7m
2018-05-17,mk4joj1y,MyLittleWalrus,23m 16s,1396,https://www.speedrun.com/nsmbds/runs/mk4joj1y
2018-07-19,zx4k0j5y,SandwichTiming,23m 15s,1395,https://www.speedrun.com/nsmbds/runs/zx4k0j5y
2018-07-25,zn4kovvm,SandwichTiming,23m 14s,1394,https://www.speedrun.com/nsmbds/runs/zn4kovvm
2018-07-31,zp0rx1rm,SandwichTiming,23m 05s,1385,https://www.speedrun.com/nsmbds/runs/zp0rx1rm
2018-11-28,mr8olw7y,SandwichTiming,23m 03s 130ms,1383.13,https://www.speedrun.com/nsmbds/runs/mr8olw7y
2019-01-19,y43641kz,Yiply,23m 01s 930ms,1381.93,https://www.speedrun.com/nsmbds/runs/y43641kz
2019-01-31,z11n7q7z,Yiply,23m 01s,1381,https://www.speedrun.com/nsmbds/runs/z11n7q7z
2019-02-23,ywp2690z,Yiply,23m 00s 800ms,1380.8,https://www.speedrun.com/nsmbds/runs/ywp2690z
2019-03-05,zp053jvm,AndreMH,22m 58s 467ms,1378.467,https://www.speedrun.com/nsmbds/runs/zp053jvm
2019-03-12,yvj5nlxy,SandwichTiming,22m 58s 300ms,1378.3,https://www.speedrun.com/nsmbds/runs/yvj5nlxy
2019-04-27,m7pklx5m,Yiply,22m 57s 400ms,1377.4,https://www.speedrun.com/nsmbds/runs/m7pklx5m
2019-07-06,y812qvdz,Pidgey,22m 57s 367ms,1377.367,https://www.speedrun.com/nsmbds/runs/y812qvdz
2019-07-07,yojk4l1m,Glitchman24,22m 56s 033ms,1376.033,https://www.speedrun.com/nsmbds/runs/yojk4l1m
2019-07-10,m7qg8j5z,Yiply,22m 54s 833ms,1374.833,https://www.speedrun.com/nsmbds/runs/m7qg8j5z
2019-07-10,z015r7ey,Glitchman24,22m 54s 800ms,1374.8,https://www.speedrun.com/nsmbds/runs/z015r7ey
2019-07-11,mrek612y,Glitchman24,22m 52s 133ms,1372.133,https://www.speedrun.com/nsmbds/runs/mrek612y
2019-08-12,zp43jwrz,Pidgey,22m 50s 467ms,1370.467,https://www.speedrun.com/nsmbds/runs/zp43jwrz
2019-08-16,z01r988y,Glitchman24,22m 49s 383ms,1369.383,https://www.speedrun.com/nsmbds/runs/z01r988y
2019-09-06,y81egp1z,Glitchman24,22m 44s 533ms,1364.533,https://www.speedrun.com/nsmbds/runs/y81egp1z
2020-04-28,m355w5gy,SpicyNoodles,22m 40s 667ms,1360.667,https://www.speedrun.com/nsmbds/runs/m355w5gy
2020-07-18,zx2x8ngm,SpicyNoodles,22m 39s 850ms,1359.85,https://www.speedrun.com/nsmbds/runs/zx2x8ngm
2020-08-02,y82g4x1y,Glitchman24,22m 37s 033ms,1357.033,https://www.speedrun.com/nsmbds/runs/y82g4x1y
2021-01-21,z063x4ez,SpicyNoodles,22m 35s 833ms,1355.833,https://www.speedrun.com/nsmbds/runs/z063x4ez
2021-05-19,zxgl4xgy,J_duude,22m 33s 700ms,1353.7,https://www.speedrun.com/nsmbds/runs/zxgl4xgy
2022-01-31,ydwgk6xm,Glitchman24,22m 29s 667ms,1349.667,https://www.speedrun.com/nsmbds/runs/ydwgk6xm
2022-04-04,z1pd237z,Glitchman24,22m 26s 050ms,1346.05,https://www.speedrun.com/nsmbds/runs/z1pd237z
2022-04-22,yl70rgxm,SpicyNoodles,22m 23s 817ms,1343.817,https://www.speedrun.com/nsmbds/runs/yl70rgxm
2022-05-08,zq7g4drm,SpicyNoodles,22m 22s 267ms,1342.267,https://www.speedrun.com/nsmbds/runs/zq7g4drm
2022-05-22,zp92nlxm,Glitchman24,22m 20s 717ms,1340.717,https://www.speedrun.com/nsmbds/runs/zp92nlxm
2022-07-10,zgp9pxez,Glitchman24,22m 18s 250ms,1338.25,https://www.speedrun.com/nsmbds/runs/zgp9pxez
2022-11-19,zq9lnx9y,SpicyNoodles,22m 15s 867ms,1335.867,https://www.speedrun.com/nsmbds/runs/zq9lnx9y
2022-12-01,yj8jn3nm,Glitchman24,22m 14s 233ms,1334.233,https://www.speedrun.com/nsmbds/runs/yj8jn3nm
2023-04-23,m3q9olwy,JoshTGR,22m 14s 133ms,1334.133,https://www.speedrun.com/nsmbds/runs/m3q9olwy
2023-06-13,zqjv6r5m,JoshTGR,22m 12s 750ms,1332.75,https://www.speedrun.com/nsmbds/runs/zqjv6r5m
2023-06-15,mrlnne4m,JoshTGR,22m 11s 517ms,1331.517,https://www.speedrun.com/nsmbds/runs/mrlnne4m
