Date,Id,Players,Time,Seconds,Link
2019-01-11,yvjl2j8y,Lachurs,48m 05s,2885,https://www.speedrun.com/nsmbudx/runs/yvjl2j8y
2019-01-11,y92jnxnz,Nickunderscore,46m 39s,2799,https://www.speedrun.com/nsmbudx/runs/y92jnxnz
2019-01-11,mr8v4l7y,Nickunderscore,44m 09s,2649,https://www.speedrun.com/nsmbudx/runs/mr8v4l7y
2019-01-13,yl4d7grm,Nickunderscore,41m 35s,2495,https://www.speedrun.com/nsmbudx/runs/yl4d7grm
2019-01-16,yj4ook3y,Lachurs,41m 25s,2485,https://www.speedrun.com/nsmbudx/runs/yj4ook3y
2019-01-18,zx4q598y,Nickunderscore,41m 16s,2476,https://www.speedrun.com/nsmbudx/runs/zx4q598y
2019-01-22,zn4x489m,Lachurs,40m 19s,2419,https://www.speedrun.com/nsmbudx/runs/zn4x489m
2019-01-24,y2qwv37y,Lachurs,39m 20s,2360,https://www.speedrun.com/nsmbudx/runs/y2qwv37y
2019-02-21,zg76g0ez,BlueX2,39m 12s,2352,https://www.speedrun.com/nsmbudx/runs/zg76g0ez
2019-08-14,y6e5616z,hendrixx,38m 51s,2331,https://www.speedrun.com/nsmbudx/runs/y6e5616z
2019-09-15,znr70x9y,Astix,38m 43s,2323,https://www.speedrun.com/nsmbudx/runs/znr70x9y
2019-10-16,yl01on2y,lomlom,38m 33s,2313,https://www.speedrun.com/nsmbudx/runs/yl01on2y
2019-10-28,z57eownm,Astix,37m 54s,2274,https://www.speedrun.com/nsmbudx/runs/z57eownm
2020-02-25,m7q42g9z,Astix,37m 42s,2262,https://www.speedrun.com/nsmbudx/runs/m7q42g9z
2020-07-12,y65vve0z,lomlom,34m 19s 267ms,2059.267,https://www.speedrun.com/nsmbudx/runs/y65vve0z
2021-01-09,zn3d7wvy,Nivadra,34m 03s 634ms,2043.634,https://www.speedrun.com/nsmbudx/runs/zn3d7wvy
2021-02-17,zgxpv0nm,Astix,34m 02s 174ms,2042.174,https://www.speedrun.com/nsmbudx/runs/zgxpv0nm
2024-01-01,m3kw1pwy,Inforcer,34m 01s 733ms,2041.733,https://www.speedrun.com/nsmbudx/runs/m3kw1pwy
