Date,Id,Players,Time,Seconds,Link
2016-03-11,dy4x5knz,Vulajin,1h 08m 31s,4111,https://www.speedrun.com/ori_de/runs/dy4x5knz
2016-03-12,jy9x7pky,Vulajin,48m 05s,2885,https://www.speedrun.com/ori_de/runs/jy9x7pky
2016-03-14,9me18j8y,Evooki,45m 26s,2726,https://www.speedrun.com/ori_de/runs/9me18j8y
2016-03-16,1zx8k55m,Evooki,44m 45s,2685,https://www.speedrun.com/ori_de/runs/1zx8k55m
2016-03-21,wzpd3prz,Evooki,43m 15s,2595,https://www.speedrun.com/ori_de/runs/wzpd3prz
2016-04-30,pzg2gney,Ikewolf,38m 34s,2314,https://www.speedrun.com/ori_de/runs/pzg2gney
2016-05-05,dy4gqr2y,Ikewolf,35m 53s,2153,https://www.speedrun.com/ori_de/runs/dy4gqr2y
2016-07-20,9mr27o4y,Joka,35m 40s,2140,https://www.speedrun.com/ori_de/runs/9mr27o4y
2016-11-16,pzg6xgnm,sigma,35m 00s,2100,https://www.speedrun.com/ori_de/runs/pzg6xgnm
2016-12-02,7z00q44z,Hetfield90,33m 23s,2003,https://www.speedrun.com/ori_de/runs/7z00q44z
2016-12-06,oy28owjy,Hetfield90,32m 46s,1966,https://www.speedrun.com/ori_de/runs/oy28owjy
2016-12-08,oy28l4wy,Hetfield90,32m 14s,1934,https://www.speedrun.com/ori_de/runs/oy28l4wy
2016-12-10,0y6831qz,Hetfield90,32m 02s,1922,https://www.speedrun.com/ori_de/runs/0y6831qz
2016-12-12,wzp54ggy,Hetfield90,31m 57s,1917,https://www.speedrun.com/ori_de/runs/wzp54ggy
2016-12-17,8yv52v6m,Hetfield90,31m 49s,1909,https://www.speedrun.com/ori_de/runs/8yv52v6m
2017-02-01,wzpe4l8y,Hetfield90,31m 46s,1906,https://www.speedrun.com/ori_de/runs/wzpe4l8y
2017-02-04,9yog9ddm,Hetfield90,31m 09s,1869,https://www.speedrun.com/ori_de/runs/9yog9ddm
2017-04-15,yo44kv7m,Hetfield90,30m 59s 999ms,1859.999,https://www.speedrun.com/ori_de/runs/yo44kv7m
2017-05-10,mek8k90m,Hetfield90,29m 59s,1799,https://www.speedrun.com/ori_de/runs/mek8k90m
2017-09-25,mrq68gdy,Elojimmini,29m 57s,1797,https://www.speedrun.com/ori_de/runs/mrq68gdy
2017-09-27,y97l1jnm,Willson,29m 54s,1794,https://www.speedrun.com/ori_de/runs/y97l1jnm
2017-10-03,zxvl8qky,Elojimmini,29m 38s,1778,https://www.speedrun.com/ori_de/runs/zxvl8qky
2017-10-11,mk4e675y,Willson,29m 36s,1776,https://www.speedrun.com/ori_de/runs/mk4e675y
2017-10-15,yjkp4e3m,Elojimmini,29m 34s,1774,https://www.speedrun.com/ori_de/runs/yjkp4e3m
2017-10-18,zn8p3jlz,Willson,29m 28s,1768,https://www.speedrun.com/ori_de/runs/zn8p3jlz
2017-10-18,zgnpx3dy,Elojimmini,29m 18s,1758,https://www.speedrun.com/ori_de/runs/zgnpx3dy
2017-10-19,ydqd97jm,Willson,29m 11s,1751,https://www.speedrun.com/ori_de/runs/ydqd97jm
2017-10-22,zq677o8y,Willson,28m 59s,1739,https://www.speedrun.com/ori_de/runs/zq677o8y
2017-10-31,ydq11gxm,Willson,28m 49s,1729,https://www.speedrun.com/ori_de/runs/ydq11gxm
2018-02-28,z5owl35y,SpeedRon,28m 43s,1723,https://www.speedrun.com/ori_de/runs/z5owl35y
2018-04-17,zpqe74gy,Elojimmini,28m 41s,1721,https://www.speedrun.com/ori_de/runs/zpqe74gy
2018-04-18,mrqp3d4y,Willson,28m 38s,1718,https://www.speedrun.com/ori_de/runs/mrqp3d4y
2018-04-18,yo4g11jm,SpeedRon,28m 37s,1717,https://www.speedrun.com/ori_de/runs/yo4g11jm
2018-04-24,y23o767m,Elojimmini,28m 28s,1708,https://www.speedrun.com/ori_de/runs/y23o767m
2018-04-30,y8q7orxy,Willson,28m 26s,1706,https://www.speedrun.com/ori_de/runs/y8q7orxy
2018-08-16,mr89577y,SpeedRon,28m 25s,1705,https://www.speedrun.com/ori_de/runs/mr89577y
2018-08-20,z5105qnm,SpeedRon,28m 10s,1690,https://www.speedrun.com/ori_de/runs/z5105qnm
2019-01-18,yl4d5erm,Elojimmini,28m 04s,1684,https://www.speedrun.com/ori_de/runs/yl4d5erm
2019-01-29,zx4xqeqy,SpeedRon,27m 53s,1673,https://www.speedrun.com/ori_de/runs/zx4xqeqy
2021-04-30,y4rerv2z,SpeedRon,27m 51s 990ms,1671.99,https://www.speedrun.com/ori_de/runs/y4rerv2z
2021-05-10,mkgg2x5y,SpeedRon,27m 26s,1646,https://www.speedrun.com/ori_de/runs/mkgg2x5y
2022-03-21,z0o42nez,SpeedRon,27m 22s,1642,https://www.speedrun.com/ori_de/runs/z0o42nez
2022-05-12,me39542z,JEANBERNARDGAMING,27m 04s,1624,https://www.speedrun.com/ori_de/runs/me39542z
2022-07-29,zq9k93ry,JEANBERNARDGAMING,26m 59s,1619,https://www.speedrun.com/ori_de/runs/zq9k93ry
2023-01-26,ylx9el2y,graveyarddolphin,26m 44s,1604,https://www.speedrun.com/ori_de/runs/ylx9el2y
