Date,Id,Players,Time,Seconds,Link
2020-10-13,zq44germ,HugeZFin,04m 09s 233ms,249.233,https://www.speedrun.com/overwatch/runs/zq44germ
2020-10-13,yd00rdjz,Turtle9922,04m 06s 433ms,246.433,https://www.speedrun.com/overwatch/runs/yd00rdjz
2020-10-13,zn331l9y,daddydakk,03m 58s 683ms,238.683,https://www.speedrun.com/overwatch/runs/zn331l9y
2020-10-13,me66488z,daddydakk,03m 56s 067ms,236.067,https://www.speedrun.com/overwatch/runs/me66488z
2020-10-15,m755n19z,daddydakk,03m 55s 750ms,235.75,https://www.speedrun.com/overwatch/runs/m755n19z
2020-11-11,zgvpxqjz,Haztol,03m 55s 167ms,235.167,https://www.speedrun.com/overwatch/runs/zgvpxqjz
2020-12-25,zq45g31m,nologiq,03m 55s 117ms,235.117,https://www.speedrun.com/overwatch/runs/zq45g31m
2021-01-01,ywd78r0z,daddydakk,03m 54s 833ms,234.833,https://www.speedrun.com/overwatch/runs/ywd78r0z
2021-01-01,y91q18vm,nologiq,03m 54s 783ms,234.783,https://www.speedrun.com/overwatch/runs/y91q18vm
2021-01-05,zn3n0e8y,dripping,03m 54s 583ms,234.583,https://www.speedrun.com/overwatch/runs/zn3n0e8y
2022-04-07,m33989qm,Tetch,03m 54s 333ms,234.333,https://www.speedrun.com/overwatch/runs/m33989qm
2022-04-29,yw38gn9m,dripping,03m 54s 217ms,234.217,https://www.speedrun.com/overwatch/runs/yw38gn9m
2022-04-30,z0p54e4y,dripping,03m 54s 100ms,234.1,https://www.speedrun.com/overwatch/runs/z0p54e4y
2022-06-20,y9vkgn2m,dripping,03m 54s 017ms,234.017,https://www.speedrun.com/overwatch/runs/y9vkgn2m
