Date,Id,Players,Time,Seconds,Link
2023-01-28,yoo07j7y,UncleJeol,1h 33m 10s 700ms,5590.7,https://www.speedrun.com/pizza_tower/runs/yoo07j7y
2023-02-04,yd2nr6wm,Trodgy,1h 30m 58s 280ms,5458.28,https://www.speedrun.com/pizza_tower/runs/yd2nr6wm
2023-02-05,z1k9rjgy,UncleJeol,1h 28m 40s 890ms,5320.89,https://www.speedrun.com/pizza_tower/runs/z1k9rjgy
2023-02-07,mr2v1e2y,Capndrake,1h 23m 58s 650ms,5038.65,https://www.speedrun.com/pizza_tower/runs/mr2v1e2y
2023-02-13,m3k0r1wy,UncleJeol,1h 16m 27s 195ms,4587.195,https://www.speedrun.com/pizza_tower/runs/m3k0r1wy
2023-02-18,y6qvdl1z,Capndrake,1h 14m 35s 283ms,4475.283,https://www.speedrun.com/pizza_tower/runs/y6qvdl1z
2023-03-02,zne21k8z,CosmicSense,1h 14m 32s 517ms,4472.517,https://www.speedrun.com/pizza_tower/runs/zne21k8z
2023-03-03,yjwogl3m,vlackSR,1h 13m 00s 083ms,4380.083,https://www.speedrun.com/pizza_tower/runs/yjwogl3m
2023-03-05,yoo07k7y,vlackSR,1h 12m 20s 040ms,4340.04,https://www.speedrun.com/pizza_tower/runs/yoo07k7y
2023-03-06,yd2nr5wm,vlackSR,1h 11m 46s 070ms,4306.07,https://www.speedrun.com/pizza_tower/runs/yd2nr5wm
2023-03-10,z1k9r5gy,vlackSR,1h 11m 08s 583ms,4268.583,https://www.speedrun.com/pizza_tower/runs/z1k9r5gy
2023-03-12,mr2v1k2y,vlackSR,1h 10m 42s 417ms,4242.417,https://www.speedrun.com/pizza_tower/runs/mr2v1k2y
2023-03-13,zqd81w5m,vlackSR,1h 10m 14s 850ms,4214.85,https://www.speedrun.com/pizza_tower/runs/zqd81w5m
2023-03-16,y8kwd25y,vlackSR,1h 09m 58s,4198,https://www.speedrun.com/pizza_tower/runs/y8kwd25y
2023-03-27,yjwog63m,vlackSR,1h 09m 03s 533ms,4143.533,https://www.speedrun.com/pizza_tower/runs/yjwog63m
2023-04-05,z1k9rogy,vlackSR,1h 08m 58s 933ms,4138.933,https://www.speedrun.com/pizza_tower/runs/z1k9rogy
2023-04-09,z5k8r3gz,vlackSR,1h 08m 33s 767ms,4113.767,https://www.speedrun.com/pizza_tower/runs/z5k8r3gz
2023-04-12,y8kwdr5y,vlackSR,1h 08m 22s 340ms,4102.34,https://www.speedrun.com/pizza_tower/runs/y8kwdr5y
2023-04-14,z0xdr6ez,vlackSR,1h 07m 57s 500ms,4077.5,https://www.speedrun.com/pizza_tower/runs/z0xdr6ez
2023-05-14,zne21o3z,vlackSR,1h 07m 44s 300ms,4064.3,https://www.speedrun.com/pizza_tower/runs/zne21o3z
2023-05-22,z1k9r89y,vlackSR,1h 07m 23s 617ms,4043.617,https://www.speedrun.com/pizza_tower/runs/z1k9r89y
2023-06-18,zne2113z,vlackSR,1h 07m 13s 070ms,4033.07,https://www.speedrun.com/pizza_tower/runs/zne2113z
2023-06-27,me0w773z,vlackSR,1h 06m 53s 667ms,4013.667,https://www.speedrun.com/pizza_tower/runs/me0w773z
2023-07-03,yd2nrrjm,vlackSR,1h 06m 31s 167ms,3991.167,https://www.speedrun.com/pizza_tower/runs/yd2nrrjm
2023-07-11,mr2v11dy,TheRealYoshi,1h 06m 28s 500ms,3988.5,https://www.speedrun.com/pizza_tower/runs/mr2v11dy
2023-07-25,z0xdr7ez,vlackSR,1h 06m 06s 800ms,3966.8,https://www.speedrun.com/pizza_tower/runs/z0xdr7ez
2023-07-28,zg8lgrdy,TheRealYoshi,1h 06m 06s 433ms,3966.433,https://www.speedrun.com/pizza_tower/runs/zg8lgrdy
2023-07-31,zxwqgo5m,vlackSR,1h 05m 56s 930ms,3956.93,https://www.speedrun.com/pizza_tower/runs/zxwqgo5m
2023-08-01,z0xdroez,TheRealYoshi,1h 05m 35s 830ms,3935.83,https://www.speedrun.com/pizza_tower/runs/z0xdroez
2023-08-12,zne2173z,TheRealYoshi,1h 05m 10s 960ms,3910.96,https://www.speedrun.com/pizza_tower/runs/zne2173z
2023-10-24,zpp612gz,TheRealYoshi,1h 04m 20s 550ms,3860.55,https://www.speedrun.com/pizza_tower/runs/zpp612gz
