Date,Id,Players,Time,Seconds,Link
2013-05-28,jy9895rz,yp,5h 10m 47s,18647,https://www.speedrun.com/pvz/runs/jy9895rz
2015-06-11,pyd005vz,Walrus,5h 02m 00s,18120,https://www.speedrun.com/pvz/runs/pyd005vz
2015-07-04,8yv96w4z,SmilingSatyr,4h 46m 53s,17213,https://www.speedrun.com/pvz/runs/8yv96w4z
2016-02-13,oy2pvwwz,Beld_X,4h 42m 04s,16924,https://www.speedrun.com/pvz/runs/oy2pvwwz
2016-11-01,8y8oo55m,MrKvikur,4h 36m 28s,16588,https://www.speedrun.com/pvz/runs/8y8oo55m
2017-01-21,nz10qe7m,superlinkgod,4h 23m 36s,15816,https://www.speedrun.com/pvz/runs/nz10qe7m
2017-05-18,y9729q2m,Chakes,4h 12m 24s,15144,https://www.speedrun.com/pvz/runs/y9729q2m
2017-07-13,y8qrv8xy,A1Major,3h 56m 45s,14205,https://www.speedrun.com/pvz/runs/y8qrv8xy
2017-11-22,yjk8k83m,A1Major,3h 53m 52s,14032,https://www.speedrun.com/pvz/runs/yjk8k83m
2018-02-04,z0eq2e4m,WarMech,3h 53m 12s,13992,https://www.speedrun.com/pvz/runs/z0eq2e4m
2018-02-19,ydq43rwm,WarMech,3h 51m 42s,13902,https://www.speedrun.com/pvz/runs/ydq43rwm
2018-03-11,yvg50e6y,WarMech,3h 49m 02s,13742,https://www.speedrun.com/pvz/runs/yvg50e6y
2018-03-27,mrqwor7y,A1Major,3h 48m 19s,13699,https://www.speedrun.com/pvz/runs/mrqwor7y
2018-04-01,y45v4x2m,WarMech,3h 48m 17s,13697,https://www.speedrun.com/pvz/runs/y45v4x2m
2018-04-02,zxvpevqy,A1Major,3h 47m 33s,13653,https://www.speedrun.com/pvz/runs/zxvpevqy
2018-04-05,y8q42e5y,A1Major,3h 46m 43s,13603,https://www.speedrun.com/pvz/runs/y8q42e5y
2018-04-08,yl9wee3y,WarMech,3h 45m 58s,13558,https://www.speedrun.com/pvz/runs/yl9wee3y
2018-04-11,yl9wd8ry,WarMech,3h 44m 02s,13442,https://www.speedrun.com/pvz/runs/yl9wd8ry
2018-05-13,zpq7d98y,A1Major,3h 43m 45s,13425,https://www.speedrun.com/pvz/runs/zpq7d98y
2018-06-10,zn48k69m,WarMech,3h 43m 37s,13417,https://www.speedrun.com/pvz/runs/zn48k69m
2018-06-18,zx4vqj5y,WarMech,3h 42m 45s,13365,https://www.speedrun.com/pvz/runs/zx4vqj5y
2018-07-09,y6pll20m,WarMech,3h 40m 14s,13214,https://www.speedrun.com/pvz/runs/y6pll20m
2018-08-07,y2qdpe5y,WarMech,3h 39m 34s,13174,https://www.speedrun.com/pvz/runs/y2qdpe5y
2018-09-02,yj41n3oy,A1Major,3h 39m 09s,13149,https://www.speedrun.com/pvz/runs/yj41n3oy
2018-09-03,y43r5xqz,WarMech,3h 37m 51s,13071,https://www.speedrun.com/pvz/runs/y43r5xqz
2018-09-12,yj4gqlny,WarMech,3h 36m 42s,13002,https://www.speedrun.com/pvz/runs/yj4gqlny
2018-10-12,y89jpodm,WarMech,3h 36m 16s,12976,https://www.speedrun.com/pvz/runs/y89jpodm
2018-10-29,m7p6v2em,WarMech,3h 35m 37s,12937,https://www.speedrun.com/pvz/runs/m7p6v2em
2018-11-20,z03n5d4z,WarMech,3h 34m 38s,12878,https://www.speedrun.com/pvz/runs/z03n5d4z
2018-12-08,ywk99g3y,ymblcza,3h 34m 07s,12847,https://www.speedrun.com/pvz/runs/ywk99g3y
2018-12-12,y896j51m,WarMech,3h 33m 47s,12827,https://www.speedrun.com/pvz/runs/y896j51m
2018-12-14,zgr55lem,ymblcza,3h 31m 17s,12677,https://www.speedrun.com/pvz/runs/zgr55lem
2018-12-18,zxo11qez,ymblcza,3h 29m 59s,12599,https://www.speedrun.com/pvz/runs/zxo11qez
2018-12-25,y8e77pxy,ymblcza,3h 28m 51s,12531,https://www.speedrun.com/pvz/runs/y8e77pxy
2018-12-29,ylr88xxy,ymblcza,3h 28m 15s,12495,https://www.speedrun.com/pvz/runs/ylr88xxy
2019-01-10,zp8jjxvy,ymblcza,3h 26m 26s,12386,https://www.speedrun.com/pvz/runs/zp8jjxvy
2019-01-15,y47ddj2y,ymblcza,3h 25m 36s,12336,https://www.speedrun.com/pvz/runs/y47ddj2y
2019-01-20,z07gg8oy,ymblcza,3h 25m 08s,12308,https://www.speedrun.com/pvz/runs/z07gg8oy
2020-02-04,mk2rq3xm,ymblcza,3h 23m 57s,12237,https://www.speedrun.com/pvz/runs/mk2rq3xm
