Date,Id,Players,Time,Seconds,Link
2012-06-25,m3j0o26z,Znernicus,1h 21m 15s,4875,https://www.speedrun.com/portal_2/runs/m3j0o26z
2012-06-26,y2w2qrwy,Znernicus,1h 18m 04s,4684,https://www.speedrun.com/portal_2/runs/y2w2qrwy
2012-06-28,z0qd3k8m,Znernicus,1h 17m 52s,4672,https://www.speedrun.com/portal_2/runs/z0qd3k8m
2012-07-09,ylxd423y,Znernicus,1h 15m 32s,4532,https://www.speedrun.com/portal_2/runs/ylxd423y
2012-07-22,y9dj2gnm,Znernicus,1h 14m 59s,4499,https://www.speedrun.com/portal_2/runs/y9dj2gnm
2012-08-03,y2w2q6wy,Znernicus,1h 13m 49s 420ms,4429.42,https://www.speedrun.com/portal_2/runs/y2w2q6wy
2012-10-26,zgol70nm,Znernicus,1h 12m 42s,4362,https://www.speedrun.com/portal_2/runs/zgol70nm
2012-11-15,m7onp4wy,Znernicus,1h 11m 31s,4291,https://www.speedrun.com/portal_2/runs/m7onp4wy
2013-01-13,y2w2q4wy,Znernicus,1h 10m 45s,4245,https://www.speedrun.com/portal_2/runs/y2w2q4wy
2013-02-14,y6evp4jz,Spyrunite,1h 10m 34s,4234,https://www.speedrun.com/portal_2/runs/y6evp4jz
2013-02-23,znx24lly,Znernicus,1h 09m 42s,4182,https://www.speedrun.com/portal_2/runs/znx24lly
2013-04-22,y9dj2rnm,Znernicus,1h 08m 17s,4097,https://www.speedrun.com/portal_2/runs/y9dj2rnm
2013-08-01,m7onpkwy,Znernicus,1h 07m 54s,4074,https://www.speedrun.com/portal_2/runs/m7onpkwy
2013-09-23,z5g81qem,Znernicus,1h 07m 33s,4053,https://www.speedrun.com/portal_2/runs/z5g81qem
2014-01-13,m3j0opqz,Znernicus,1h 07m 28s,4048,https://www.speedrun.com/portal_2/runs/m3j0opqz
2014-05-13,y2w2qowy,Znernicus,1h 07m 20s,4040,https://www.speedrun.com/portal_2/runs/y2w2qowy
2014-06-08,8y816xz1,Znernicus,1h 06m 23s,3983,https://www.speedrun.com/portal_2/runs/8y816xz1
2014-09-08,pzggeez2,Znernicus,1h 06m 21s,3981,https://www.speedrun.com/portal_2/runs/pzggeez2
2014-10-18,0znpv3mn,Znernicus,1h 06m 00s,3960,https://www.speedrun.com/portal_2/runs/0znpv3mn
2014-11-19,0y6v8pm7,Znernicus,1h 05m 22s,3922,https://www.speedrun.com/portal_2/runs/0y6v8pm7
2015-02-13,oy2q58wy,Znernicus,1h 04m 01s 183ms,3841.183,https://www.speedrun.com/portal_2/runs/oy2q58wy
2017-01-16,7z027p4m,PerOculos,1h 03m 58s 450ms,3838.45,https://www.speedrun.com/portal_2/runs/7z027p4m
2017-05-24,m79p3v4y,PerOculos,1h 03m 53s,3833,https://www.speedrun.com/portal_2/runs/m79p3v4y
2017-05-24,m3o09o6m,PerOculos,1h 03m 51s 130ms,3831.13,https://www.speedrun.com/portal_2/runs/m3o09o6m
