Date,Id,Players,Time,Seconds,Link
2013-01-01,8m72le9z,Reece65536,54m 34s,3274,https://www.speedrun.com/thps4/runs/8m72le9z
2014-02-03,dy4gkdky,George,38m 19s,2299,https://www.speedrun.com/thps4/runs/dy4gkdky
2015-12-30,pm3lkpqm,CrazyCow,38m 01s,2281,https://www.speedrun.com/thps4/runs/pm3lkpqm
2017-02-14,wzpeoo8y,yib,37m 40s,2260,https://www.speedrun.com/thps4/runs/wzpeoo8y
2017-04-27,zxvvgg5y,TkMala,36m 13s,2173,https://www.speedrun.com/thps4/runs/zxvvgg5y
2017-08-25,znxo063y,Anonymous4,33m 47s 370ms,2027.37,https://www.speedrun.com/thps4/runs/znxo063y
2021-09-17,mrnr7w4y,shnazz,33m 43s 580ms,2023.58,https://www.speedrun.com/thps4/runs/mrnr7w4y
2021-10-31,zp85n4ny,sawwl,33m 34s 330ms,2014.33,https://www.speedrun.com/thps4/runs/zp85n4ny
2021-11-22,m77kv5em,joerandom,33m 31s 870ms,2011.87,https://www.speedrun.com/thps4/runs/m77kv5em
2021-11-29,y8j323wz,sawwl,33m 19s 560ms,1999.56,https://www.speedrun.com/thps4/runs/y8j323wz
2022-02-08,y6nqoq6z,joerandom,33m 18s 940ms,1998.94,https://www.speedrun.com/thps4/runs/y6nqoq6z
2022-02-09,zq0dql1y,joerandom,33m 07s 920ms,1987.92,https://www.speedrun.com/thps4/runs/zq0dql1y
2022-02-18,z5vgvogm,joerandom,32m 58s 610ms,1978.61,https://www.speedrun.com/thps4/runs/z5vgvogm
2022-03-04,zp25nrny,joerandom,32m 55s 360ms,1975.36,https://www.speedrun.com/thps4/runs/zp25nrny
2022-03-06,ydwo1wxm,sawwl,32m 29s 660ms,1949.66,https://www.speedrun.com/thps4/runs/ydwo1wxm
2022-12-09,yol2vndy,joerandom,32m 25s 230ms,1945.23,https://www.speedrun.com/thps4/runs/yol2vndy
2022-12-16,y809725m,joerandom,32m 15s 610ms,1935.61,https://www.speedrun.com/thps4/runs/y809725m
2023-07-01,y86xelxm,byxor,32m 10s 260ms,1930.26,https://www.speedrun.com/thps4/runs/y86xelxm
2024-07-20,z5g1wvnm,joerandom,31m 40s 660ms,1900.66,https://www.speedrun.com/thps4/runs/z5g1wvnm
2024-07-25,ydl6x60z,joerandom,31m 37s 690ms,1897.69,https://www.speedrun.com/thps4/runs/ydl6x60z
2024-07-27,m3j51pdz,joerandom,31m 22s 370ms,1882.37,https://www.speedrun.com/thps4/runs/m3j51pdz
2024-08-04,z0q90v8m,joerandom,30m 44s 250ms,1844.25,https://www.speedrun.com/thps4/runs/z0q90v8m
2024-08-12,y9d91xvm,joerandom,30m 09s 840ms,1809.84,https://www.speedrun.com/thps4/runs/y9d91xvm
2024-08-23,y9dl9lnm,joerandom,29m 56s 870ms,1796.87,https://www.speedrun.com/thps4/runs/y9dl9lnm
2024-09-01,ylx7w83y,joerandom,29m 25s 120ms,1765.12,https://www.speedrun.com/thps4/runs/ylx7w83y
