Date,Id,Players,Time,Seconds,Link
1999-03-20,yj2l50dm,Mattias Berggren,21m 49s,1309,https://www.speedrun.com/quake/runs/yj2l50dm
1999-04-24,znvk0n7m,Tosun Okuyanakosun,20m 34s,1234,https://www.speedrun.com/quake/runs/znvk0n7m
1999-09-05,yvp6odoy,Marlo Galinski,18m 15s,1095,https://www.speedrun.com/quake/runs/yvp6odoy
2000-08-19,dy41wo2y,MaxRebo,17m 05s,1025,https://www.speedrun.com/quake/runs/dy41wo2y
2001-02-25,y2g57o5z,Martin Selinus,14m 02s,842,https://www.speedrun.com/quake/runs/y2g57o5z
2005-06-29,2ywrjpm4,Connor Fitzgerald,13m 46s,826,https://www.speedrun.com/quake/runs/2ywrjpm4
2014-10-20,8yvpq4yo,COOLKID,12m 54s,774,https://www.speedrun.com/quake/runs/8yvpq4yo
2015-06-09,7z058n4m,kukkye,12m 26s,746,https://www.speedrun.com/quake/runs/7z058n4m
2015-09-29,kz5rj15y,Elgu,12m 25s,745,https://www.speedrun.com/quake/runs/kz5rj15y
2016-11-29,dy4n6w3m,jukebox,12m 17s,737,https://www.speedrun.com/quake/runs/dy4n6w3m
2017-08-03,ydq9gpqm,jukebox,11m 57s,717,https://www.speedrun.com/quake/runs/ydq9gpqm
2019-12-29,zqrqgr1y,jukebox,11m 47s,707,https://www.speedrun.com/quake/runs/zqrqgr1y
2022-12-07,y80qo5nm,Muty,11m 42s,702,https://www.speedrun.com/quake/runs/y80qo5nm
2023-09-12,zg8nvx0y,Clouder,11m 39s,699,https://www.speedrun.com/quake/runs/zg8nvx0y
